query	reference	enzyme	tag_len	body_len	n_miss	hist
DFNI01000034.1	MTNL01000225.1	AlfI	32	26	12	0,1,0
DFNI01000034.1	MTNL01000225.1	AloI	27	20	51	3,12,8
DFNI01000034.1	MTNL01000225.1	BcgI	32	26	47	1,2,6
DFNI01000034.1	MTNL01000225.1	BplI	27	21	45	3,7,10
DFNI01000034.1	MTNL01000225.1	BsaXI	27	21	125	5,21,25
DFNI01000034.1	MTNL01000225.1	Bsp24I	27	21	34	1,4,5
DFNI01000034.1	MTNL01000225.1	CjeI	28	23	177	10,31,28
DFNI01000034.1	MTNL01000225.1	CjePI	27	22	211	14,34,38
DFNI01000034.1	MTNL01000225.1	FalI	27	21	38	4,3,6
DFNI01000034.1	MTNL01000225.1	PpiI	28	21	31	3,9,7
DFNI01000034.1	MTNL01000225.1	PsrI	27	20	15	0,1,6
AP010656.1	AP017913.1	AlfI	32	26	3	0,1,0
AP010656.1	AP017913.1	BcgI	32	26	3	0,2,0
AP010656.1	AP017913.1	BplI	27	21	1	0,0,2
AP010656.1	AP017913.1	BsaXI	27	21	4	0,0,0
AP010656.1	AP017913.1	Bsp24I	27	21	5	0,0,2
AP010656.1	AP017913.1	CjeI	28	23	20	5,2,3
AP010656.1	AP017913.1	CjePI	27	22	15	2,1,5
AP010656.1	AP017913.1	FalI	27	21	3	0,0,0
AP010656.1	AP017913.1	PsrI	27	20	1	0,0,1
LNES01000001.1	JACPOL010000008.1	AloI	27	20	1	0,0,0
LNES01000001.1	JACPOL010000008.1	BsaXI	27	21	1	0,1,0
LNES01000001.1	JACPOL010000008.1	CjeI	28	23	1	1,2,1
LNES01000001.1	JACPOL010000008.1	CjePI	27	22	1	3,1,0
LNES01000001.1	JACPOL010000008.1	FalI	27	21	0	1,0,1
NZ_BMZH01000001.1	NZ_RBII01000001.1	BcgI	32	26	2	1,0,0
NZ_BMZH01000001.1	NZ_RBII01000001.1	BsaXI	27	21	0	2,0,2
NZ_BMZH01000001.1	NZ_RBII01000001.1	Bsp24I	27	21	1	0,1,0
NZ_BMZH01000001.1	NZ_RBII01000001.1	CjeI	28	23	5	3,1,1
NZ_BMZH01000001.1	NZ_RBII01000001.1	CjePI	27	22	3	0,2,0
NZ_BMZH01000001.1	NZ_RBII01000001.1	PsrI	27	20	0	1,1,0
MTNL01000225.1	MTNJ01000036.1	AlfI	32	26	5	0,0,0
MTNL01000225.1	MTNJ01000036.1	AloI	27	20	15	1,0,8
MTNL01000225.1	MTNJ01000036.1	BcgI	32	26	21	3,1,1
MTNL01000225.1	MTNJ01000036.1	BplI	27	21	16	2,1,11
MTNL01000225.1	MTNJ01000036.1	BsaXI	27	21	63	7,5,17
MTNL01000225.1	MTNJ01000036.1	Bsp24I	27	21	17	0,3,7
MTNL01000225.1	MTNJ01000036.1	CjeI	28	23	65	4,15,23
MTNL01000225.1	MTNJ01000036.1	CjePI	27	22	107	3,14,29
MTNL01000225.1	MTNJ01000036.1	FalI	27	21	17	0,1,2
MTNL01000225.1	MTNJ01000036.1	PpiI	28	21	14	3,3,6
MTNL01000225.1	MTNJ01000036.1	PsrI	27	20	3	0,2,4
BEII01000001.1	DSKM01000009.1	AlfI	32	26	61	5,9,10
BEII01000001.1	DSKM01000009.1	AloI	27	20	48	11,10,13
BEII01000001.1	DSKM01000009.1	BcgI	32	26	95	14,9,12
BEII01000001.1	DSKM01000009.1	BplI	27	21	39	5,11,5
BEII01000001.1	DSKM01000009.1	BsaXI	27	21	186	33,15,25
BEII01000001.1	DSKM01000009.1	Bsp24I	27	21	70	14,9,13
BEII01000001.1	DSKM01000009.1	CjeI	28	23	237	51,37,41
BEII01000001.1	DSKM01000009.1	CjePI	27	22	219	39,32,33
BEII01000001.1	DSKM01000009.1	FalI	27	21	18	6,4,5
BEII01000001.1	DSKM01000009.1	PpiI	28	21	51	12,7,12
BEII01000001.1	DSKM01000009.1	PsrI	27	20	23	1,2,7
NZ_RBII01000001.1	NZ_BMYV01000001.1	AlfI	32	26	8	0,0,0
NZ_RBII01000001.1	NZ_BMYV01000001.1	BcgI	32	26	13	0,2,0
NZ_RBII01000001.1	NZ_BMYV01000001.1	BsaXI	27	21	1	6,2,2
NZ_RBII01000001.1	NZ_BMYV01000001.1	Bsp24I	27	21	0	0,4,0
NZ_RBII01000001.1	NZ_BMYV01000001.1	CjeI	28	23	15	6,6,4
NZ_RBII01000001.1	NZ_BMYV01000001.1	CjePI	27	22	11	0,4,0
NZ_RBII01000001.1	NZ_BMYV01000001.1	FalI	27	21	5	0,0,1
