query	reference	ani	ani_uniform	af_query	af_reference	std_err
DFNI01000034.1	MTNL01000225.1	88.8969	88.8969	0.0894	0.1249	0.26183
AP010656.1	AP017913.1	89.8318	89.8318	0.0118	0.0129	0.88697
LNES01000001.1	JACPOL010000008.1	95.9040	95.9040	0.0015	0.0014	1.13657
NZ_BMZH01000001.1	NZ_RBII01000001.1	94.4584	94.4584	0.0015	0.0036	1.06133
MTNL01000225.1	MTNJ01000036.1	89.4449	89.4449	0.0514	0.0353	0.35590
BEII01000001.1	DSKM01000009.1	87.0094	90.6186	0.1154	0.1005	0.19502
NZ_RBII01000001.1	NZ_BMYV01000001.1	89.8827	92.1227	0.0068	0.0045	0.68965
NZ_AXWS01000007.1	NZ_MUHU01000001.1	83.8343	90.1696	0.7360	0.7483	0.05306
CAIYSA010000001.1	CAITNS010000001.1	91.1646	91.1646	0.0143	0.0128	0.50331
NZ_KE332518.1	NZ_KI260551.1	92.3501	94.0076	0.0610	0.0615	0.22324
SYEI01000070.1	CAILKE010000001.1	92.3155	92.3155	0.0064	0.0047	0.73199
CAIYSA010000001.1	JADJSH010000001.1	90.6823	90.6823	0.0129	0.0099	0.55714
DIHL01000003.1	CAIYSA010000001.1	90.8723	90.8723	0.0102	0.0110	0.57332
DGQK01000065.1	CAIYSA010000001.1	85.4233	85.4233	0.0018	0.0027	1.74229
CAJPNP010000001.1	NZ_KE332518.1	94.1117	95.0035	0.7022	0.8323	0.05601
JAFXVU010000173.1	JAFWPH010000073.1	87.5871	91.0833	0.4174	0.3888	0.07128
JAFXVU010000173.1	CACYEC010000001.1	89.5440	90.9826	0.4490	0.3851	0.06870
JAFWPH010000073.1	CACYEC010000001.1	87.1269	88.4730	0.3050	0.2828	0.09855
JAGHSX010000159.1	JAGBJI010000002.1	NaN	NaN	0.0000	0.0000	NaN
JAGHSX010000159.1	ONOZ01000280.1	84.5563	84.5563	0.0034	0.0049	1.86186
JAFUGA010000027.1	JAFUYA010000047.1	90.0268	90.0268	0.0011	0.0011	1.62435
JAGHSX010000159.1	NWBO01000001.1	85.4615	85.4615	0.0027	0.0024	1.71495
