query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate
AE009951.2	NZ_GG770404.1	97.4338	97.4338	0.0076	0.0066	0.76496	3	0.0463	268	inf	0.8397	98.1891	97.0176	2.9367	0.05	AloI:100.00,FalI:97.06	282	3	18	7	5.333333333333333	INCONSISTENT	97.4338	uniform
CP000875.1	NZ_PUBZ01000001.1	87.9930	89.6293	0.3273	0.3651	0.12791	94	0.5481	737	5.089	0.2620	89.3158	92.1383	1.0523	3.04	AlfI:90.14,AloI:90.33,BcgI:89.37,FalI:89.27	1634	94	4035	49	10.51063829787234	ok	87.9930	gamma
CT978603.1	JAAXIH010000097.1	93.0156	93.3036	0.5012	0.6087	0.12229	103	0.7401	335	8.932	0.5021	93.0229	94.1319	1.1045	4.05	AlfI:93.76,AloI:92.66,BcgI:92.99,FalI:92.75	1290	103	2201	53	10.262135922330097	ok	93.0156	gamma
FP565575.1	NSJM01000146.1	89.8049	94.2597	0.1315	0.1250	0.21903	32	0.4177	375	0.807	0.5797	92.8514	97.1939	0.6994	0.43	AlfI:94.72,AloI:94.08,BcgI:94.17,FalI:94.02	645	32	635	47	9.40625	INCONSISTENT	89.8049	gamma
GG774898.1	CAJPNS010000001.1	98.0644	98.0644	0.0953	0.1071	0.12859	60	0.4480	393	inf	0.8779	97.7817	98.1972	0.7862	0.29	AlfI:98.22,AloI:97.44,BcgI:98.07,FalI:97.98	715	60	444	15	6.316666666666666	INCONSISTENT	98.0644	uniform
CP002770.1	NZ_RBWE01000001.1	92.0228	94.3832	0.6334	0.7673	0.10624	39	0.8170	285	1.260	0.5957	93.2545	96.5692	1.7657	12.87	AlfI:95.12,AloI:93.77,BcgI:94.43,FalI:93.35	1558	39	2591	241	33.61538461538461	ok	92.0228	gamma
APKF01000001.1	DTFV01000057.1	93.3903	93.6571	0.4061	0.4406	0.15787	71	0.7394	216	8.426	0.5455	93.4085	94.2791	0.5462	0.64	AlfI:93.62,AloI:93.70,BcgI:93.90,FalI:93.35	993	71	1298	48	9.633802816901408	ok	93.3903	gamma
APJZ01000001.1	QEFP01000001.1	93.0370	93.0370	0.0435	0.0516	1.38775	2	0.2045	35	inf	0.5310	94.1815	89.8490	1.6757	0.23	AloI:94.44,FalI:92.77	51	2	18	6	5.5	INCONSISTENT	93.0370	uniform
FR884648.1	QAMT01000006.1	88.3388	89.0640	0.3320	0.2570	0.25604	31	0.5949	160	10.464	0.2431	88.8493	90.8276	2.7938	2.28	AlfI:89.38,AloI:90.68,BcgI:89.19,FalI:87.88	447	31	1116	22	8.580645161290322	ok	88.3388	gamma
FR902207.1	DOEC01000016.1	95.1209	95.1209	0.1209	0.1160	0.45422	10	0.4818	71	inf	0.6754	94.3049	96.2606	5.5762	0.94	AlfI:96.22,AloI:96.30,BcgI:90.72,FalI:95.05	159	10	125	13	7.6	ok	95.1209	uniform
AXWL01000001.1	JADHUF010000053.1	91.5622	91.5622	0.0945	0.0975	0.71087	6	0.3933	54	inf	0.4169	91.7914	90.9301	4.8739	2.47	AlfI:88.07,AloI:88.33,BcgI:88.07,FalI:92.95	114	6	95	11	6.833333333333333	ok	91.5622	uniform
CP006914.1	MEWJ01000001.1	90.8460	90.8460	0.0273	0.0253	1.39593	2	0.1194	59	inf	0.3644	90.9449	88.7737	6.0776	4.68	BcgI:94.75,FalI:88.68	68	2	27	5	5	INCONSISTENT	90.8460	uniform
CP006977.1	NC_007181.1	94.0910	95.1132	0.8744	0.8393	0.14564	7	0.9596	30	1.856	0.6673	94.3257	96.2926	1.1626	2.56	AlfI:95.22,AloI:95.00,BcgI:94.21,FalI:95.37	744	7	1193	374	102.85714285714286	ok	94.0910	gamma
AZYC01000001.1	AZYB01000001.1	96.0861	96.0861	0.0408	0.0378	0.72636	5	0.3226	42	inf	0.7424	95.9897	96.1682	6.8697	0.70	AlfI:96.88,AloI:90.01,BcgI:95.16,FalI:96.64	87	5	34	6	5	ok	96.0861	uniform
BAUW01000240.1	NZ_JAAVUM010000001.1	88.3257	89.5807	0.3494	0.3336	0.17955	52	0.3415	991	5.962	0.2841	89.2682	91.8643	0.2823	0.07	AlfI:89.55,AloI:89.83,BcgI:89.57,FalI:89.54	1639	52	2125	39	10.884615384615385	INCONSISTENT	88.3257	gamma
KK211149.1	NZ_VFQB01000001.1	86.7729	89.1293	0.6781	0.6618	0.10183	32	0.8797	200	4.219	0.2332	88.7445	92.7293	4.7268	36.41	AlfI:89.33,AloI:87.60,BcgI:88.82,FalI:92.33	1679	32	7038	259	46.71875	ok	86.7729	gamma
JJNX02000001.1	DCUX01000054.1	91.8659	91.8659	0.1469	0.1711	0.36875	18	0.3802	207	inf	0.4345	91.7431	92.5445	1.6645	1.32	AlfI:90.88,AloI:90.75,BcgI:90.83,FalI:92.42	428	18	340	15	8.055555555555555	ok	91.8659	uniform
JNIN01000001.1	JAFOVD010000001.1	83.4221	90.7272	0.1725	0.2178	0.33320	19	0.5153	127	1.174	0.3452	89.7250	95.5982	2.3008	3.07	AlfI:91.48,AloI:90.21,BcgI:89.33,FalI:91.63	264	19	533	22	8.105263157894736	INCONSISTENT	90.7272	uniform_fallback
JWKQ01000001.1	JAGVVU010000012.1	99.3810	99.6835	0.1297	0.1128	0.06904	17	0.6824	94	0.070	0.9809	99.2787	99.7919	1.3320	2.47	AlfI:99.92,AloI:98.59,BcgI:99.73,FalI:99.66	298	17	229	19	12.882352941176471	ok	99.3810	gamma
LADT01000024.1	JUEF01000001.1	92.5615	92.5615	0.1916	0.2147	0.23636	42	0.4558	345	inf	0.4765	92.2843	93.4737	0.6188	0.25	AlfI:92.47,AloI:93.06,BcgI:92.81,FalI:92.44	707	42	728	15	7.880952380952381	ok	92.5615	uniform
LBQR01000001.1	DOKP01000072.1	97.1897	98.4939	0.2332	0.2227	0.14703	31	0.5618	163	0.244	0.9073	97.4826	98.9206	1.5930	5.22	AlfI:99.20,AloI:97.61,BcgI:98.89,FalI:97.97	436	31	286	16	7.741935483870968	ok	97.1897	gamma
LBSF01000001.1	CAIVJR010000001.1	99.4186	99.4186	0.0091	0.0066	0.57970	1	0.1515	28	inf	0.9653	99.9999	99.2566	0.9258	0.00	AlfI:100.00,BcgI:100.00,FalI:99.07	59	1	6	6	6	ok	99.4186	uniform
LCBB01000001.1	MEVX01000001.1	88.8550	88.8550	0.0471	0.0489	1.14357	2	0.2034	47	inf	0.2600	88.0931	93.8909	7.5668	1.48	AloI:83.99,BcgI:91.55,FalI:88.70	73	2	62	8	7	INCONSISTENT	88.8550	uniform_fallback
LCFC01000001.1	LCCS01000001.1	90.0122	90.0122	0.2327	0.2004	0.49005	10	0.3820	110	inf	0.3071	89.9520	90.8846	2.0956	1.11	AlfI:88.85,AloI:88.96,BcgI:89.43,FalI:90.94	216	10	260	11	7.8	INCONSISTENT	90.0122	uniform
LCLH01000001.1	JACRFU010000026.1	92.4442	92.4442	0.0028	0.0022	2.16639	1	0.0682	41	inf	0.4436	94.1354	76.3607	2.9536	0.52	AlfI:92.36,BcgI:95.31	78	1	7	4	4	INCONSISTENT	92.4442	uniform_fallback
CP011001.1	DS995299.1	94.7840	95.6039	0.8914	0.9157	0.15006	5	0.9744	16	1.911	0.7008	94.9253	96.4755	1.1942	3.53	AlfI:96.55,AloI:95.94,BcgI:95.36,FalI:95.35	626	5	951	259	122.8	ok	94.7840	gamma
LJHR01000001.1	NZ_CP025611.1	93.1025	93.8178	0.8528	0.8234	0.05904	77	0.9638	164	3.817	0.5440	93.3406	95.0779	0.7922	7.93	AlfI:93.95,AloI:94.32,BcgI:93.53,FalI:94.06	4589	77	8779	620	57.76623376623377	ok	93.1025	gamma
LJTR01000173.1	JADHXR010000069.1	92.2163	92.2163	0.1133	0.0715	0.20055	61	0.4487	446	inf	0.4251	92.2759	91.8257	1.5919	2.18	AlfI:92.40,AloI:91.53,BcgI:92.49,FalI:90.90	1095	61	990	17	6.950819672131147	ok	92.2163	uniform
BBCS01000001.1	BBDO01000001.1	87.0526	87.0526	0.1884	0.2020	0.56530	8	0.4098	72	inf	0.1772	87.1106	87.3405	2.6681	0.98	AlfI:86.02,AloI:88.34,BcgI:85.67,FalI:87.64	138	8	329	10	7.25	BELOW_DETECTION	87.0526	uniform
BBDO01000001.1	BBBJ01000001.1	88.0431	88.0431	0.3676	0.4004	0.38112	13	0.5275	103	inf	0.2095	88.0940	88.2277	3.5203	4.01	AlfI:88.34,AloI:87.95,BcgI:85.81,FalI:89.33	232	13	605	18	9.846153846153847	ok	88.0431	uniform
LJKL01000016.1	JAAYKC010000058.1	86.9427	89.2251	0.1363	0.1315	0.49604	10	0.3261	124	4.046	0.2526	88.8701	92.2680	3.2727	1.15	AlfI:89.40,AloI:90.55,BcgI:88.99,FalI:87.28	199	10	297	9	7	INCONSISTENT	86.9427	gamma
LDXP01000001.1	JACPCF010000087.1	91.7865	91.7865	0.1558	0.1483	0.28941	26	0.4004	277	inf	0.4040	91.5472	93.1261	4.0985	5.03	AlfI:89.33,AloI:92.21,BcgI:91.40,FalI:93.43	581	26	546	14	8.115384615384615	ok	91.7865	uniform
LNEO01000001.1	JAEUKI010000070.1	86.8697	88.5909	0.3408	0.3340	0.10716	131	0.6075	811	5.962	0.2115	88.3046	91.7190	2.5576	12.27	AlfI:87.82,AloI:88.30,BcgI:88.52,FalI:90.38	2383	131	6997	65	10.580152671755725	ok	86.8697	gamma
LDIX01000001.1	JAHIKO010000024.1	96.5683	96.5683	0.4780	0.4840	0.18966	31	0.7000	126	inf	0.7757	96.4426	96.6929	0.7867	0.63	AlfI:96.80,AloI:96.59,BcgI:96.01,FalI:96.69	437	31	424	17	10.483870967741936	ok	96.5683	uniform
LN913007.1	UQRQ01000001.1	86.7257	89.6781	0.5832	0.5816	0.19642	33	0.6698	210	2.948	0.2864	89.1408	93.2472	1.0680	1.45	AlfI:88.97,AloI:89.01,BcgI:89.83,FalI:90.04	642	33	1782	35	13.909090909090908	ok	86.7257	gamma
LGFX01000001.1	DJVI01000003.1	89.8764	89.8764	0.6258	0.6663	0.25660	24	0.8567	49	inf	0.3237	89.7262	90.9801	1.7206	1.54	AlfI:88.64,AloI:89.90,BcgI:88.43,FalI:90.15	366	24	1004	29	13.208333333333334	ok	89.8764	uniform
