query	reference	label	q_domain	r_domain	q_phylum	r_phylum	q_genus	r_genus	q_species	r_species	s2b_raw_ani	s2b_gbrt_ani	s2b_shared_tags
GCF_003383635.1	GCF_003185385.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Staphylococcus	g__Staphylococcus	s__Staphylococcus pseudintermedius	s__Staphylococcus pseudintermedius	0.997079	0.989085	428
GCF_008084125.1	GCA_002906095.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.995148	0.985966	541
GCF_000959525.1	GCF_002981755.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia multivorans	s__Burkholderia multivorans	0.986030	0.974131	6391
GCF_003315235.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.998465	0.990742	1018
GCF_002200215.1	GCF_001583695.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Bacillus_A	g__Bacillus_A	s__Bacillus_A wiedmannii	s__Bacillus_A wiedmannii	0.996467	0.987793	513
GCF_900148285.1	GCF_900148295.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas	g__Pseudomonas	s__Pseudomonas aeruginosa	s__Pseudomonas aeruginosa	0.999880	0.994326	3908
GCF_002918325.1	GCF_900635635.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Escherichia	g__Escherichia	s__Escherichia coli	s__Escherichia coli	0.995558	0.986802	1583
GCF_001042655.1	GCF_002861965.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Bifidobacterium	g__Bifidobacterium	s__Bifidobacterium vaginale	s__Bifidobacterium vaginale	0.994647	0.985573	683
GCF_008084125.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.993211	0.983848	626
GCF_014672895.1	GCA_009813475.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Francisella	g__Francisella	s__Francisella tularensis	s__Francisella tularensis	1.000000	0.994571	89
GCF_002918325.1	GCF_003322065.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Escherichia	g__Escherichia	s__Escherichia coli	s__Escherichia coli	0.995047	0.986199	1224
GCF_000877425.1	GCF_000454145.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Vibrio	g__Vibrio	s__Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	0.991681	0.981584	1867
GCF_001321205.1	GCF_000015905.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia mallei	s__Burkholderia mallei	0.996300	0.987741	3370
GCF_005518035.1	GCF_009741445.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium avium	s__Mycobacterium avium	0.993740	0.984753	3165
GCF_000321885.1	GCF_018397615.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Enterococcus_B	g__Enterococcus_B	s__Enterococcus_B lactis	s__Enterococcus_B lactis	0.989874	0.979633	358
GCF_002161435.1	GCF_003602795.1	high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Bacteroides	g__Bacteroides	s__Bacteroides uniformis	s__Bacteroides uniformis	0.993688	0.983905	708
GCF_000690635.1	GCF_000689935.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Bordetella	g__Bordetella	s__Bordetella pertussis	s__Bordetella pertussis	0.998709	0.991421	3267
GCF_014131735.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.993092	0.983360	579
