query	reference
GCF_003336245.1	GCA_019057355.1
GCA_016937135.1	GCA_015233155.1
GCA_007127745.1	GCA_007123985.1
GCA_003648675.1	GCA_007571355.1
GCA_016193065.1	GCA_013151235.1
GCA_003023745.1	GCA_903880015.1
GCA_005777205.1	GCA_009693335.1
GCA_014728125.1	GCA_002292025.1
GCF_001968985.1	GCA_013153295.1
GCA_001468925.1	GCA_018384485.1
GCA_014728125.1	GCA_002420105.1
GCA_005777235.1	GCA_003696125.1
GCA_002783385.1	GCA_016124205.1
GCA_905210905.1	GCA_012520515.1
GCA_009784115.1	GCA_003232385.1
GCA_018402425.1	GCA_007128145.1
GCA_003219175.1	GCA_902513935.1
GCA_016931935.1	GCA_017161705.1
GCA_009921445.1	GCA_017858515.1
GCA_905214995.1	GCA_900545715.1
GCA_011620345.1	GCA_016209155.1
GCA_016186795.1	GCA_016219075.1
GCA_000494225.1	GCA_007132905.1
GCA_016929575.1	GCA_016199865.1
GCF_003057965.1	GCA_003558235.1
GCA_009886125.1	GCA_013377075.1
GCA_002840645.1	GCA_013203665.1
GCF_900099995.1	GCF_013403925.1
GCA_903821905.1	GCA_910586745.1
GCA_003511165.1	GCA_007132905.1
GCA_018238965.1	GCF_008000775.1
GCF_002886185.1	GCF_002019735.1
GCA_014728185.1	GCA_001730085.1
GCA_902602795.1	GCA_002708715.1
GCA_016192455.1	GCA_016176845.1
GCF_018918235.1	GCF_003478445.1
GCA_011620345.1	GCA_003695505.1
GCA_001784175.1	GCA_016202645.1
GCA_900768135.1	GCA_016295615.1
GCA_018813085.1	GCA_001784175.1
GCA_000987445.1	GCA_000585015.1
GCA_019100305.1	GCA_003554945.1
GCF_000020965.1	GCA_002718595.1
GCF_001922575.1	GCF_001305295.1
GCA_016867715.1	GCA_013002425.1
GCF_000236165.1	GCF_001468085.1
GCA_009839975.1	GCA_003695725.1
GCA_003353845.1	GCA_011322715.1
GCA_002702705.1	GCA_002842045.1
GCA_017463665.1	GCA_017445085.1
GCA_002503105.1	GCF_001462205.1
GCF_900186975.1	GCF_900605005.1
GCA_905233775.1	GCA_902796155.1
GCF_007570825.1	GCA_013373375.1
GCA_013151915.1	GCA_002070645.1
GCA_015232735.1	GCA_903844895.1
GCA_002898315.1	GCA_001803565.1
GCA_005777235.1	GCA_001778375.1
GCA_016202645.1	GCA_018817195.1
GCA_015233115.1	GCA_015233195.1
GCF_003462485.1	GCF_003950515.1
GCA_014360465.1	GCF_000956175.1
GCA_015134395.1	GCA_015134355.1
GCF_900103165.1	GCF_000196355.1
GCA_017610525.1	GCA_002495465.1
GCA_002435745.1	GCA_001730085.1
GCA_017694595.1	GCA_016929465.1
GCA_003165315.1	GCA_016932915.1
GCF_900184735.1	GCF_009728145.1
GCA_015134335.1	GCA_015134435.1
GCA_002791075.1	GCA_014359355.1
GCA_005798205.1	GCA_003512365.1
GCA_017397065.1	GCA_902796905.1
GCA_003451675.1	GCA_003229755.1
GCA_016209895.1	GCA_003554145.1
GCA_001797415.1	GCA_015075075.1
GCA_014728125.1	GCA_016869025.1
GCA_016205125.1	GCA_005777235.1
GCA_017399305.1	GCA_003343845.1
GCA_003221435.1	GCA_002748425.1
GCA_009918425.1	GCA_016787485.1
GCA_008086245.1	GCA_016926495.1
GCA_016939415.1	GCA_003644825.1
GCF_000183405.1	GCF_000218625.1
GCA_011048995.1	GCA_002347965.1
GCA_013335425.1	GCA_018725485.1
GCA_904502135.1	GCA_900321575.1
GCA_002708715.1	GCA_002691285.1
GCA_005879785.1	GCA_016713535.1
GCA_002423385.1	GCA_903861305.1
GCA_001618605.1	GCA_002436025.1
GCA_003345595.1	GCA_003345555.1
GCF_000406925.1	GCF_012843815.1
GCA_903870555.1	GCA_903923135.1
GCF_001550055.1	GCA_011088215.1
GCA_016209905.1	GCA_007130265.1
GCF_004327985.1	GCF_008122265.1
GCF_000007185.1	GCA_002085035.1
GCF_000417505.1	GCA_002869225.1
GCF_001438695.1	GCF_001038455.1
GCF_002242685.1	GCF_000381965.1
GCA_002419365.1	GCA_002419145.1
GCA_017578085.1	GCA_002159155.1
GCF_000243075.1	GCF_000381965.1
GCF_900186835.1	GCF_000973525.1
GCF_000455285.1	GCF_001244545.1
GCA_903836265.1	GCA_903925535.1
GCF_014048475.1	GCF_014048465.1
GCA_002697225.1	GCA_002709695.1
GCA_902575965.1	GCA_002691085.1
GCF_000784735.1	GCF_000406165.1
GCF_017743935.1	GCF_900537075.1
GCF_901687125.1	GCF_000739435.1
GCF_003049725.1	GCF_002245495.1
GCA_003151775.1	GCF_008802365.1
GCF_000973525.1	GCF_900454865.1
GCA_900542625.1	GCA_900541465.1
GCA_002310995.1	GCA_017538365.1
GCA_011391155.1	GCA_011391595.1
GCF_005796225.1	GCF_001641125.1
GCA_002375995.1	GCA_013151115.1
GCA_018608705.1	GCA_018608625.1
GCA_001953215.1	GCF_013003965.1
GCA_016872175.1	GCA_016868535.1
GCA_000620205.1	GCF_010682105.1
GCA_012735245.1	GCA_012728125.1
GCA_900551705.1	GCA_900545735.1
GCA_002841395.1	GCA_002482505.1
GCA_007280465.1	GCA_013288545.1
GCF_014217625.1	GCF_014190775.1
GCA_902796155.1	GCA_905233185.1
GCA_002723635.1	GCA_002722135.1
GCF_003966715.1	GCF_001402875.1
GCF_002139855.1	GCA_017646085.1
GCA_016930215.1	GCA_012797735.1
GCA_001874145.1	GCF_003663945.1
GCF_002000545.1	GCF_001998825.1
GCF_003812745.1	GCF_013337185.1
GCA_004560435.1	GCA_002320595.1
GCF_016461825.1	GCA_013284265.1
GCA_018066965.1	GCF_002915595.1
GCF_002846275.1	GCF_014874095.1
GCF_000963005.1	GCF_008119715.1
GCF_002727065.1	GCA_002708825.1
GCA_002697745.1	GCF_017255295.1
GCF_000515355.1	GCF_013004695.1
GCF_000963005.1	GCF_014199795.1
GCA_902780365.1	GCA_017538365.1
GCF_001425665.1	GCA_012530535.1
GCF_015354245.1	GCF_014395975.1
GCF_002157205.1	GCF_014652795.1
GCF_014697415.1	GCF_015840335.1
GCF_000015725.1	GCA_902826655.1
GCF_009696315.1	GCF_001642025.1
GCA_900759475.1	GCA_900554815.1
GCF_000971965.1	GCF_000971985.1
GCF_009846485.1	GCF_001637315.1
GCF_014195655.1	GCF_018449475.1
GCF_900110465.1	GCF_900114455.1
GCF_008119715.1	GCF_002939705.1
GCF_008802355.1	GCA_003151775.1
GCF_002954715.1	GCF_000196495.1
GCA_013695475.1	GCA_013697825.1
GCF_000744175.1	GCF_000091545.1
GCA_900545035.1	GCA_900542625.1
GCF_000430805.1	GCF_000428145.1
GCF_015354245.1	GCF_014489535.1
GCF_000420265.1	GCF_000152745.1
GCA_002320595.1	GCA_900546845.1
GCF_000583045.1	GCF_016919405.1
GCA_002439085.1	GCA_900768185.1
GCF_003007785.1	GCF_017312365.1
GCF_002998925.1	GCF_002243385.1
GCA_006226775.1	GCF_900109145.1
GCF_000262305.1	GCF_016415625.1
GCA_001184405.1	GCF_017220215.1
GCA_005787785.1	GCA_018970175.1
GCF_900636745.1	GCF_901687125.1
GCF_015690345.1	GCF_002846275.1
GCF_001735745.1	GCA_905479095.1
GCF_001429605.1	GCF_006438965.1
GCF_000719515.1	GCF_003002955.1
GCF_018917235.1	GCF_017873185.1
GCF_011305535.1	GCF_014489535.1
GCF_000982415.1	GCF_001026905.1
GCA_017881915.1	GCA_003152165.1
GCA_007130745.1	GCA_003567955.1
GCA_902537615.1	GCA_002690875.1
GCA_012735245.1	GCA_012519355.1
GCF_018917235.1	GCF_000498755.1
GCF_014207565.1	GCA_016936555.1
GCF_900249755.1	GCF_905397435.1
GCA_002690875.1	GCA_902536485.1
GCF_000340865.1	GCF_000319245.1
GCF_001854185.1	GCF_001042715.1
GCF_005877055.1	GCF_000224415.1
GCF_000306785.1	GCF_007994135.1
GCA_011391595.1	GCA_016721925.1
GCF_900537075.1	GCF_900302455.1
GCA_016764715.1	GCA_002401685.1
GCA_017544835.1	GCA_017553505.1
GCF_001020205.1	GCF_002008345.1
GCA_002498365.1	GCA_011620825.1
GCF_001571085.1	GCF_009760915.1
GCF_009856525.1	GCF_000013165.1
GCA_015660155.1	GCA_014382585.1
GCA_002699485.1	GCA_009392275.1
GCA_012840465.1	GCA_016841285.1
GCA_000681355.2	GCA_002327235.1
GCA_004554425.1	GCA_002407045.1
GCF_900313065.1	GCF_002118315.1
GCF_014195485.1	GCF_005930475.1
GCA_012735285.1	GCA_012523915.1
GCA_018969885.1	GCA_009921765.1
GCF_014199795.1	GCF_014197395.1
GCA_902595825.1	GCA_002171475.2
GCA_017882505.1	GCA_013821475.1
GCF_001637315.1	GCA_001314905.1
GCA_016744175.1	GCF_000422765.1
GCA_003602635.1	GCA_002723635.1
GCF_001421015.2	GCF_000971965.1
GCA_001775255.1	GCA_902826595.1
GCF_001613545.1	GCA_003054655.1
GCA_002337455.1	GCA_002375765.1
GCF_900095885.1	GCF_003934295.1
GCA_002070945.1	GCA_012799905.1
GCF_000760695.4	GCF_000346485.2
GCF_900199375.1	GCA_900170005.1
GCA_014803575.1	GCA_014803545.1
GCF_014217875.1	GCF_000179255.1
GCA_007694005.1	GCA_007128315.1
GCF_002090135.1	GCF_002090055.1
GCA_015056105.1	GCA_017435905.1
GCF_008330225.1	GCF_008802355.1
GCA_018781585.1	GCA_001770235.1
GCA_002721615.1	GCA_002708085.1
GCF_003545815.1	GCF_003096595.1
GCF_002242685.1	GCF_000243075.1
GCA_017380635.1	GCA_017468435.1
GCA_002733205.1	GCF_007785795.1
GCA_002327235.1	GCA_002402825.1
GCF_000724485.1	GCF_000262755.1
GCF_004101845.1	GCF_001436415.1
GCF_002160815.1	GCF_002160865.1
GCA_003022485.1	GCA_003022535.1
GCF_004217565.1	GCF_014651715.1
GCA_003445555.1	GCA_000681355.2
GCA_017538865.1	GCA_017632535.1
GCA_014382585.1	GCA_014239365.1
GCA_000146855.1	GCA_900167215.1
GCA_003162395.1	GCA_003135595.1
GCF_004054105.1	GCF_003863335.1
GCF_001583495.1	GCF_000812565.1
GCA_902805805.1	GCA_902805775.1
GCF_009760915.1	GCF_012927045.1
GCA_902574035.1	GCA_902634845.1
GCF_000414175.1	GCF_900537085.1
GCA_009827205.1	GCA_003712165.1
GCA_017936285.1	GCA_015061245.1
GCA_002731215.1	GCA_002722645.1
GCF_900102145.1	GCF_000794385.1
GCF_003574135.1	GCF_000829235.1
GCF_000011345.1	GCA_015295825.1
GCA_017398595.1	GCA_017463665.1
GCF_014647535.1	GCF_000236585.1
GCF_004217235.1	GCF_002846275.1
GCA_000802045.1	GCA_000961765.1
GCF_012911965.1	GCA_001314905.1
GCA_018303325.1	GCA_016205905.1
GCA_016183655.1	GCF_016858125.1
GCA_902580855.1	GCA_002715345.1
GCF_001654925.1	GCF_014189855.1
GCA_011523565.1	GCA_009843505.1
GCA_016704145.1	GCA_019136545.1
GCA_012962155.1	GCA_003972855.1
GCF_000243075.1	GCF_003049725.1
GCA_017619295.1	GCA_900103495.1
GCA_002721775.1	GCA_902518965.1
GCF_005281345.1	GCF_900079995.3
GCA_902598305.1	GCA_902635965.1
GCA_012270995.1	GCA_009837885.1
GCA_009928985.1	GCA_002419365.1
GCA_017414645.1	GCA_017472685.1
GCA_902523435.1	GCA_002721775.1
GCF_000526495.1	GCF_000244875.1
GCA_012521755.1	GCA_012522085.1
GCA_014240365.1	GCA_012961035.1
GCA_016930555.1	GCA_003096255.1
GCA_017550305.1	GCA_017544935.1
GCA_002011425.1	GCA_013151115.1
GCF_016918015.1	GCF_017592475.1
GCA_902532675.1	GCA_902554355.1
GCA_003105015.1	GCA_905339315.1
GCF_002117005.1	GCF_001997385.1
GCA_018436785.1	GCA_001604435.1
GCF_001544915.2	GCF_001545035.1
GCA_014239365.1	GCA_015660155.1
GCA_018262875.1	GCA_016880375.1
GCA_903900905.1	GCA_903918315.1
GCA_002309415.1	GCA_016284035.1
GCF_000512895.1	GCA_009910795.1
GCA_017397885.1	GCA_017416845.1
GCF_001457455.1	GCF_900205605.1
GCA_902793045.1	GCA_002369135.1
GCA_016873225.1	GCA_018970845.1
GCA_003218515.1	GCA_003219345.1
GCA_003214855.1	GCF_000011485.1
GCA_013698215.1	GCF_003003885.1
GCF_014042345.1	GCF_014042355.1
GCF_001586255.1	GCF_014202945.1
GCA_002412705.1	GCA_016931855.1
GCA_015061845.1	GCA_017456495.1
GCA_012841485.1	GCA_012512265.1
GCA_002376865.1	GCA_002331145.1
GCF_014236855.1	GCF_014236795.1
GCA_002346435.1	GCA_002377585.1
GCA_003978285.1	GCA_003978185.1
GCA_015265375.1	GCF_001808955.1
GCF_000739435.1	GCF_900636745.1
GCF_009684755.1	GCF_002302635.1
GCA_002347125.1	GCA_011057845.1
GCF_003614925.1	GCF_900099975.1
GCA_018333845.1	GCF_000620305.1
GCF_003722075.1	GCF_004137855.1
GCF_002872335.1	GCF_002943425.1
GCA_018381425.1	GCA_905205995.1
GCF_005876855.1	GCF_013522725.1
GCA_013817655.1	GCA_013816105.1
GCF_000757825.1	GCF_001571265.1
GCA_002700485.1	GCA_002348585.1
GCF_002286785.1	GCF_002091635.1
GCF_900302455.1	GCF_017743935.1
GCF_000422285.1	GCA_900498135.1
GCA_900470285.1	GCF_008801715.1
GCA_019058135.1	GCA_019058015.1
GCF_900243075.1	GCF_001299635.1
GCF_900187885.1	GCA_017743605.1
GCA_902766695.1	GCA_017527155.1
GCA_002307115.1	GCA_001873075.1
GCF_000378205.1	GCF_000143985.1
GCA_002347965.1	GCA_011620345.1
GCA_018970895.1	GCF_000334915.1
GCF_014042365.1	GCF_014042345.1
GCF_014645315.1	GCF_003386075.1
GCA_017536405.1	GCA_017828955.1
GCA_901472405.1	GCF_009817885.1
GCA_002348225.1	GCA_002725365.1
GCA_902518955.1	GCA_902584815.1
GCF_003369445.1	GCF_003614925.1
GCA_018969885.1	GCA_903866395.1
GCA_900542935.1	GCA_002474405.1
GCA_902631295.1	GCA_902602765.1
GCA_013359255.1	GCA_905339165.1
GCF_016587375.1	GCF_016587415.1
GCF_008630065.1	GCF_003966715.1
GCF_008831035.1	GCA_900554945.1
GCA_002405755.1	GCA_900555855.1
GCA_900756875.1	GCA_015255025.1
GCA_903931355.1	GCA_903918375.1
GCF_900243075.1	GCA_002939365.1
GCF_003121845.1	GCF_000510805.1
GCA_003221995.1	GCA_003222115.1
GCA_019120335.1	GCF_000407565.1
GCF_900461105.1	GCF_002934235.1
GCA_017853435.1	GCA_903916245.1
GCF_002846275.1	GCF_003030345.1
GCF_004343605.1	GCA_009910795.1
GCA_002707765.1	GCA_002718585.1
GCF_004923295.1	GCF_000283655.1
GCA_900556745.1	GCF_902506685.1
GCF_902196135.1	GCF_902196125.1
GCA_016934015.1	GCA_002422135.1
GCF_000335475.2	GCF_002305875.1
GCA_003978185.1	GCA_002335045.1
GCF_001299635.1	GCF_900164635.1
GCA_002279065.1	GCF_000334915.1
GCF_015830935.1	GCF_001457455.1
GCF_000012625.1	GCF_014279895.1
GCA_013911625.1	GCA_003385605.1
GCA_013214625.1	GCA_002733415.1
GCF_900115845.1	GCF_900177535.1
GCF_009729855.1	GCF_004135055.1
GCF_018035235.1	GCF_000277565.1
GCF_001571265.1	GCF_000277545.1
GCF_005930495.1	GCF_005930475.1
