cluster	species	total_pairs	struct_top_pairs	ani_top_pairs	both_top_pairs	struct_enrichment_ratio	ani_enrichment_ratio	struct_p	ani_p	log2_struct_over_ani	neg_log10_min_p	struct_q	ani_q	mode
HROM_Genome_0999	Prevotella pallens	2293115	42113	1130017	30504	0.3672996132405156	9.855740675212113	1.0	0.0	-4.745918523805097	2069272.1485249377	1.0	0.0	ani_enriched
HROM_Genome_1032	Prevotella pleuritidis	188660	43327	180811	43283	4.593131876912108	19.167926876920976	0.0	0.0	-2.061131538664651	514693.5350668027	0.0	0.0	ani_enriched
HROM_Genome_1711	F0428 sp003043955	186075	21973	155433	21591	2.361736567543537	16.706494329540554	0.0	0.0	-2.822460886273013	387790.5942507419	0.0	0.0	ani_enriched
HROM_Genome_0346	Peptidiphaga sp000466165	123753	29547	123086	29547	4.775158398087461	19.89221059962071	0.0	0.0	-2.058564562265345	367053.9644741387	0.0	0.0	ani_enriched
HROM_Genome_1055	Alloprevotella sp905369775	1365109	321121	3835	1920	4.70469532195116	0.056186006395354704	0.0	1.0	6.387560789317777	282651.42013312044	0.0	1.0	structural_enriched
HROM_Genome_1109	Tannerella forsythia	54285	7003	52951	6993	2.580087353922706	19.50852570006586	0.0	0.0	-2.9185235587727387	152884.00659254703	0.0	0.0	ani_enriched
HROM_Genome_1106	Porphyromonas gingivalis	56953	9019	53265	8420	3.1671738819856246	18.704902630442874	0.0	0.0	-2.5620820392661914	146549.99112261488	0.0	0.0	ani_enriched
HROM_Genome_4892	Lautropia mirabilis [HROM_Genome_4892]	2382702	328945	3790	1186	2.761109854772402	0.031812632353698654	0.0	1.0	6.439316601458277	142555.0463453917	0.0	1.0	structural_enriched
HROM_Genome_1209	HROM_Genome_1209	128546	40627	71526	25365	6.321007605854804	11.128470967986088	0.0	0.0	-0.8160212564516791	129672.54957471217	0.0	0.0	both_enriched
HROM_Genome_1157	Prevotella shahii	275067	50680	84137	23619	3.684921506416318	6.117565919205797	0.0	0.0	-0.7313181937756408	93355.04433691117	0.0	0.0	both_enriched
HROM_Genome_3572	SDRW01 sp007845485	363087	94531	5519	1793	5.207073145132942	0.30400436563655	0.0	1.0	4.098185660250091	89805.16895613876	0.0	1.0	structural_enriched
HROM_Genome_1004	Prevotella nanceiensis	1727861	221228	10400	3291	2.5607160107453275	0.12038008982475729	0.0	1.0	4.410812462138887	82217.83796694828	0.0	1.0	structural_enriched
HROM_Genome_2553	Streptococcus mutans	27261	6270	27138	6240	4.599979370190852	19.909767168778206	0.0	0.0	-2.1136885912716803	80637.6643853276	0.0	0.0	ani_enriched
HROM_Genome_0315	Actinomyces sp000220835	25651	5959	25647	5959	4.6462140168114505	19.996887210801017	0.0	0.0	-2.1055550061678225	76898.75559020705	0.0	0.0	ani_enriched
HROM_Genome_0302	Actinomyces graevenitzii [HROM_Genome_0302]	2788689	267212	2059	761	1.9163992839928583	0.014766799865804286	0.0	1.0	7.019549561149245	52215.17053056695	0.0	1.0	structural_enriched
HROM_Genome_1943	Eubacterium_M brachy	19390	4460	18397	4415	4.600310817608896	18.975766392724406	0.0	0.0	-2.0442323913115503	51303.042397795056	0.0	0.0	ani_enriched
HROM_Genome_1911	Mogibacterium diversum	369179	71034	1392	620	3.8482157059298165	0.0754105958084059	0.0	1.0	5.672770649546358	47801.547571726485	0.0	1.0	structural_enriched
HROM_Genome_1046	Alloprevotella sp015259235	183087	48731	3111	1394	5.323263215380041	0.33983853939068165	0.0	1.0	3.969172479344477	47077.785803548555	0.0	1.0	structural_enriched
HROM_Genome_5100	HROM_Genome_5100	17245	267	14728	257	0.309655065329491	17.08089813547844	1.0	0.0	-5.782927807198567	37121.26395645788	1.0	0.0	ani_enriched
HROM_Genome_0363	Bifidobacterium longum	11781	5258	11476	5094	8.926239838745618	19.482222972507554	0.0	0.0	-1.1259594978795953	33003.784818595035	0.0	0.0	ani_enriched
HROM_Genome_1673	Butyrivibrio sp015258065	227913	42391	869	299	3.7199293339283668	0.07625719117698923	0.0	1.0	5.607445178512591	27202.20224872771	0.0	1.0	structural_enriched
