query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count	ani_gated	gate	flag
JACESW010000001.1	GCA_011525035.1	93.7324	93.7324	0.4531	0.2401	0.20505	54	0.9913	3	93.7324	uniform	ok
JACESW010000001.1	GCA_012269745.1	93.0904	93.0904	0.0772	0.0352	0.51859	11	1.0000	0	93.0904	uniform	ok
JABWAU010000027.1	GCA_002343775.1	98.4375	98.4375	0.0004	0.0003	1.09619	1	1.0000	0	98.4375	uniform	ok
JABWAU010000027.1	GCA_013112685.1	87.8560	87.8560	0.0030	0.0027	1.94132	1	1.0000	0	87.8560	uniform_fallback	BELOW_DETECTION
JACEST010000001.1	GCA_017744495.1	94.5643	94.5643	0.0004	0.0002	1.97584	1	1.0000	0	94.5643	uniform_fallback	INCONSISTENT
JACEST010000001.1	GCA_011054555.1	93.4138	93.4138	0.0031	0.0024	1.40359	1	1.0000	0	93.4138	uniform	ok
JACEST010000001.1	GCA_012035435.1	93.0415	93.0415	0.0165	0.0104	0.60957	8	1.0000	0	93.0415	uniform	ok
JACEST010000001.1	GCA_013791705.1	91.8368	91.8368	0.0019	0.0011	1.87038	1	1.0000	0	91.8368	uniform_fallback	INCONSISTENT
JACEST010000001.1	GCA_013821905.1	91.3581	91.3581	0.0080	0.0050	1.22446	2	1.0000	0	91.3581	uniform	INCONSISTENT
JACEST010000001.1	GCA_002842935.1	90.5533	90.5533	0.0097	0.0047	0.99919	3	1.0000	0	90.5533	uniform	ok
JACEST010000001.1	GCA_017304635.1	89.2309	89.2309	0.0052	0.0030	1.64927	1	1.0000	0	89.2309	uniform	ok
JACESM010000001.1	GCA_013823385.1	96.7788	96.7788	0.0018	0.0012	0.71848	3	1.0000	0	96.7788	uniform	ok
JACESM010000001.1	GCA_002387245.1	95.9350	95.9350	0.0001	0.0001	1.78061	1	1.0000	0	95.9350	uniform_fallback	INCONSISTENT
JACESM010000001.1	GCA_013821905.1	95.5281	95.5281	0.0006	0.0005	1.28543	2	1.0000	0	95.5281	uniform	ok
JACESM010000001.1	GCA_002341345.1	95.2011	95.2011	0.0002	0.0002	1.83926	1	1.0000	0	95.2011	uniform	ok
JACESM010000001.1	GCA_002342035.1	94.4937	94.4937	0.0004	0.0003	1.51941	1	1.0000	0	94.4937	uniform_fallback	INCONSISTENT
JACESM010000001.1	GCA_002706445.1	94.4739	94.4739	0.0009	0.0005	1.17703	2	0.9091	1	94.4739	uniform_fallback	INCONSISTENT
JACESM010000001.1	GCA_002403415.1	93.7514	93.7514	0.0006	0.0003	1.44439	2	0.8571	1	93.7514	uniform_fallback	INCONSISTENT
JACESM010000001.1	GCA_013001165.1	93.1282	93.1282	0.0012	0.0009	1.09370	3	0.9231	1	93.1282	uniform_fallback	INCONSISTENT
JACESM010000001.1	GCA_009993605.1	92.4671	92.4671	0.0006	0.0006	1.81401	1	1.0000	0	92.4671	uniform	ok
JACESM010000001.1	GCA_013001055.1	91.9268	91.9268	0.0006	0.0007	1.90660	1	1.0000	0	91.9268	uniform	ok
JACESM010000001.1	GCA_013389075.1	91.6276	91.6276	0.0005	0.0005	2.19408	1	1.0000	0	91.6276	uniform_fallback	INCONSISTENT
JACESM010000001.1	GCA_013791705.1	90.7863	90.7863	0.0014	0.0012	1.71493	1	1.0000	0	90.7863	uniform	ok
JACESM010000001.1	GCA_002336765.1	90.5862	90.5862	0.0005	0.0006	2.16847	1	1.0000	0	90.5862	uniform_fallback	INCONSISTENT
JACESM010000001.1	GCA_011054555.1	89.8052	90.9361	0.0826	0.0921	0.29616	28	1.0000	0	89.8052	gamma	ok
JACESM010000001.1	GCA_002842735.1	89.7611	89.7611	0.0319	0.0303	0.53315	9	1.0000	0	89.7611	uniform	ok
JACESM010000001.1	GCA_011765465.1	88.3448	88.3448	0.0360	0.0294	0.59469	6	1.0000	0	88.3448	uniform	ok
PKDQ01000026.1	GCA_009886265.1	91.0899	92.0714	0.2593	0.2538	0.32515	25	0.9664	5	91.0899	gamma	ok
PKDQ01000026.1	GCA_002698745.1	85.0905	89.7795	0.2188	0.2002	0.44293	12	0.9750	2	89.7795	uniform_fallback	INCONSISTENT
JABFYH010000040.1	GCA_013697785.1	89.7297	89.7297	0.0028	0.0027	1.88687	1	1.0000	0	89.7297	uniform_fallback	INCONSISTENT
JABFYH010000040.1	GCA_013361935.1	89.5578	89.5578	0.0025	0.0023	1.83218	1	1.0000	0	89.5578	uniform_fallback	INCONSISTENT
PKDX01000021.1	GCA_002708985.1	89.3374	90.1315	0.5870	0.6142	0.19794	45	0.9665	15	89.3374	gamma	ok
JACESA010000001.1	GCA_017744495.1	96.0938	96.0938	0.0002	0.0002	1.71247	1	1.0000	0	96.0938	uniform_fallback	INCONSISTENT
JACESA010000001.1	GCA_012270135.1	94.6059	97.7386	0.0225	0.0302	0.28240	5	0.9889	1	94.6059	gamma	INCONSISTENT
JACESA010000001.1	GCF_900116065.1	92.8573	92.8573	0.0124	0.0145	0.62648	5	1.0000	0	92.8573	uniform	INCONSISTENT
JACESA010000001.1	GCA_002419815.1	92.7304	92.7304	0.0067	0.0082	0.73712	4	1.0000	0	92.7304	uniform	INCONSISTENT
JACESA010000001.1	GCA_011058465.1	92.6968	92.6968	0.0011	0.0008	1.66000	1	1.0000	0	92.6968	uniform_fallback	INCONSISTENT
JACESA010000001.1	GCA_013823285.1	92.6756	92.6756	0.0041	0.0051	0.88241	4	0.9474	1	92.6756	uniform	INCONSISTENT
JACESA010000001.1	GCF_900163625.1	92.1721	92.1721	0.0383	0.0413	0.41436	14	0.9767	2	92.1721	uniform	INCONSISTENT
JACESA010000001.1	GCA_013911965.1	92.1604	92.1604	0.0021	0.0019	1.31484	2	1.0000	0	92.1604	uniform	INCONSISTENT
JACESA010000001.1	GCA_002483305.1	91.6962	91.6962	0.0229	0.0266	0.51744	11	0.9818	1	91.6962	uniform	INCONSISTENT
JACESA010000001.1	GCA_002479495.1	91.4481	92.3148	0.0530	0.0563	0.36193	17	0.9561	5	91.4481	gamma	INCONSISTENT
JACESA010000001.1	GCA_002387245.1	90.5184	90.5184	0.0824	0.0837	0.36766	16	0.9565	5	90.5184	uniform	INCONSISTENT
JACESA010000001.1	GCA_002363865.1	88.0784	88.0784	0.0038	0.0038	1.54638	1	1.0000	0	88.0784	uniform	BELOW_DETECTION
JACESA010000001.1	GCA_000017645.1	86.4840	86.4840	0.0080	0.0049	1.46984	1	1.0000	0	86.4840	uniform	BELOW_DETECTION
JABFXP010000018.1	GCA_013362315.1	94.4677	95.2434	0.1200	0.1432	0.09929	151	0.9888	14	94.4677	gamma	ok
CP048914.1	GCA_002376065.1	99.9999	99.9999	0.0029	0.0032	8.45153	1	1.0000	0	99.9999	uniform	INCONSISTENT
JABFXK010000189.1	GCA_009993605.1	95.1617	95.1617	0.0005	0.0004	1.82895	1	1.0000	0	95.1617	uniform	ok
JABFXK010000189.1	GCA_017304635.1	91.6276	91.6276	0.0009	0.0006	2.19408	1	1.0000	0	91.6276	uniform_fallback	INCONSISTENT
WIAF01000021.1	GCA_013140455.1	92.7718	92.7718	0.0005	0.0006	1.81404	1	1.0000	0	92.7718	uniform_fallback	INCONSISTENT
WIAF01000021.1	GCA_013696305.1	84.3081	84.3081	0.0100	0.0131	1.50806	1	1.0000	0	84.3081	uniform_fallback	BELOW_DETECTION
WIAF01000021.1	GCA_002869855.2	83.6050	83.6050	0.0107	0.0139	1.74114	1	1.0000	0	83.6050	uniform_fallback	BELOW_DETECTION
CP047423.1	GCA_012032965.1	93.2107	93.2107	0.0959	0.1614	0.21318	54	0.8583	53	93.2107	uniform	INCONSISTENT
PKDW01000164.1	GCA_013330925.1	99.4350	99.4350	0.0026	0.0031	0.56337	1	1.0000	0	99.4350	uniform	ok
PKDW01000164.1	GCA_002690925.1	95.0150	95.0150	0.0381	0.0104	0.34417	12	1.0000	0	95.0150	uniform	ok
PKDW01000164.1	GCA_011524845.1	86.9312	91.7513	0.0286	0.0331	0.59760	6	0.9750	1	91.7513	uniform_fallback	INCONSISTENT
JABFWJ010000477.1	GCA_013361935.1	96.1538	96.1538	0.0004	0.0004	1.42548	1	1.0000	0	96.1538	uniform_fallback	INCONSISTENT
