query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count	ani_gated	gate	flag
DFDY01000113.1	ONIP01000060.1	93.5947	93.5947	0.0010	0.0009	1.65711	1	1.0000	0	93.5947	uniform	ok
DFDY01000113.1	DGIA01000010.1	99.5364	99.5364	0.0053	0.0067	0.26823	3	1.0000	0	99.5364	uniform	ok
DHNI01000101.1	JAAZLQ010000358.1	99.9999	99.9999	0.0013	0.0011	8.30454	1	1.0000	0	99.9999	uniform	ok
DHNI01000101.1	DIPH01000010.1	82.3533	89.0619	0.1585	0.1405	0.38421	14	1.0000	0	89.0619	uniform_fallback	INCONSISTENT
NZ_CP043641.1	WHST01000131.1	87.9578	87.9578	0.0022	0.0017	1.70515	1	1.0000	0	87.9578	uniform	BELOW_DETECTION
NZ_CP043641.1	JADJVX010000001.1	88.0315	88.0315	0.0016	0.0021	1.81513	1	1.0000	0	88.0315	uniform_fallback	INCONSISTENT
NZ_CP043641.1	JAFKIW010000006.1	86.8357	86.8357	0.0313	0.0369	0.59572	6	0.8750	5	86.8357	uniform	BELOW_DETECTION
NZ_CP043641.1	DHJB01000057.1	88.8354	88.8354	0.0023	0.0060	1.74042	1	1.0000	0	88.8354	uniform_fallback	INCONSISTENT
NZ_CP043641.1	WOYQ01000046.1	88.0739	88.0739	0.0023	0.0048	1.82317	1	1.0000	0	88.0739	uniform	INCONSISTENT
NZ_CP043641.1	WOYP01000042.1	89.8753	89.8753	0.0018	0.0035	1.52795	1	1.0000	0	89.8753	uniform	INCONSISTENT
NZ_CP043641.1	DJWE01000043.1	88.8780	88.8780	0.0015	0.0023	1.80860	1	1.0000	0	88.8780	uniform_fallback	INCONSISTENT
NZ_CP043641.1	JAAFHT010000152.1	89.6140	89.6140	0.0016	0.0028	1.67150	1	1.0000	0	89.6140	uniform	INCONSISTENT
NZ_CP043641.1	PBYI01000025.1	90.8383	90.8383	0.0015	0.0014	1.50531	1	1.0000	0	90.8383	uniform	INCONSISTENT
NZ_CP043641.1	JABMLH010000001.1	88.1569	88.1569	0.0438	0.0411	0.44966	7	0.9211	6	88.1569	uniform	BELOW_DETECTION
NZ_CP043641.1	PJCV01000010.1	88.6775	88.6775	0.0120	0.0194	0.83128	3	0.9048	2	88.6775	uniform_fallback	INCONSISTENT
NZ_CP043641.1	PHEV01000208.1	88.8780	88.8780	0.0015	0.0018	1.80860	1	1.0000	0	88.8780	uniform_fallback	INCONSISTENT
DGTJ01000008.1	DEJF01000056.1	88.2287	88.2287	0.0054	0.0050	1.84729	1	1.0000	0	88.2287	uniform	ok
DGTJ01000008.1	DFGF01000135.1	94.5313	94.5313	0.0002	0.0002	2.00968	1	1.0000	0	94.5313	uniform_fallback	INCONSISTENT
DGTJ01000008.1	DFJI01000040.1	88.3638	88.3638	0.0027	0.0040	2.01375	1	1.0000	0	88.3638	uniform_fallback	INCONSISTENT
DGTJ01000008.1	DFKL01000147.1	98.7500	98.7500	0.0003	0.0005	0.87834	1	1.0000	0	98.7500	uniform	ok
DGTJ01000008.1	DFTH01000014.1	92.9695	92.9695	0.0051	0.0076	1.38806	2	1.0000	0	92.9695	uniform	ok
DJZY01000045.1	DRHY01000001.1	97.7115	97.7115	0.0029	0.0050	0.92598	1	1.0000	0	97.7115	uniform	ok
NZ_BMXS01000001.1	DRFS01000001.1	67.8508	86.7934	0.0059	0.0061	1.32444	1	1.0000	0	86.7934	uniform_fallback	BELOW_DETECTION
NZ_BMXS01000001.1	PAKW01000001.1	89.9289	89.9289	0.0040	0.0085	1.08868	1	1.0000	0	89.9289	uniform	ok
DKVF01000063.1	QUKC01000001.1	96.2963	96.2963	0.0009	0.0006	1.81723	1	1.0000	0	96.2963	uniform_fallback	INCONSISTENT
NZ_JACZZA010000010.1	NZ_JAGJRS010000001.1	85.9356	87.8374	0.0774	0.1050	0.31259	19	0.9463	8	85.9356	gamma	BELOW_DETECTION
NZ_JACZZA010000010.1	SCQU01000006.1	89.9959	89.9959	0.0019	0.0032	1.58397	1	1.0000	0	89.9959	uniform	INCONSISTENT
NZ_JACZZA010000010.1	CP050452.1	91.6882	91.6882	0.0010	0.0012	1.84582	1	1.0000	0	91.6882	uniform	INCONSISTENT
NZ_JACZZA010000010.1	JAACZU010000001.1	90.9857	90.9857	0.0035	0.0046	1.02898	3	1.0000	0	90.9857	uniform	INCONSISTENT
NZ_JACZZA010000010.1	DEVL01000003.1	89.4808	89.4808	0.0037	0.0050	1.21189	2	1.0000	0	89.4808	uniform	INCONSISTENT
NZ_JACZZA010000010.1	JAABRY010000001.1	95.1781	95.1781	0.0002	0.0004	1.80847	1	1.0000	0	95.1781	uniform	ok
NZ_JACZZA010000010.1	DJAN01000207.1	91.2001	91.2001	0.0026	0.0035	1.22776	2	1.0000	0	91.2001	uniform	INCONSISTENT
NZ_JACZZA010000010.1	WYBC01000008.1	85.9184	85.9184	0.0046	0.0059	1.50239	1	1.0000	0	85.9184	uniform	BELOW_DETECTION
NZ_JACZZA010000010.1	DKPB01000011.1	93.7411	93.7411	0.0006	0.0007	1.73308	1	1.0000	0	93.7411	uniform	INCONSISTENT
NZ_JACZZA010000010.1	JABFRN010000001.1	88.2318	88.2318	0.0039	0.0048	1.27815	2	1.0000	0	88.2318	uniform	BELOW_DETECTION
NZ_JACZZA010000010.1	JABFYC010000269.1	89.5204	89.5204	0.0016	0.0019	1.65269	1	1.0000	0	89.5204	uniform_fallback	INCONSISTENT
NZ_JACZZA010000010.1	JABFWW010000175.1	88.4436	88.4436	0.0247	0.0378	0.50252	9	0.9322	4	88.4436	uniform	INCONSISTENT
NZ_JACZZA010000010.1	JAAFHE010000001.1	93.8021	93.8021	0.0007	0.0008	1.42814	2	1.0000	0	93.8021	uniform	INCONSISTENT
NYTS01000001.1	WTIF01000243.1	93.2832	93.2832	0.3213	0.2895	0.15063	91	0.9618	27	93.2832	uniform	ok
NZ_JADMSO010000010.1	RAYB01000109.1	99.0317	99.0317	0.0012	0.0009	0.68753	1	1.0000	0	99.0317	uniform	ok
DKVK01000083.1	DERZ01000008.1	99.9999	99.9999	0.0021	0.0033	6.44156	1	1.0000	0	99.9999	uniform	ok
PABG01000001.1	DSBO01000006.1	92.0147	92.0147	0.0006	0.0008	2.06684	1	1.0000	0	92.0147	uniform_fallback	INCONSISTENT
PABG01000001.1	RFTM01000001.1	89.7882	89.7882	0.0020	0.0021	1.87174	1	1.0000	0	89.7882	uniform	ok
PABG01000001.1	DROT01000001.1	91.4062	91.4062	0.0038	0.0038	1.20225	3	0.9333	1	91.4062	uniform	ok
PABG01000001.1	DSTC01000005.1	98.5086	98.5086	0.0015	0.0017	0.86699	1	1.0000	0	98.5086	uniform	ok
PABG01000001.1	VEPL01000025.1	94.4443	94.4443	0.0006	0.0006	1.92938	1	1.0000	0	94.4443	uniform	ok
PABG01000001.1	JAABSN010000001.1	95.2344	95.2344	0.0003	0.0002	1.84988	1	1.0000	0	95.2344	uniform	ok
PABG01000001.1	DLCH01000046.1	99.9811	99.9811	0.0258	0.0175	0.01886	6	1.0000	0	99.9811	uniform	ok
PABG01000001.1	JABDQH010000076.1	94.3443	94.3443	0.0006	0.0006	1.78926	1	1.0000	0	94.3443	uniform_fallback	INCONSISTENT
PABG01000001.1	CP053448.1	89.8368	89.8368	0.0017	0.0014	1.89474	1	1.0000	0	89.8368	uniform_fallback	INCONSISTENT
NZ_NRRU01000001.1	NZ_JAGGNW010000009.1	90.2693	90.2693	0.0076	0.0072	0.66053	6	1.0000	0	90.2693	uniform	INCONSISTENT
NZ_NRRU01000001.1	NZ_CADFEN010000001.1	85.6392	85.6392	0.0088	0.0067	0.98965	2	1.0000	0	85.6392	uniform	BELOW_DETECTION
NZ_NRRU01000001.1	SBFS01000297.1	88.4205	88.4205	0.0021	0.0042	1.80527	1	1.0000	0	88.4205	uniform	INCONSISTENT
NZ_NRRU01000001.1	JAAYCV010000073.1	94.5313	94.5313	0.0001	0.0002	2.00968	1	1.0000	0	94.5313	uniform_fallback	INCONSISTENT
NZ_NRRU01000001.1	JACMKJ010000435.1	88.4476	88.4476	0.0044	0.0047	1.22205	2	1.0000	0	88.4476	uniform_fallback	INCONSISTENT
NZ_NRRU01000001.1	SCMQ01000010.1	91.2005	91.2005	0.0084	0.0098	0.60460	7	0.9744	1	91.2005	uniform	INCONSISTENT
NZ_NRRU01000001.1	JACRPA010000007.1	93.6678	93.6678	0.0006	0.0010	1.36420	2	1.0000	0	93.6678	uniform_fallback	INCONSISTENT
NZ_NRRU01000001.1	DSNY01000034.1	87.6159	87.6159	0.0037	0.0047	1.24384	2	1.0000	0	87.6159	uniform	BELOW_DETECTION
NZ_NRRU01000001.1	WNDQ01000001.1	89.3724	89.3724	0.0065	0.0086	0.80643	4	1.0000	0	89.3724	uniform	INCONSISTENT
NZ_NRRU01000001.1	WNDX01000001.1	96.0496	96.0496	0.0001	0.0001	1.71817	1	1.0000	0	96.0496	uniform	INCONSISTENT
NZ_NRRU01000001.1	RFMI01000136.1	93.0587	93.0587	0.0007	0.0020	1.82385	1	1.0000	0	93.0587	uniform	ok
NZ_NRRU01000001.1	DSTC01000005.1	88.2739	88.2739	0.0017	0.0033	1.80424	1	1.0000	0	88.2739	uniform	BELOW_DETECTION
NZ_NRRU01000001.1	DITC01000030.1	93.1226	93.1226	0.0009	0.0014	1.32776	2	1.0000	0	93.1226	uniform	INCONSISTENT
NZ_NRRU01000001.1	JAABTC010000001.1	92.0890	92.0890	0.0065	0.0148	0.65104	6	1.0000	0	92.0890	uniform	INCONSISTENT
NZ_NRRU01000001.1	JAABPT010000113.1	90.1234	90.1234	0.0259	0.0375	0.37807	16	0.9901	1	90.1234	uniform	INCONSISTENT
NZ_NRRU01000001.1	WYBH01000145.1	91.4325	91.4325	0.0092	0.0213	0.53864	11	0.9792	1	91.4325	uniform	INCONSISTENT
NZ_NRRU01000001.1	WYAY01000047.1	94.1274	94.1274	0.0003	0.0005	1.77142	1	1.0000	0	94.1274	uniform	ok
NZ_NRRU01000001.1	WOZN01000330.1	89.0048	89.0048	0.0011	0.0024	1.91050	1	1.0000	0	89.0048	uniform	INCONSISTENT
NZ_NRRU01000001.1	WVZN01000048.1	90.1949	90.1949	0.0041	0.0047	0.90129	3	1.0000	0	90.1949	uniform	INCONSISTENT
NZ_NRRU01000001.1	JAAOZX010000430.1	88.5500	88.5500	0.0032	0.0042	1.21422	1	1.0000	0	88.5500	uniform	INCONSISTENT
NZ_NRRU01000001.1	DKSY01000006.1	87.9788	87.9788	0.0057	0.0059	1.00100	3	1.0000	0	87.9788	uniform	BELOW_DETECTION
NZ_NRRU01000001.1	JABBPE010000001.1	95.2859	95.2859	0.0011	0.0014	1.63301	1	1.0000	0	95.2859	uniform	INCONSISTENT
NZ_NRRU01000001.1	JABCYW010000001.1	87.5633	90.0266	0.0248	0.0222	0.39575	16	0.9667	3	87.5633	gamma	INCONSISTENT
NZ_NRRU01000001.1	JABWBN010000166.1	88.3981	88.3981	0.0358	0.0440	0.38922	15	0.9892	1	88.3981	uniform	INCONSISTENT
NZ_NRRU01000001.1	JABFXW010000171.1	94.4614	94.4614	0.0005	0.0007	1.27249	2	1.0000	0	94.4614	uniform	INCONSISTENT
NZ_NRRU01000001.1	JABTBR010000001.1	86.6429	86.6429	0.0022	0.0017	1.81410	1	1.0000	0	86.6429	uniform	BELOW_DETECTION
NZ_NRRU01000001.1	JACDZI010000024.1	87.3748	87.3748	0.0023	0.0038	1.55353	1	1.0000	0	87.3748	uniform_fallback	BELOW_DETECTION
NZ_NRRU01000001.1	JAAFKF010000001.1	89.7150	89.7150	0.0131	0.0178	0.55714	10	0.9792	1	89.7150	uniform	INCONSISTENT
NZ_NRRU01000001.1	JACDCU010000452.1	90.7935	90.7935	0.0110	0.0141	0.57509	9	0.9333	3	90.7935	uniform	INCONSISTENT
NZ_NRRU01000001.1	PNMN01000001.1	89.6606	89.6606	0.0042	0.0071	0.94859	3	1.0000	0	89.6606	uniform	INCONSISTENT
NZ_NRRU01000001.1	PHCI01000036.1	90.8841	90.8841	0.0027	0.0037	0.92444	3	1.0000	0	90.8841	uniform	INCONSISTENT
NZ_NRRU01000001.1	PNNC01000063.1	95.2500	95.2500	0.0002	0.0003	1.82906	1	1.0000	0	95.2500	uniform	INCONSISTENT
NYTE01000025.1	VMDC01000001.1	95.5542	95.5542	0.0020	0.0016	1.61098	1	1.0000	0	95.5542	uniform	ok
PAUU01000059.1	WTHR01000248.1	92.9807	92.9807	0.5718	0.3661	0.14952	83	0.9595	28	92.9807	uniform	ok
NZ_BOOA01000001.1	NZ_FOLJ01000034.1	87.8581	87.8581	0.0042	0.0050	1.12988	1	1.0000	0	87.8581	uniform	BELOW_DETECTION
NZ_BOOA01000001.1	JODX01000001.1	88.3040	88.3040	0.0013	0.0017	1.88941	1	1.0000	0	88.3040	uniform	ok
NZ_BOOA01000001.1	RHDP01000001.1	87.4588	87.4588	0.0038	0.0050	1.30719	1	1.0000	0	87.4588	uniform_fallback	BELOW_DETECTION
NZ_BOOA01000001.1	WHST01000131.1	88.0748	88.0748	0.0027	0.0036	1.21403	2	1.0000	0	88.0748	uniform	BELOW_DETECTION
NZ_BOOA01000001.1	WOTO01000001.1	87.0535	87.0535	0.0027	0.0027	1.46786	1	1.0000	0	87.0535	uniform_fallback	BELOW_DETECTION
NZ_BOOA01000001.1	JAAYTZ010000077.1	83.8099	83.8099	0.0039	0.0111	1.60933	1	1.0000	0	83.8099	uniform_fallback	BELOW_DETECTION
NZ_BOOA01000001.1	NYMS01000001.1	86.5611	86.5611	0.0048	0.0057	1.17751	1	1.0000	0	86.5611	uniform_fallback	BELOW_DETECTION
NZ_BOOA01000001.1	CP059259.1	85.6234	85.6234	0.0031	0.0087	1.67077	1	1.0000	0	85.6234	uniform	BELOW_DETECTION
NZ_BOOA01000001.1	JACDAB010000082.1	88.5385	88.5385	0.0013	0.0050	1.61802	1	1.0000	0	88.5385	uniform_fallback	INCONSISTENT
PBRG01000029.1	DRFG01000001.1	99.8328	99.8328	0.0024	0.0013	0.16708	2	1.0000	0	99.8328	uniform	ok
PBRG01000029.1	NZNC01000030.1	99.8538	99.8538	0.0027	0.0027	0.14609	1	1.0000	0	99.8538	uniform	ok
PBRG01000029.1	PABK01000058.1	99.8260	99.8217	0.0040	0.0026	0.12593	5	0.9375	3	99.8260	gamma	ok
PBRG01000029.1	PCCY01000001.1	99.9999	99.9999	0.0020	0.0016	5.99760	1	1.0000	0	99.9999	uniform	ok
PBRG01000029.1	NVUM01000001.1	88.5828	96.3385	0.0066	0.0101	0.79075	1	1.0000	0	88.5828	gamma	ok
NZ_JAFGZF010000010.1	JAAHBU010000001.1	88.4026	88.4026	0.0576	0.0595	0.32410	21	0.9444	8	88.4026	uniform	INCONSISTENT
NZ_JAFGZF010000010.1	DJJS01000004.1	82.7379	86.3503	0.0800	0.0999	0.33852	15	0.9569	5	86.3503	uniform_fallback	BELOW_DETECTION
NZ_JAFGZF010000010.1	PEKX01000023.1	84.5855	84.5855	0.0432	0.0425	0.55985	7	0.9744	1	84.5855	uniform_fallback	BELOW_DETECTION
PATO01000001.1	WTHU01000122.1	97.1942	97.1942	0.5521	0.3996	0.11142	70	0.9508	36	97.1942	uniform	ok
PATO01000001.1	DANW01000044.1	93.8160	93.8160	0.0095	0.0109	1.36914	1	1.0000	0	93.8160	uniform	ok
PATO01000001.1	PAEG01000092.1	94.4444	94.4444	0.0015	0.0012	2.20414	1	1.0000	0	94.4444	uniform_fallback	INCONSISTENT
PATO01000001.1	PATH01000027.1	89.0040	89.0040	0.0308	0.0361	1.17377	2	1.0000	0	89.0040	uniform	INCONSISTENT
PATO01000001.1	PAUH01000036.1	91.1184	91.1184	0.0098	0.0090	1.81028	1	1.0000	0	91.1184	uniform_fallback	INCONSISTENT
PATO01000001.1	PAWI01000001.1	85.1043	85.1043	0.0270	0.0299	1.90886	1	1.0000	0	85.1043	uniform	BELOW_DETECTION
PCWY01000084.1	PCQY01000021.1	99.9999	99.9999	0.0036	0.0064	5.77350	1	1.0000	0	99.9999	uniform	ok
NZ_JAGJRS010000001.1	SCQU01000006.1	90.5530	90.5530	0.0027	0.0033	1.73092	1	1.0000	0	90.5530	uniform	INCONSISTENT
NZ_JAGJRS010000001.1	CP050452.1	87.5856	87.5856	0.0078	0.0069	1.16199	2	1.0000	0	87.5856	uniform	BELOW_DETECTION
NZ_JAGJRS010000001.1	JACPFU010000025.1	94.7855	94.7855	0.0003	0.0003	1.95357	1	1.0000	0	94.7855	uniform	INCONSISTENT
NZ_JAGJRS010000001.1	SCMQ01000010.1	94.4385	94.4385	0.0005	0.0004	1.86314	1	1.0000	0	94.4385	uniform	INCONSISTENT
NZ_JAGJRS010000001.1	JAACZU010000001.1	89.7690	89.7690	0.0116	0.0118	0.71036	5	0.9333	2	89.7690	uniform	INCONSISTENT
NZ_JAGJRS010000001.1	DEOB01000002.1	85.4343	85.4343	0.0039	0.0039	1.74647	1	1.0000	0	85.4343	uniform	BELOW_DETECTION
NZ_JAGJRS010000001.1	DEVL01000003.1	87.5681	87.5681	0.0041	0.0040	1.45857	1	1.0000	0	87.5681	uniform_fallback	BELOW_DETECTION
NZ_JAGJRS010000001.1	DGLB01000079.1	87.9060	87.9060	0.0039	0.0035	1.36760	1	1.0000	0	87.9060	uniform	BELOW_DETECTION
NZ_JAGJRS010000001.1	DJAN01000207.1	89.4098	89.4098	0.0091	0.0088	0.87844	4	0.9474	1	89.4098	uniform	INCONSISTENT
NZ_JAGJRS010000001.1	WYBC01000008.1	87.1383	87.1383	0.0071	0.0066	1.24517	2	1.0000	0	87.1383	uniform	BELOW_DETECTION
NZ_JAGJRS010000001.1	WVWV01000076.1	95.7627	95.7627	0.0001	0.0001	1.85439	1	1.0000	0	95.7627	uniform_fallback	INCONSISTENT
NZ_JAGJRS010000001.1	JABWBN010000166.1	94.3089	94.3089	0.0001	0.0001	2.08891	1	1.0000	0	94.3089	uniform_fallback	INCONSISTENT
NZ_JAGJRS010000001.1	JABFWW010000175.1	90.3998	91.3043	0.3482	0.3892	0.12672	102	0.9220	78	90.3998	gamma	ok
PBPT01000022.1	DEBE01000165.1	99.9999	99.9999	0.0016	0.0018	7.51645	1	1.0000	0	99.9999	uniform	ok
NZ_JAGJTM010000001.1	JACESE010000001.1	92.9394	92.9394	0.0053	0.0028	1.14571	2	0.9091	1	92.9394	uniform	ok
NZ_JAGJTM010000001.1	DFMV01000059.1	88.1556	88.1556	0.0083	0.0048	1.46084	1	1.0000	0	88.1556	uniform_fallback	BELOW_DETECTION
NEWQ02000001.1	JABFSU010000130.1	92.9327	93.8500	0.6289	0.5631	0.08847	142	0.9506	95	92.9327	gamma	ok
NZ_JAGGNW010000009.1	NZ_CADFEN010000001.1	92.2600	92.2600	0.0026	0.0020	1.03583	5	0.8947	2	92.2600	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	JAAVLQ010000001.1	96.2500	96.2500	0.0000	0.0000	1.50195	3	0.8182	2	96.2500	uniform_fallback	INCONSISTENT
NZ_JAGGNW010000009.1	JAAYCV010000073.1	87.2273	87.2273	0.0038	0.0090	1.24254	2	0.9000	1	87.2273	uniform	BELOW_DETECTION
NZ_JAGGNW010000009.1	JACMKJ010000435.1	93.2638	93.2638	0.0008	0.0010	1.25706	2	1.0000	0	93.2638	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	CP050452.1	98.1250	98.1250	0.0000	0.0000	1.07233	4	0.8235	3	98.1250	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	JACSRS010000125.1	90.2197	90.2197	0.0035	0.0050	0.99975	3	1.0000	0	90.2197	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	SCMQ01000010.1	86.6536	88.1573	0.0705	0.0782	0.28353	25	0.9382	11	86.6536	gamma	BELOW_DETECTION
NZ_JAGGNW010000009.1	JADJDU010000001.1	98.1250	98.1250	0.0000	0.0000	1.07233	2	0.8571	1	98.1250	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	DSNY01000034.1	85.2663	85.2663	0.0030	0.0041	1.87720	1	1.0000	0	85.2663	uniform_fallback	BELOW_DETECTION
NZ_JAGGNW010000009.1	JAGOEY010000063.1	87.7192	87.7192	0.0022	0.0059	1.54427	1	1.0000	0	87.7192	uniform	BELOW_DETECTION
NZ_JAGGNW010000009.1	JAFDWI010000100.1	98.1250	98.1250	0.0000	0.0000	1.07233	3	0.8182	2	98.1250	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	WNDQ01000001.1	87.6253	89.3998	0.0195	0.0272	0.46435	9	0.9437	4	87.6253	gamma	INCONSISTENT
NZ_JAGGNW010000009.1	JAAFGZ010000050.1	85.0183	85.0183	0.0080	0.0101	1.09196	2	1.0000	0	85.0183	uniform_fallback	BELOW_DETECTION
NZ_JAGGNW010000009.1	DRLG01000001.1	98.1250	98.1250	0.0000	0.0000	1.07233	3	0.8333	2	98.1250	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	JAABQC010000100.1	85.6549	85.6549	0.0054	0.0120	1.40205	1	1.0000	0	85.6549	uniform_fallback	BELOW_DETECTION
NZ_JAGGNW010000009.1	JAABTC010000001.1	90.5987	90.5987	0.0011	0.0028	1.71691	1	1.0000	0	90.5987	uniform_fallback	INCONSISTENT
NZ_JAGGNW010000009.1	JAABQI010000112.1	86.5149	86.5149	0.0028	0.0050	1.73612	1	1.0000	0	86.5149	uniform	BELOW_DETECTION
