query	reference	q_species	r_species	anim_ani	anim_aligned_query	anim_aligned_ref	s2b_ani	ani_uniform	af_query	af_reference	std_err	retention	ani_from_loss	ani_from_hist	n_anchors	n_chains	n_tags	flag	skani_ani	fastani_ani
GCF_040267655.1	GCF_056269625.1	Bifidobacterium longum	Bifidobacterium breve	89.2551	48.11	48.69	82.4991	89.7241	0.7969	0.8089	0.13326	0.2687	88.9275	95.0472	1023	20	3831	INCONSISTENT	87.15	86.50179999999999
GCF_040267655.1	GCF_052416495.1	Bifidobacterium longum	Bifidobacterium breve	89.4852	46.58	49.09	81.6435	89.8909	0.8221	0.7562	0.13007	0.2776	89.0172	95.3746	1133	31	3923	INCONSISTENT	87.37	86.8567
GCF_040267655.1	GCF_002838225.1	Bifidobacterium longum	Bifidobacterium breve	89.4569	47.46	50.21	83.4724	90.2717	0.7733	0.7677	0.1295	0.2987	89.4239	95.2768	1063	22	3686	INCONSISTENT	87.42	87.0675
GCF_020181415.1	GCF_056269625.1	Bifidobacterium longum	Bifidobacterium breve	89.6882	50.55	45.01	84.6864	90.7259	0.6531	0.76	0.12632	0.3248	89.8589	95.3915	1148	31	3571	INCONSISTENT	87.47	87.0342
GCF_020181415.1	GCF_052416495.1	Bifidobacterium longum	Bifidobacterium breve	90.1259	50.07	46.93	84.0532	91.1414	0.6918	0.7609	0.11857	0.3504	90.1342	95.9093	1313	32	3796	INCONSISTENT	88.34	87.40639999999999
GCF_020181415.1	GCF_002838225.1	Bifidobacterium longum	Bifidobacterium breve	89.804	49.19	45.64	85.0608	90.9616	0.644	0.7193	0.12478	0.3392	90.0665	95.5049	1149	28	3513	INCONSISTENT	88.15	87.3849
GCF_057457685.1	GCF_056269625.1	Bifidobacterium longum	Bifidobacterium breve	89.6239	50.08	46.0	83.3892	90.652	0.6926	0.7532	0.12527	0.3208	89.7392	95.594	1139	33	3698	INCONSISTENT	87.34	87.0055
GCF_057457685.1	GCF_052416495.1	Bifidobacterium longum	Bifidobacterium breve	90.1963	50.04	49.41	83.7032	91.2979	0.736	0.7443	0.11553	0.3606	90.2521	96.0555	1344	39	3903	INCONSISTENT	88.38	87.5786
GCF_057457685.1	GCF_002838225.1	Bifidobacterium longum	Bifidobacterium breve	89.7262	48.95	47.62	84.2181	90.9377	0.6747	0.7161	0.12418	0.338	90.0186	95.6223	1150	27	3574	INCONSISTENT	87.65	87.27420000000001
GCF_900186885.1	GCF_900637515.1	Veillonella parvula	Veillonella dispar	87.6959	71.65	71.23	83.4329	89.2896	0.8416	0.8651	0.21367	0.2698	88.5058	94.3902	453	6	1633	INCONSISTENT	87.27	86.96209999999999
GCF_900186885.1	GCF_902652545.1	Veillonella parvula	Veillonella dispar	87.6266	71.36	72.15	87.4801	90.4351	0.5999	0.6075	0.22711	0.3311	89.7992	94.0075	435	24	1173	INCONSISTENT	87.53	86.8352
GCF_002005185.1	GCF_900637515.1	Veillonella parvula	Veillonella dispar	87.8585	72.59	70.52	83.7829	89.7761	0.7857	0.8187	0.20853	0.2959	88.9497	94.652	486	6	1585	INCONSISTENT	87.38	87.1227
GCF_002005185.1	GCF_902652545.1	Veillonella parvula	Veillonella dispar	87.6752	71.38	70.42	87.3072	90.1338	0.6505	0.6469	0.21787	0.3142	89.5418	93.6354	454	22	1338	INCONSISTENT	87.01	86.8043
GCF_031190775.1	GCF_900637515.1	Veillonella parvula	Veillonella dispar	87.7799	72.39	70.08	84.5477	89.3795	0.8202	0.851	0.21019	0.2753	88.6654	94.0587	469	5	1656	INCONSISTENT	87.3	87.0377
GCF_031190775.1	GCF_902652545.1	Veillonella parvula	Veillonella dispar	87.7365	72.04	70.9	88.2521	90.4638	0.5793	0.591	0.22166	0.3336	89.92	93.5224	451	26	1217	INCONSISTENT	87.03	86.8993
