query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95	flag
NC_002695.2	NC_011353.1	99.9380	99.9471	0.9689	0.9638	0.00495	57	0.9922	394	0.070	0.9968	99.8520	99.9705	0.0332	2.05	AlfI:99.96,AloI:99.97,BcgI:99.94,FalI:99.93	8137	57	7019	1049	123.91228070175438	ok	99.9380	gamma	99.8812	ok
NC_002695.2	NC_013008.1	99.9366	99.9462	0.9692	0.9748	0.00499	59	0.9919	406	0.070	0.9967	99.8473	99.9705	0.0332	1.76	AlfI:99.96,AloI:99.97,BcgI:99.94,FalI:99.93	8114	59	7019	1051	119.94915254237289	ok	99.9366	gamma	99.8770	ok
NC_002695.2	NZ_CP008957.1	99.9872	99.9876	0.9779	0.9861	0.00238	49	0.9935	612	0.070	0.9992	99.9627	99.9937	0.0161	0.32	AlfI:99.99,AloI:99.99,BcgI:99.98,FalI:100.00	8474	49	7057	1017	148.3877551020408	ok	99.9872	gamma	99.9766	ok
NC_002695.2	NZ_CP010304.1	99.9296	99.9410	0.9681	0.9781	0.00523	60	0.9918	398	0.070	0.9964	99.8377	99.9664	0.0186	1.00	AlfI:99.95,AloI:99.95,BcgI:99.93,FalI:99.93	8073	60	7013	1049	117.71666666666667	ok	99.9296	gamma	99.8684	ok
NC_002695.2	NZ_CP015832.1	99.9314	99.9442	0.9365	0.9205	0.00516	54	0.9923	378	0.070	0.9966	99.8141	99.9762	0.0384	2.83	AlfI:99.96,AloI:99.95,BcgI:99.93,FalI:99.97	7941	54	6834	920	127.18518518518519	ok	99.9314	gamma	99.8474	ok
NC_002695.2	NZ_CP015831.1	99.9384	99.9488	0.9427	0.9503	0.00493	56	0.9922	683	0.070	0.9969	99.8319	99.9776	0.0452	5.12	AlfI:99.95,AloI:99.97,BcgI:99.94,FalI:99.98	8198	56	6870	920	126.03571428571429	ok	99.9384	gamma	99.8635	ok
NC_002695.2	NZ_CP018237.1	99.9696	99.9696	0.9584	0.9707	0.00376	53	0.9928	449	inf	0.9982	99.8957	99.9878	0.0227	2.09	AlfI:99.97,AloI:99.98,BcgI:99.96,FalI:99.99	8194	53	6952	1051	133.49056603773585	ok	99.9696	uniform	99.9201	ok
NC_002695.2	NZ_CP018239.1	99.9530	99.9591	0.9684	0.9810	0.00436	46	0.9937	335	0.070	0.9975	99.8658	99.9821	0.0117	0.18	AlfI:99.96,AloI:99.97,BcgI:99.96,FalI:99.96	8035	46	7001	1052	152.6304347826087	ok	99.9530	gamma	99.8936	ok
NC_002695.2	NZ_CP018245.1	99.9328	99.9452	0.9697	0.9783	0.00505	54	0.9927	408	0.070	0.9967	99.8167	99.9768	0.0367	2.86	AlfI:99.95,AloI:99.97,BcgI:99.93,FalI:99.97	8144	54	7020	1048	131.07407407407408	ok	99.9328	gamma	99.8494	ok
NC_002695.2	NZ_CP018243.1	99.9468	99.9543	0.9518	0.9703	0.00464	51	0.9929	325	0.070	0.9972	99.8568	99.9783	0.0302	1.84	AlfI:99.96,AloI:99.97,BcgI:99.94,FalI:99.96	7924	51	6906	931	135.49019607843138	ok	99.9468	gamma	99.8857	ok
NC_002695.2	NZ_CP018252.2	99.9572	99.9628	0.9670	0.9752	0.00416	59	0.9920	470	0.070	0.9977	99.8657	99.9867	0.0270	2.25	AlfI:99.97,AloI:99.98,BcgI:99.95,FalI:99.98	8197	59	6999	1050	120.50847457627118	ok	99.9572	gamma	99.8936	ok
NC_002695.2	NZ_CP018247.1	99.9396	99.9485	0.9573	0.9751	0.00491	48	0.9934	339	0.070	0.9969	99.8507	99.9726	0.0136	0.57	AlfI:99.96,AloI:99.95,BcgI:99.94,FalI:99.95	7986	48	6956	1052	145.22916666666666	ok	99.9396	gamma	99.8802	ok
NC_002695.2	NZ_CP018241.1	99.9573	99.9625	0.9545	0.9642	0.00420	44	0.9939	298	0.070	0.9977	99.8739	99.9842	0.0375	6.40	AlfI:99.96,AloI:99.99,BcgI:99.96,FalI:99.97	7976	44	6927	921	157.5681818181818	ok	99.9573	gamma	99.9009	ok
NC_002695.2	NZ_CP018250.1	99.9587	99.9636	0.9575	0.9782	0.00412	51	0.9930	355	0.070	0.9978	99.8768	99.9849	0.0216	1.36	AlfI:99.97,AloI:99.97,BcgI:99.96,FalI:99.98	8076	51	6960	903	137.13725490196077	ok	99.9587	gamma	99.9035	ok
NC_002695.2	NZ_CP038282.1	99.9414	99.9499	0.9702	0.9817	0.00482	51	0.9931	369	0.070	0.9970	99.8542	99.9734	0.0274	1.54	AlfI:99.96,AloI:99.94,BcgI:99.94,FalI:99.97	8121	51	7011	1051	138.41176470588235	ok	99.9414	gamma	99.8832	ok
NC_002695.2	NZ_CP038284.1	99.9331	99.9446	0.9663	0.9721	0.00508	61	0.9917	431	0.070	0.9966	99.8279	99.9733	0.0097	0.27	AlfI:99.95,AloI:99.94,BcgI:99.94,FalI:99.94	8176	61	6995	1050	116.01639344262296	ok	99.9331	gamma	99.8595	ok
NC_002695.2	NZ_CP038290.1	99.9296	99.9425	0.9614	0.9654	0.00519	49	0.9932	284	0.070	0.9965	99.8178	99.9732	0.0324	1.81	AlfI:99.96,AloI:99.95,BcgI:99.93,FalI:99.92	8017	49	6972	1048	141.18367346938774	ok	99.9296	gamma	99.8505	ok
NC_002695.2	NZ_CP038292.1	99.9357	99.9462	0.9593	0.9702	0.00501	58	0.9920	405	0.070	0.9967	99.8366	99.9732	0.0170	0.71	AlfI:99.95,AloI:99.95,BcgI:99.94,FalI:99.96	8107	58	6963	1049	121.32758620689656	ok	99.9357	gamma	99.8675	ok
NC_002695.2	NZ_CP038300.1	99.9386	99.9486	0.9606	0.9688	0.00490	60	0.9918	448	0.070	0.9969	99.8367	99.9761	0.0123	0.48	AlfI:99.95,AloI:99.95,BcgI:99.94,FalI:99.95	8147	60	6970	1050	117.86666666666666	ok	99.9386	gamma	99.8676	ok
NC_002695.2	NZ_CP038302.1	99.9344	99.9455	0.9668	0.9509	0.00504	62	0.9915	456	0.070	0.9967	99.8302	99.9739	0.0258	0.74	AlfI:99.95,AloI:99.93,BcgI:99.94,FalI:99.94	8171	62	6995	930	114.35483870967742	ok	99.9344	gamma	99.8617	ok
NC_002695.2	NZ_CP038309.1	99.9288	99.9417	0.9670	0.9563	0.00521	54	0.9926	381	0.070	0.9965	99.8184	99.9721	0.0109	0.30	AlfI:99.95,AloI:99.94,BcgI:99.94,FalI:99.94	8145	54	6994	1030	129.53703703703704	ok	99.9288	gamma	99.8510	ok
NC_002695.2	NZ_CP038319.1	99.9435	99.9513	0.9552	0.9808	0.00477	55	0.9925	365	0.070	0.9970	99.8601	99.9738	0.0235	0.98	AlfI:99.95,AloI:99.95,BcgI:99.95,FalI:99.97	8126	55	6951	1051	127.83636363636364	ok	99.9435	gamma	99.8886	ok
