nucleotide_acc	assembly_acc	assembly_name	organism	status	strain	country	isolation_source	collection_date	serotype	biosample	assigned_lineage	host_category
CP008957	GCF_000732965.1	ASM73296v1	Escherichia coli O157:H7 str. EDL933	current	EDL933					SAMN02905113	Ia	other/unknown
CP010304	GCF_000803705.1	ASM80370v1	Escherichia coli O157:H7 str. SS52	current	SS52	USA: Western States	Cattle feces	2010-06-01		SAMN03265100	I/II	bovine
CP015831	GCF_001650295.1	ASM165029v1	Escherichia coli O157	current	644-PT8	United Kingdom	fecal sample	2012-08-30		SAMN05007045	II	bovine
CP015832	GCF_001650275.1	ASM165027v1	Escherichia coli O157	current	180-PT54	United Kingdom	fecal sample	2012-10-24		SAMN05007044	II	bovine
CP018237	GCF_001890205.1	ASM189020v1	Escherichia coli	current	155	United Kingdom	human	2012	O157:H7	SAMN05544764	Ia	human
CP018239	GCF_001890225.1	ASM189022v1	Escherichia coli	current	272	United Kingdom	human	2013	O157:H7	SAMN05544766	I/II	human
CP018241	GCF_001890325.1	ASM189032v1	Escherichia coli	current	319	United Kingdom	human	2012	O157:H7	SAMN05544768	II	human
CP018243	GCF_001890265.1	ASM189026v1	Escherichia coli	current	350	United Kingdom	human	2011	O157:H7	SAMN05544765	II	human
CP018245	GCF_001890245.1	ASM189024v1	Escherichia coli	current	472	United Kingdom	human	2012	O157:H7	SAMN05544767	II	human
CP018247	GCF_001890305.1	ASM189030v1	Escherichia coli	current	7784	United Kingdom	Cattle faeces	2002	O157:H7	SAMN05544762	II	bovine
CP018250	GCF_001890345.1	ASM189034v1	Escherichia coli	current	10671	United Kingdom	Cattle faeces	2002	O157:H7	SAMN05544761	II	bovine
CP018252	GCF_001890285.2	ASM189028v2	Escherichia coli	current	9000	United Kingdom	Cattle faeces	2002	O157:H7	SAMN05544760	Ic	bovine
CP038282	GCF_013167135.1	ASM1316713v1	Escherichia coli O157:H7	current	F8492	USA	beef	missing	O157:H7	SAMN11267279	II	bovine
CP038284	GCF_013167155.1	ASM1316715v1	Escherichia coli O157:H7	current	YB14-1	USA:Nebraska	cattle feces	2002	O157:H7	SAMN05360245	II	bovine
CP038290	GCF_013167195.1	ASM1316719v1	Escherichia coli O157:H7	current	TX 265-1	USA:Texas	cattle feces	2000	O157:H7	SAMN05360242	II	bovine
CP038292	GCF_013167235.1	ASM1316723v1	Escherichia coli O157:H7	current	TB21-1	USA:Nebraska	cattle feces	2002	O157:H7	SAMN05360240	II	bovine
CP038300	GCF_013167275.1	ASM1316727v1	Escherichia coli O157:H7	current	SS TX 754-1	USA:Texas	cattle feces	2000	O157:H7	SAMN05360237	I/II	bovine
CP038302	GCF_013167295.1	ASM1316729v1	Escherichia coli O157:H7	current	SS TX 313-1	USA:Texas	cattle feces	2000	O157:H7	SAMN05360235	II	bovine
CP038309	GCF_013167335.1	ASM1316733v1	Escherichia coli O157:H7	current	Show KS 470-1	USA:Kansas	cattle feces	1999	O157:H7	SAMN05360225	II	bovine
CP038319	GCF_013167395.1	ASM1316739v1	Escherichia coli O157:H7	current	NE122	USA:Nebraska	missing	missing	O157:H7	SAMN11229495	I/II	other/unknown
CP038333	GCF_013167475.1	ASM1316747v1	Escherichia coli O157:H7	current	N8B7-2	USA:Nebraska	cattle feces	2002	O157:H7	SAMN05360221	II	bovine
CP038339	GCF_013167515.1	ASM1316751v1	Escherichia coli O157:H7	current	H6437	USA	missing	missing	O157:H7	SAMN11229492	I/II	other/unknown
CP038342	GCF_013167535.1	ASM1316753v1	Escherichia coli O157:H7	current	H2495	USA	missing	missing	O157:H7	SAMN11229491	Ia	other/unknown
CP038344	GCF_013167555.1	ASM1316755v1	Escherichia coli O157:H7	current	Gim1-1	USA:Nebraska	cattle feces	1999	O157:H7	SAMN05360205	II	bovine
CP038346	GCF_013167575.1	ASM1316757v1	Escherichia coli O157:H7	current	G5295	USA	missing	missing	O157:H7	SAMN05360178	Ia	other/unknown
CP038349	GCF_013167595.1	ASM1316759v1	Escherichia coli O157:H7	current	F8952	USA	missing	missing	O157:H7	SAMN05360175	Ia	other/unknown
CP038351	GCF_013167615.1	ASM1316761v1	Escherichia coli O157:H7	current	F8798	USA	missing	missing	O157:H7	SAMN05360171	Ia	other/unknown
CP038353	GCF_013167635.1	ASM1316763v1	Escherichia coli O157:H7	current	F8797	USA	missing	missing	O157:H7	SAMN05360170	I/II	other/unknown
CP038355	GCF_013167655.1	ASM1316765v1	Escherichia coli O157:H7 str. F8092B	current	F8092B	USA	missing	missing	O157:H7	SAMN02304041	II	other/unknown
CP038357	GCF_013167675.1	ASM1316767v1	Escherichia coli O157:H7	current	F7508	USA	missing	missing	O157:H7	SAMN05360163	Ia	other/unknown
CP038360	GCF_013167695.1	ASM1316769v1	Escherichia coli O157:H7	current	F7386	USA	missing	missing	O157:H7	SAMN05360162	I/II	other/unknown
CP038366	GCF_013167735.1	ASM1316773v1	Escherichia coli O157:H7	current	F6667	USA	missing	missing	O157:H7	SAMN05360149	II	other/unknown
CP038372	GCF_013167775.1	ASM1316777v1	Escherichia coli O157:H7	current	F6294	USA	beef	missing	O157:H7	SAMN11229489	Ia	bovine
