query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95	flag
CP007539.2	JXZS01000001.1	99.9055	99.9265	0.9497	0.9611	0.01208	13	0.9930	30	0.070	0.9956	99.7713	99.9674	0.0705	2.54	AlfI:99.93,AloI:99.93,BcgI:99.97,FalI:99.90	1821	13	1739	611	132.6153846153846	ok	99.9055	gamma	99.8422	ok
CP007539.2	JYAV01000001.1	99.9271	99.9404	0.9444	0.9793	0.01087	14	0.9925	29	0.070	0.9964	99.8093	99.9749	0.0735	1.39	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.92	1815	14	1737	503	123.42857142857143	ok	99.9271	gamma	99.8735	ok
CP007539.2	NJFS01000001.1	96.9244	98.1678	0.9722	0.9443	0.06727	10	0.9936	53	0.392	0.8861	96.9277	98.7926	0.5788	0.98	AlfI:98.18,AloI:97.64,BcgI:98.22,FalI:98.20	1529	10	1770	905	141.2	ok	96.9244	gamma	97.1420	ok
CP007539.2	NZ_CP007539.1	99.9962	99.9962	0.9853	0.9852	0.00264	11	0.9945	65	inf	0.9998	99.9908	99.9976	0.0084	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:99.99	1968	11	1803	624	166.45454545454547	ok	99.9962	uniform	99.9995	ok
CP007539.2	NZ_CP007539.2	99.9981	99.9981	0.9850	0.9856	0.00187	9	0.9956	26	inf	0.9999	99.9908	99.9999	0.0042	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1948	9	1803	632	201.55555555555554	ok	99.9981	uniform	99.9995	ok
CP007539.2	NZ_JXZH01000001.1	99.3049	99.6531	0.9437	0.9223	0.02675	19	0.9891	30	0.070	0.9791	99.2244	99.7726	0.1221	1.52	AlfI:99.69,AloI:99.60,BcgI:99.72,FalI:99.60	1736	19	1729	341	87	ok	99.3049	gamma	99.3572	ok
CP007539.2	NZ_JXZH02000001.1	99.3200	99.6595	0.9437	0.9223	0.02650	19	0.9891	30	0.070	0.9795	99.2339	99.7780	0.1193	1.59	AlfI:99.72,AloI:99.60,BcgI:99.72,FalI:99.60	1737	19	1729	341	87.05263157894737	ok	99.3200	gamma	99.3659	ok
CP007539.2	NZ_JXZG01000001.1	98.9296	99.3651	0.9434	0.9338	0.03673	15	0.9913	13	0.152	0.9617	98.7890	99.5397	0.7600	3.35	AlfI:99.45,AloI:98.69,BcgI:99.36,FalI:99.41	1673	15	1735	290	106.86666666666666	ok	98.9296	gamma	98.9503	ok
CP007539.2	NZ_CP026964.1	98.9296	99.3651	0.9434	0.9376	0.03673	15	0.9913	13	0.152	0.9617	98.7890	99.5397	0.7600	3.35	AlfI:99.45,AloI:98.69,BcgI:99.36,FalI:99.41	1673	15	1735	290	106.86666666666666	ok	98.9296	gamma	98.9503	ok
CP007539.2	NZ_JXZJ01000001.1	99.9368	99.9466	0.9512	0.9590	0.01028	12	0.9936	29	0.070	0.9968	99.8383	99.9750	0.0793	1.56	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.93	1827	12	1740	613	144.33333333333334	ok	99.9368	gamma	99.8969	ok
