assembly_acc	assembly_name	organism	strain	biosample	country	isolation_source	collection_date
GCF_016889945.1	ASM1688994v1	Staphylococcus aureus (firmicutes)	FDAARGOS_1245	SAMN16357387	USA:MD	missing	missing
GCF_016889145.1	ASM1688914v1	Staphylococcus aureus (firmicutes)	FDAARGOS_1246	SAMN16357388	USA:MD	missing	missing
GCF_016727585.1	ASM1672758v1	Staphylococcus aureus (firmicutes)	FDAARGOS_1086	SAMN16357255	Germany:Langen	missing	missing
GCF_008693765.1	ASM869376v1	Staphylococcus aureus (firmicutes)	FDAARGOS_660	SAMN11056375	USA: KY	clinical isolate	missing
GCF_006370485.1	ASM637048v1	Staphylococcus aureus (firmicutes)	FDAARGOS_612	SAMN10346776	USA: Miami, FL	Pig skin (A), aerobic, NASA, Univ. of Miami, USA	missing
GCF_006364775.1	ASM636477v1	Staphylococcus aureus (firmicutes)	FDAARGOS_766	SAMN11056481	USA:VA	ATCC Isolate	missing
GCF_006364675.1	ASM636467v1	Staphylococcus aureus (firmicutes)	FDAARGOS_773	SAMN11056488	USA:VA	ATCC Isolate	missing
GCF_003938815.1	ASM393881v1	Staphylococcus aureus (firmicutes)	FDAARGOS_572	SAMN10163196	missing	UCC isolate	missing
GCF_003937725.1	ASM393772v1	Staphylococcus aureus (firmicutes)	FDAARGOS_573	SAMN10163197	missing	UCC isolate	missing
GCF_003827915.1	ASM382791v1	Staphylococcus aureus (firmicutes)	FDAARGOS_504	SAMN10163180	missing	UCC isolate	missing
GCF_001471715.2	ASM147171v2	Staphylococcus aureus (firmicutes)	FDAARGOS_140	SAMN03996284	USA: DC	abscess	2014-02-27
GCF_000626615.2	ASM62661v3	Staphylococcus aureus (firmicutes)	FDAARGOS_5	SAMN02700075	USA	human	missing
GCF_001019255.2	ASM101925v2	Staphylococcus aureus (firmicutes)	FDAARGOS_1	SAMN03255441	Portugal:Lisbon	child - hospital pneumology ward	1996
GCF_001018645.2	ASM101864v2	Staphylococcus aureus (firmicutes)	FDAARGOS_2	SAMN03255442	United Kingdom	community aquired	1998
GCF_001018655.2	ASM101865v2	Staphylococcus aureus (firmicutes)	FDAARGOS_6	SAMN03255445	missing	human	missing
GCF_001018725.2	ASM101872v2	Staphylococcus aureus (firmicutes)	FDAARGOS_10	SAMN03255449	French Guiana	human	1996
GCF_001018805.1	ASM101880v2	Staphylococcus aureus (firmicutes)	FDAARGOS_15	SAMN03255454	missing	human	missing
GCF_001019495.2	ASM101949v2	Staphylococcus aureus (firmicutes)	FDAARGOS_40	SAMN03255479	Japan	wound	missing
GCF_001019125.2	ASM101912v2	Staphylococcus aureus (firmicutes)	FDAARGOS_43	SAMN03255482	USA:North Dakota	fatal septicaemia and septic arthritis in a 16-month-old American-Indian girl who had no risk factors associated with health care	1998
GCF_001019205.2	ASM101920v2	Staphylococcus aureus (firmicutes)	FDAARGOS_48	SAMN03255487	Portugal:Lisbon	child - hospital pneumology ward	1996
GCF_001558795.2	ASM155879v2	Staphylococcus aureus (firmicutes)	FDAARGOS_159	SAMN03996304	USA:DC	skin swab	2014-05-15
GCA_000626615.2	ASM62661v2	Staphylococcus aureus (firmicutes)	NRS 100	SAMN02700075	USA	human	missing
GCF_001018735.2	ASM101873v2	Staphylococcus aureus (firmicutes)	FDAARGOS_12	SAMN03255451	missing	human	missing
GCF_001019275.2	ASM101927v2	Staphylococcus aureus (firmicutes)	FDAARGOS_7	SAMN03255446	missing	human	missing
GCF_001019575.2	ASM101957v2	Staphylococcus aureus (firmicutes)	FDAARGOS_47	SAMN03255486	Portugal	human	1992
GCF_001018835.2	ASM101883v2	Staphylococcus aureus (firmicutes)	FDAARGOS_19	SAMN03255458	missing	wound	missing
GCF_001019305.2	ASM101930v2	Staphylococcus aureus (firmicutes)	FDAARGOS_9	SAMN03255448	Japan	respiratory; pharyngeal smear	1982
GCF_001019485.2	ASM101948v2	Staphylococcus aureus (firmicutes)	FDAARGOS_35	SAMN03255474	USA:Massachusetts	peritoneal fluid inpatient/outpatient	2001
GCF_001018845.2	ASM101884v2	Staphylococcus aureus (firmicutes)	FDAARGOS_21	SAMN03255460	missing	human	missing
GCF_001018775.2	ASM101877v2	Staphylococcus aureus (firmicutes)	FDAARGOS_14	SAMN03255453	missing	human	1971
GCF_001018685.2	ASM101868v2	Staphylococcus aureus (firmicutes)	FDAARGOS_4	SAMN03255444	USA:Texas	buttock abscess; community aquired	2002
GCF_001019535.2	ASM101953v2	Staphylococcus aureus (firmicutes)	FDAARGOS_42	SAMN03255481	USA:North Dakota	fatal septicaemia and septic arthritis in a 16-month-old American-Indian girl who had no risk factors associated with health care	1998
GCF_001018975.2	ASM101897v2	Staphylococcus aureus (firmicutes)	FDAARGOS_30	SAMN03255469	missing	human	missing
GCF_001018915.2	ASM101891v2	Staphylococcus aureus (firmicutes)	FDAARGOS_27	SAMN03255466	missing	sepsis patient	1960
GCF_001019435.2	ASM101943v2	Staphylococcus aureus (firmicutes)	FDAARGOS_25	SAMN03255464	Japan	Isolated from pus and debrided tissue at surgical incision in sternum	1996
GCF_001019415.2	ASM101941v2	Staphylococcus aureus (firmicutes)	FDAARGOS_24	SAMN03255463	missing	human	missing
GCF_001019395.2	ASM101939v2	Staphylococcus aureus (firmicutes)	FDAARGOS_20	SAMN03255459	missing	wound	missing
