query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag_verbose	ani_gated	gate	ani_upper95	flag	q_acc	r_acc	ani_pct	q_country	r_country
NZ_CP007539.2	NZ_JXZH02000001.1	99.3233	99.6595	0.9426	0.9208	0.02658	19	0.989	4	0.07	0.9795	99.2387	99.7766	0.1162	1.48	AlfI:99.72,AloI:99.60,BcgI:99.72,FalI:99.60	1727	19	1718	258	86.52631578947368	ok	99.3233	gamma	99.3706	ok	GCF_000626615.2	GCF_001018635.1	99.3233	USA	USA:NY
NZ_CP007539.2	NZ_CP026964.1	98.9393	99.3632	0.9424	0.9361	0.0369	15	0.9912	3	0.156	0.9616	98.7909	99.5367	0.76	3.39	AlfI:99.45,AloI:98.69,BcgI:99.35,FalI:99.41	1663	15	1724	280	106.2	ok	98.9393	gamma	98.9525	ok	GCF_000626615.2	GCF_001018645.1	98.9393	USA	United Kingdom
NZ_CP007539.2	NZ_CP026962.1	99.9394	99.9482	0.9501	0.9602	0.01015	12	0.9936	0	0.07	0.9969	99.8469	99.9749	0.079	1.36	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.94	1813	12	1729	645	143.5	ok	99.9394	gamma	99.9039	ok	GCF_000626615.2	GCF_001018655.2	99.9394	USA	missing
NZ_CP007539.2	NZ_CP026076.1	99.9413	99.949	0.9602	0.9656	0.01	12	0.9937	0	0.07	0.9969	99.8585	99.9728	0.0556	2.16	AlfI:99.98,AloI:99.93,BcgI:99.97,FalI:99.92	1831	12	1754	870	144.91666666666666	ok	99.9413	gamma	99.9127	ok	GCF_000626615.2	GCF_001018685.1	99.9413	USA	USA:Texas
NZ_CP007539.2	NZ_JXZO02000002.1	99.9422	99.9501	0.9412	0.9464	0.00998	17	0.9907	0	0.07	0.997	99.856	99.9748	0.0856	2.08	AlfI:99.95,AloI:99.89,BcgI:99.98,FalI:99.94	1834	17	1723	531	101.76470588235294	ok	99.9422	gamma	99.9112	ok	GCF_000626615.2	GCF_001018715.1	99.9422	USA	missing
NZ_CP007539.2	NZ_CP026961.1	99.9374	99.9465	0.9532	0.934	0.01028	15	0.9919	2	0.07	0.9968	99.8477	99.9725	0.0791	1.53	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.93	1835	15	1739	518	115.6	ok	99.9374	gamma	99.9045	ok	GCF_000626615.2	GCF_001018725.1	99.9374	USA	French Guiana
NZ_CP007539.2	NZ_CP026080.1	99.9425	99.9503	0.9501	0.972	0.00995	11	0.9942	0	0.07	0.997	99.8565	99.9749	0.0857	2.07	AlfI:99.95,AloI:99.89,BcgI:99.98,FalI:99.94	1814	11	1729	646	156.9090909090909	ok	99.9425	gamma	99.9115	ok	GCF_000626615.2	GCF_001018735.2	99.9425	USA	missing
NZ_CP007539.2	NZ_CP026063.1	98.9658	99.3597	0.9306	0.9401	0.03729	13	0.9923	0	0.17	0.9614	98.7902	99.5323	0.3623	1.06	AlfI:99.41,AloI:99.05,BcgI:99.35,FalI:99.38	1626	13	1696	571	120.53846153846152	ok	98.9658	gamma	98.9532	ok	GCF_000626615.2	GCF_001018775.2	98.9658	USA	missing
NZ_CP007539.2	NZ_JXZV02000001.1	99.9999	99.9999	0.9857	0.9556	0.43659	10	0.995	0	inf	1.0	99.9999	99.9999	0.0	0.0	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1950	10	1792	705	181.0	ok	99.9999	uniform	100.0	ok	GCF_000626615.2	GCF_001018795.1	99.9999	USA	missing
NZ_CP007539.2	NZ_CP026960.1	99.9423	99.9502	0.9486	0.9663	0.00995	13	0.993	0	0.07	0.997	99.8564	99.9749	0.0439	1.11	AlfI:99.95,AloI:99.93,BcgI:99.97,FalI:99.94	1819	13	1728	645	132.46153846153845	ok	99.9423	gamma	99.9114	ok	GCF_000626615.2	GCF_001018805.1	99.9423	USA	missing
NZ_CP007539.2	NZ_CP026064.1	98.0937	98.8084	0.9391	0.9242	0.05264	14	0.9911	3	0.303	0.9274	97.9106	99.1464	0.5543	1.79	AlfI:98.99,AloI:98.43,BcgI:98.84,FalI:98.75	1542	14	1708	333	104.92857142857144	ok	98.0937	gamma	98.1076	ok	GCF_000626615.2	GCF_001018835.1	98.0937	USA	missing
NZ_CP007539.2	NZ_CP026067.1	97.9341	98.5412	0.9309	0.9084	0.0586	12	0.9924	0	0.473	0.9105	97.7016	98.8892	0.3769	2.33	AlfI:98.65,AloI:98.35,BcgI:98.72,FalI:98.40	1524	12	1719	299	120.41666666666669	ok	97.9341	gamma	97.9034	ok	GCF_000626615.2	GCF_001018845.1	97.9341	USA	missing
NZ_CP007539.2	NZ_JXZZ02000001.1	98.956	99.349	0.9353	0.9048	0.03754	16	0.9905	0	0.178	0.9607	98.7684	99.5257	0.4055	1.25	AlfI:99.42,AloI:99.01,BcgI:99.34,FalI:99.37	1650	16	1705	568	98.6875	ok	98.956	gamma	98.9321	ok	GCF_000626615.2	GCF_001018875.1	98.956	USA	USA:Tennessee
NZ_CP007539.2	NZ_JYAA02000001.1	99.9453	99.9522	0.9457	0.9325	0.00975	15	0.9919	2	0.07	0.9971	99.866	99.9749	0.0506	1.8	AlfI:99.95,AloI:99.93,BcgI:99.98,FalI:99.94	1824	15	1728	517	114.93333333333334	ok	99.9453	gamma	99.9189	ok	GCF_000626615.2	GCF_001018885.1	99.9453	USA	missing
NZ_CP007539.2	NZ_JYAD02000001.1	98.9295	99.3478	0.9404	0.9317	0.03748	13	0.9924	2	0.17	0.9607	98.7483	99.5307	0.3463	1.07	AlfI:99.42,AloI:99.07,BcgI:99.32,FalI:99.37	1654	13	1716	366	122.23076923076924	ok	98.9295	gamma	98.9126	ok	GCF_000626615.2	GCF_001018905.2	98.9295	USA	USA:Washington
NZ_CP007539.2	NZ_CP026070.1	99.9425	99.9503	0.9474	0.9641	0.00995	13	0.993	0	0.07	0.997	99.8565	99.9749	0.0857	2.07	AlfI:99.95,AloI:99.89,BcgI:99.98,FalI:99.94	1815	13	1729	534	132.76923076923077	ok	99.9425	gamma	99.9115	ok	GCF_000626615.2	GCF_001018915.1	99.9425	USA	missing
NZ_CP007539.2	NZ_JYAF02000001.1	99.9453	99.9522	0.9457	0.9327	0.00975	15	0.9919	2	0.07	0.9971	99.866	99.9749	0.0506	1.8	AlfI:99.95,AloI:99.93,BcgI:99.98,FalI:99.94	1827	15	1728	517	114.86666666666666	ok	99.9453	gamma	99.9189	ok	GCF_000626615.2	GCF_001018955.1	99.9453	USA	missing
NZ_CP007539.2	NZ_JYAG02000001.1	96.9656	98.0464	0.9343	0.8887	0.07065	11	0.9925	3	0.473	0.878	96.9038	98.6458	0.2987	0.44	AlfI:98.18,AloI:97.88,BcgI:97.98,FalI:98.05	1399	11	1710	215	120.8181818181818	ok	96.9656	gamma	97.122	ok	GCF_000626615.2	GCF_001018965.1	96.9656	USA	USA:NY
NZ_CP007539.2	NZ_CP026071.1	97.0259	98.2591	0.9272	0.9293	0.06669	10	0.9933	0	0.365	0.8921	97.0364	98.8512	0.8003	2.1	AlfI:98.33,AloI:97.63,BcgI:98.43,FalI:98.19	1405	10	1692	501	134.3	ok	97.0259	gamma	97.2535	ok	GCF_000626615.2	GCF_001018975.2	97.0259	USA	missing
NZ_CP007539.2	NZ_JYAI02000002.1	99.9423	99.9502	0.9486	0.9618	0.00995	17	0.9909	0	0.07	0.997	99.8564	99.9749	0.0439	1.11	AlfI:99.95,AloI:99.93,BcgI:99.97,FalI:99.94	1844	17	1728	392	102.94117647058825	ok	99.9423	gamma	99.9114	ok	GCF_000626615.2	GCF_001019015.2	99.9423	USA	missing
NZ_CP007539.2	NZ_JYAL02000001.1	98.919	99.3943	0.9327	0.9258	0.03614	13	0.9924	3	0.128	0.9635	98.823	99.5656	0.4391	1.38	AlfI:99.45,AloI:99.01,BcgI:99.41,FalI:99.40	1680	13	1703	576	121.3076923076923	ok	98.919	gamma	98.9839	ok	GCF_000626615.2	GCF_001019035.1	98.919	USA	USA
NZ_CP007539.2	NZ_JYAN02000001.1	98.7519	99.2608	0.9442	0.9338	0.04006	15	0.9911	3	0.178	0.9554	98.59	99.4722	0.7443	2.78	AlfI:99.32,AloI:98.57,BcgI:99.30,FalI:99.29	1657	15	1725	388	105.06666666666666	ok	98.7519	gamma	98.7617	ok	GCF_000626615.2	GCF_001019045.1	98.7519	USA	France
NZ_CP007539.2	NZ_JYAP02000001.1	98.9549	99.3569	0.9347	0.9422	0.03733	13	0.9924	0	0.17	0.9612	98.7758	99.5334	0.3443	1.0	AlfI:99.41,AloI:99.07,BcgI:99.34,FalI:99.38	1633	13	1702	393	120.92307692307692	ok	98.9549	gamma	98.9392	ok	GCF_000626615.2	GCF_001019055.2	98.9549	USA	USA:New York
NZ_CP007539.2	NZ_JYAO02000001.1	98.9649	99.3523	0.9387	0.8987	0.03741	15	0.9912	0	0.178	0.9609	98.7791	99.5265	0.3541	0.98	AlfI:99.41,AloI:99.06,BcgI:99.35,FalI:99.36	1653	15	1707	285	106.0	ok	98.9649	gamma	98.9422	ok	GCF_000626615.2	GCF_001019065.2	98.9649	USA	Japan
NZ_CP007539.2	NZ_JYAQ02000002.1	93.5944	93.5944	0.0044	0.0048	1.99949	1	1.0	0	inf	0.5608	95.6965	87.7651	3.5495	0.31	AlfI:93.75,AloI:96.30,FalI:92.75	47	1	7	5	5.0	INCONSISTENT	93.5944	uniform_fallback	99.1251	INCONSISTENT	GCF_000626615.2	GCF_001019115.1	93.5944	USA	France
NZ_CP007539.2	NZ_CP026957.1	98.9123	99.3538	0.9497	0.9451	0.03707	14	0.9919	3	0.156	0.961	98.7624	99.5338	0.7972	3.54	AlfI:99.45,AloI:98.65,BcgI:99.36,FalI:99.39	1673	14	1736	391	114.35714285714286	ok	98.9123	gamma	98.9251	ok	GCF_000626615.2	GCF_001019125.1	98.9123	USA	USA:North Dakota
NZ_CP007539.2	NZ_JYAS02000001.1	98.938	99.3493	0.9367	0.8661	0.03752	16	0.9905	5	0.17	0.9608	98.7605	99.5287	0.382	1.16	AlfI:99.39,AloI:99.01,BcgI:99.34,FalI:99.38	1651	16	1707	271	98.4375	ok	98.938	gamma	98.9245	ok	GCF_000626615.2	GCF_001019135.2	98.938	USA	USA:Michigan
