tool	mode	n_genomes	n_pairs	rep	wall_s	peak_rss_mb
fastani	all_vs_all	2	4	1	1.25	252.9
fastani	all_vs_all	2	4	2	1.23	243.9
fastani	all_vs_all	2	4	3	1.27	267.0
fastani	all_vs_all	5	25	1	3.01	356.2
fastani	all_vs_all	5	25	2	3.01	365.3
fastani	all_vs_all	5	25	3	2.91	363.9
fastani	all_vs_all	10	100	1	10.96	515.5
fastani	all_vs_all	10	100	2	10.87	509.8
fastani	all_vs_all	10	100	3	10.91	520.2
fastani	all_vs_all	15	225	1	13.13	733.9
fastani	all_vs_all	15	225	2	13.13	718.1
fastani	all_vs_all	15	225	3	13.16	726.5
fastani	all_vs_all	22	484	1	17.70	914.9
fastani	all_vs_all	22	484	2	17.90	905.0
fastani	all_vs_all	22	484	3	17.73	911.9
skani	dist	2	4	1	0.01	34.7
skani	dist	2	4	2	0.01	34.2
skani	dist	2	4	3	0.01	34.7
skani	dist	5	25	1	0.02	90.9
skani	dist	5	25	2	0.02	94.4
skani	dist	5	25	3	0.02	93.7
skani	dist	10	100	1	0.04	120.9
skani	dist	10	100	2	0.04	116.8
skani	dist	10	100	3	0.05	119.7
skani	dist	15	225	1	0.07	146.1
skani	dist	15	225	2	0.07	136.3
skani	dist	15	225	3	0.07	145.0
skani	dist	22	484	1	0.15	182.4
skani	dist	22	484	2	0.15	185.0
skani	dist	22	484	3	0.15	190.0
syn2bani	ani_fasta	2	4	1	0.12	49.2
syn2bani	ani_fasta	2	4	2	0.12	49.1
syn2bani	ani_fasta	2	4	3	0.12	49.0
syn2bani	ani_fasta	5	25	1	0.45	105.2
syn2bani	ani_fasta	5	25	2	0.44	109.2
syn2bani	ani_fasta	5	25	3	0.44	105.3
syn2bani	ani_fasta	10	100	1	1.20	197.0
syn2bani	ani_fasta	10	100	2	1.22	197.9
syn2bani	ani_fasta	10	100	3	1.21	201.8
syn2bani	ani_fasta	15	225	1	2.00	290.5
syn2bani	ani_fasta	15	225	2	2.03	290.1
syn2bani	ani_fasta	15	225	3	2.04	293.8
syn2bani	ani_fasta	22	484	1	3.69	309.6
syn2bani	ani_fasta	22	484	2	3.73	307.3
syn2bani	ani_fasta	22	484	3	3.77	309.5
syn2bani	ani_sketches	2	4	1	0.04	14.7
syn2bani	ani_sketches	2	4	2	0.04	14.7
syn2bani	ani_sketches	2	4	3	0.04	14.5
syn2bani	ani_sketches	5	25	1	0.24	19.9
syn2bani	ani_sketches	5	25	2	0.24	20.2
syn2bani	ani_sketches	5	25	3	0.24	20.2
syn2bani	ani_sketches	10	100	1	0.82	27.2
syn2bani	ani_sketches	10	100	2	0.83	26.6
syn2bani	ani_sketches	10	100	3	0.83	27.2
syn2bani	ani_sketches	15	225	1	1.38	46.9
syn2bani	ani_sketches	15	225	2	1.39	43.5
syn2bani	ani_sketches	15	225	3	1.39	43.4
syn2bani	ani_sketches	22	484	1	2.78	58.5
syn2bani	ani_sketches	22	484	2	2.79	58.1
syn2bani	ani_sketches	22	484	3	2.82	58.0
