tool	mode	n_genomes	rep	wall_s	peak_rss_mb
syn2bani	one_to_all_fasta	2	1	0.117	NA
syn2bani	one_to_all_sketches	2	1	0.045	NA
skani	one_to_all_dist	2	1	0.012	NA
fastani	one_to_all	2	1	0.874	NA
syn2bani	one_to_all_fasta	2	2	0.116	NA
syn2bani	one_to_all_sketches	2	2	0.041	NA
skani	one_to_all_dist	2	2	0.012	NA
fastani	one_to_all	2	2	0.854	NA
syn2bani	one_to_all_fasta	2	3	0.123	NA
syn2bani	one_to_all_sketches	2	3	0.042	NA
skani	one_to_all_dist	2	3	0.013	NA
fastani	one_to_all	2	3	0.859	NA
syn2bani	one_to_all_fasta	5	1	0.267	NA
syn2bani	one_to_all_sketches	5	1	0.107	NA
skani	one_to_all_dist	5	1	0.014	NA
fastani	one_to_all	5	1	0.829	NA
syn2bani	one_to_all_fasta	5	2	0.244	NA
syn2bani	one_to_all_sketches	5	2	0.103	NA
skani	one_to_all_dist	5	2	0.014	NA
fastani	one_to_all	5	2	0.879	NA
syn2bani	one_to_all_fasta	5	3	0.253	NA
syn2bani	one_to_all_sketches	5	3	0.106	NA
skani	one_to_all_dist	5	3	0.014	NA
fastani	one_to_all	5	3	0.857	NA
syn2bani	one_to_all_fasta	10	1	0.445	NA
syn2bani	one_to_all_sketches	10	1	0.172	NA
skani	one_to_all_dist	10	1	0.015	NA
fastani	one_to_all	10	1	0.935	NA
syn2bani	one_to_all_fasta	10	2	0.441	NA
syn2bani	one_to_all_sketches	10	2	0.172	NA
skani	one_to_all_dist	10	2	0.016	NA
fastani	one_to_all	10	2	0.981	NA
syn2bani	one_to_all_fasta	10	3	0.450	NA
syn2bani	one_to_all_sketches	10	3	0.168	NA
skani	one_to_all_dist	10	3	0.017	NA
fastani	one_to_all	10	3	0.970	NA
syn2bani	one_to_all_fasta	15	1	0.661	NA
syn2bani	one_to_all_sketches	15	1	0.220	NA
skani	one_to_all_dist	15	1	0.019	NA
fastani	one_to_all	15	1	1.085	NA
syn2bani	one_to_all_fasta	15	2	0.651	NA
syn2bani	one_to_all_sketches	15	2	0.222	NA
skani	one_to_all_dist	15	2	0.018	NA
fastani	one_to_all	15	2	1.084	NA
syn2bani	one_to_all_fasta	15	3	0.650	NA
syn2bani	one_to_all_sketches	15	3	0.223	NA
skani	one_to_all_dist	15	3	0.019	NA
fastani	one_to_all	15	3	1.095	NA
syn2bani	one_to_all_fasta	21	1	0.895	NA
syn2bani	one_to_all_sketches	21	1	0.332	NA
skani	one_to_all_dist	21	1	0.026	NA
fastani	one_to_all	21	1	1.580	NA
syn2bani	one_to_all_fasta	21	2	0.901	NA
syn2bani	one_to_all_sketches	21	2	0.350	NA
skani	one_to_all_dist	21	2	0.024	NA
fastani	one_to_all	21	2	1.608	NA
syn2bani	one_to_all_fasta	21	3	0.958	NA
syn2bani	one_to_all_sketches	21	3	0.324	NA
skani	one_to_all_dist	21	3	0.024	NA
fastani	one_to_all	21	3	1.590	NA
