metric	scale	numerator	denominator	value	source	notes
stage1_screen_pass_rate	triangle n=500	21595	124750	0.1730	/Users/macstudio/Downloads/Syn2bANI-paper/results/db_scale/DB_REWRITE_VALIDATION.md (Screen pass rates paragraph)	all-vs-all on random GTDB-R207 subsets; survivors are mostly same-family background that refine then measures or marks BELOW_DETECTION; raw per-pair screen dumps exist on HPC only (results/db_scale/rewrite/screen_{acc,n500}_w*.tsv)
stage1_screen_pass_rate	triangle n=2000	305996	1999000	0.1530	/Users/macstudio/Downloads/Syn2bANI-paper/results/db_scale/DB_REWRITE_VALIDATION.md (Screen pass rates paragraph)	all-vs-all on random GTDB-R207 subsets; survivors are mostly same-family background that refine then measures or marks BELOW_DETECTION; raw per-pair screen dumps exist on HPC only (results/db_scale/rewrite/screen_{acc,n500}_w*.tsv)
stage1_screen_pass_rate	triangle n=5000	1570949	12497500	0.1260	/Users/macstudio/Downloads/Syn2bANI-paper/results/db_scale/DB_REWRITE_VALIDATION.md (Screen pass rates paragraph)	all-vs-all on random GTDB-R207 subsets; survivors are mostly same-family background that refine then measures or marks BELOW_DETECTION; raw per-pair screen dumps exist on HPC only (results/db_scale/rewrite/screen_{acc,n500}_w*.tsv)
stage1_screen_false_reject_rate_validated_true_pairs	500 true pairs ANI 80-100 (accuracy_pairs.tsv)	0	500	0.0000	/Users/macstudio/Downloads/Syn2bANI-paper/results/db_scale/DB_REWRITE_VALIDATION.md (screen calibration table)	shipped gate W=18, shared>=3 AND containment>=0.001; weakest 80-85 band true pair has shared=29, cont=0.0061 (10x/6x above floors)
stage1_screen_false_reject_rate_pass_all_reconciliation	triangle n=2000 (forced pass-all screen run)	1	844	0.0012	/Users/macstudio/Downloads/Syn2bANI-paper/results/db_scale/DB_REWRITE_VALIDATION.md (triangle n=2000 output reconciliation)	lost pair JADJDU010000001.1 x DRLG01000001.1 (gated 98.44) had af_query=af_reference=0.0000 -- tiny shared-island call, INCONSISTENT-flagged; max |dANI| = 0.0 on retained pairs
search_recall_vs_skani_hits	search 100 queries x 5000-genome GTDB-R207 DB	12	12	1.0000	/Users/macstudio/Downloads/Syn2bANI-paper/results/db_scale/DB_REWRITE_VALIDATION.md (search 100 queries x 5000 DB)	all 12 skani-reported pairs found by rewritten search; on the 7 intersection pairs with independent MLE truth the new search matches exactly (91.09-95.11)
search_hits_min_ani_0.8	search 100 queries x 5000-genome GTDB-R207 DB	184	500000	0.000368	/Users/macstudio/Downloads/Syn2bANI-paper/results/db_scale/DB_REWRITE_VALIDATION.md (search 100 queries x 5000 DB)	184 reported hits at --min-ani 0.8; screen-pass count for search not reported (hits = screen-passed AND refined AND ani_gated>=0.8); 13/184 have max(AF)>=0.15 (skani-comparable), 171 are low-AF calls
legacy_exact_tag_screen_true_pair_rejection_PRE_REWRITE	500 true pairs ANI 80-100	472	500	0.9440	/Users/macstudio/Downloads/Syn2bANI-paper/results/db_scale/DB_REWRITE_VALIDATION.md + results/db_scale/DB_SCALE_BENCHMARK.md (dist accuracy section)	CONTRAST ROW: the retired v7 exact-tag min_af=0.1 screen; the new W=18 screen rejects 0/500 of the same pairs
estimator_backed_rows_edge_list	triangle n=500	90	124750	see notes	results/db_scale/rewrite/triangle_n500_v3.tsv (row count)	pairs with a finite gated estimate after screen+refine (edge-list rows); report text quotes 90 for this scale -- matches
estimator_backed_rows_edge_list	triangle n=2000	843	1999000	see notes	results/db_scale/rewrite/triangle_n2000_v3.tsv (row count)	pairs with a finite gated estimate after screen+refine (edge-list rows); report text quotes 843 for this scale -- matches
estimator_backed_rows_edge_list	triangle n=5000	3410	12497500	see notes	results/db_scale/rewrite/triangle_n5000_v3.tsv (row count)	pairs with a finite gated estimate after screen+refine (edge-list rows); report text quotes 3410 for this scale -- matches
gtdb50k_scale_screen_pass_rate	GTDB-R207 50k (all-vs-all or one-to-all)	NA	NA	NOT_FOUND	results/gtdb50k/ (whole directory), results/efficiency_v8/GTDB_SCALE_BENCHMARK_PLAN.md	no 50k-scale screen numbers exist locally: the GTDB50k held-out benchmark ran `ani` on 45,967 PRE-SELECTED pairs (results/gtdb50k/GTDB50K_HELDOUT_REPORT.md), i.e. the screen was never exercised at that scale; the full 65,703-genome all-vs-all (~2.16B pairs) was never run; the 7-query x 65,703 one-to-all benchmark is planned but its results file results/gtdb_one_to_all_scaling.tsv is absent from this repo (plan only, see GTDB_SCALE_BENCHMARK_PLAN.md 'Next steps'). Largest scale WITH screen data: n=5000 all-vs-all above.
