n_genomes	genome
2	Ecoli_K12_MG1655.fasta
2	Ecoli_O157H7_Sakai.fasta
5	Ecoli_K12_MG1655.fasta
5	Ecoli_O157H7_Sakai.fasta
5	Ecoli_K12_W3110.fasta
5	Ecoli_CFT073.fasta
5	Ecoli_UTI89.fasta
10	Ecoli_K12_MG1655.fasta
10	Ecoli_O157H7_Sakai.fasta
10	Ecoli_K12_W3110.fasta
10	Ecoli_CFT073.fasta
10	Ecoli_UTI89.fasta
10	Ecoli_BL21_DE3.fasta
10	Shigella_flexneri_301.fasta
10	Shigella_sonnei_Ss046.fasta
10	Escherichia_fergusonii.fasta
10	Salmonella_Typhimurium_LT2.fasta
15	Ecoli_K12_MG1655.fasta
15	Ecoli_O157H7_Sakai.fasta
15	Ecoli_K12_W3110.fasta
15	Ecoli_CFT073.fasta
15	Ecoli_UTI89.fasta
15	Ecoli_BL21_DE3.fasta
15	Shigella_flexneri_301.fasta
15	Shigella_sonnei_Ss046.fasta
15	Escherichia_fergusonii.fasta
15	Salmonella_Typhimurium_LT2.fasta
15	Salmonella_Typhi_CT18.fasta
15	Klebsiella_pneumoniae_MGH78578.fasta
15	Enterobacter_cloacae_13047.fasta
15	Citrobacter_rodentium.fasta
15	GCA_001075925.fasta
22	Ecoli_K12_MG1655.fasta
22	Ecoli_O157H7_Sakai.fasta
22	Ecoli_K12_W3110.fasta
22	Ecoli_CFT073.fasta
22	Ecoli_UTI89.fasta
22	Ecoli_BL21_DE3.fasta
22	Shigella_flexneri_301.fasta
22	Shigella_sonnei_Ss046.fasta
22	Escherichia_fergusonii.fasta
22	Salmonella_Typhimurium_LT2.fasta
22	Salmonella_Typhi_CT18.fasta
22	Klebsiella_pneumoniae_MGH78578.fasta
22	Enterobacter_cloacae_13047.fasta
22	Citrobacter_rodentium.fasta
22	GCA_001075925.fasta
22	GCA_001077875.fasta
22	GCA_001283205.fasta
22	GCA_001283245.fasta
22	GCA_001283605.fasta
22	GCA_001283865.fasta
22	GCA_001284145.fasta
22	GCA_001284645.fasta
