dataset	band	method	n	MAE	bias	r
gtdb_43k_heldout	80-85	raw_gated	12094	1.9642	1.6328	0.1201
gtdb_43k_heldout	85-90	raw_gated	15973	1.8918	1.6613	0.4917
gtdb_43k_heldout	90-95	raw_gated	14758	1.2141	1.0478	0.7686
gtdb_43k_heldout	95-100	raw_gated	404	0.7544	0.6653	0.512
gtdb_43k_heldout	all	raw_gated	43229	1.6701	1.4346	0.8494
gtdb_43k_heldout	80-85	calibrated_v6	12172	0.7651	-0.2215	0.342
gtdb_43k_heldout	85-90	calibrated_v6	16000	0.6788	-0.1497	0.752
gtdb_43k_heldout	90-95	calibrated_v6	14758	0.5341	-0.0493	0.907
gtdb_43k_heldout	95-100	calibrated_v6	404	0.4938	0.2762	0.6335
gtdb_43k_heldout	all	calibrated_v6	43334	0.652	-0.1317	0.9567
high_ani_test	0.95-0.99	raw_gated	726	0.2971	0.2611	0.9648
high_ani_test	all	raw_gated	726	0.2971	0.2611	0.9648
high_ani_test	0.95-0.99	calibrated_v6	727	0.4105	-0.1139	0.9005
high_ani_test	all	calibrated_v6	727	0.4105	-0.1139	0.9005
oralgut_same_species_vs_fastani_gated		raw_gated	100	0.5505	0.42	0.9804
oralgut_same_species_vs_fastani_gated		calibrated_v6	100	0.5996	0.5845	0.9947
midani_15_vs_anim_gated		raw_gated	15	0.9588	0.8902	0.8734
midani_15_vs_anim_gated		calibrated_v6	15	0.9122	-0.7357	0.7075
