method	band	n	MAE	RMSE	bias	r
syn2bani_4e_gamma	0.8-0.85	380	3.2089	3.87	2.6751	0.15
syn2bani_4e_gamma	0.85-0.9	828	2.8103	3.3886	2.4585	0.3516
syn2bani_4e_gamma	0.9-0.95	689	1.4677	1.8192	1.2739	0.6891
syn2bani_4e_gamma	0.95-0.99	72	0.8783	1.0954	0.7851	0.7123
syn2bani_4e_gamma	all	1969	2.3468	2.9868	2.0246	0.7627
syn2bani_4e_uniform	0.8-0.85	380	4.2622	4.5417	4.2622	0.3048
syn2bani_4e_uniform	0.85-0.9	828	3.8094	4.0929	3.8094	0.4486
syn2bani_4e_uniform	0.9-0.95	689	2.1558	2.3879	2.1517	0.7537
syn2bani_4e_uniform	0.95-0.99	72	1.4298	1.5803	1.4298	0.7075
syn2bani_4e_uniform	all	1969	3.2311	3.621	3.2297	0.8634
syn2bani_4e_ridge_cv	0.8-0.85	380	0.8762	1.2417	0.4907	0.429
syn2bani_4e_ridge_cv	0.85-0.9	828	0.8524	1.3066	0.3247	0.6266
syn2bani_4e_ridge_cv	0.9-0.95	689	0.9379	1.2731	-0.6422	0.7444
syn2bani_4e_ridge_cv	0.95-0.99	72	1.3753	1.859	-1.189	0.1341
syn2bani_4e_ridge_cv	all	1969	0.906	1.3073	-0.037	0.9128
syn2bani_11e	0.8-0.85	475	2.2118	2.9707	-0.6509	0.3769
syn2bani_11e	0.85-0.9	837	1.6923	2.1722	0.9521	0.5536
syn2bani_11e	0.9-0.95	690	0.9878	1.2268	0.8676	0.8577
syn2bani_11e	0.95-0.99	72	0.7357	0.9033	0.6209	0.7432
syn2bani_11e	all	2074	1.5437	2.1106	0.5453	0.8726
syn2bani_11e_cal	0.8-0.85	475	1.7164	2.0663	1.3899	0.1139
syn2bani_11e_cal	0.85-0.9	837	1.3089	1.5564	0.9907	0.6367
syn2bani_11e_cal	0.9-0.95	690	0.8371	1.034	0.6585	0.8805
syn2bani_11e_cal	0.95-0.99	72	0.8855	1.182	0.2879	0.1578
syn2bani_11e_cal	all	2074	1.2306	1.5361	0.9473	0.9282
skani	0.8-0.85	475	1.7416	1.9076	-1.7374	0.5904
skani	0.85-0.9	837	0.8544	1.0739	-0.5289	0.7811
skani	0.9-0.95	690	0.4519	0.6037	-0.1024	0.9251
skani	0.95-0.99	72	0.3351	0.4324	0.008	0.8899
skani	all	2074	0.9057	1.1944	-0.6451	0.9694
FastANI_subset	0.8-0.85	89	1.7283	1.8181	-1.7283	0.7973
FastANI_subset	0.85-0.9	99	1.2585	1.5227	-1.236	0.8777
FastANI_subset	0.9-0.95	103	0.5376	1.0783	-0.3499	0.7981
FastANI_subset	0.95-0.99	72	0.6901	0.9233	-0.6091	0.7469
FastANI_subset	all	363	1.0564	1.3935	-0.9809	0.9806
