experiment	band	n	MAE	RMSE	bias	r
raw_gated	0.8-0.85	463	3.3686	4.0703	3.1842	0.2465
raw_gated	0.85-0.9	829	3.4897	4.1266	3.3895	0.2864
raw_gated	0.9-0.95	689	1.8175	2.2355	1.6533	0.6141
raw_gated	0.95-0.99	72	1.1589	1.4604	1.0859	0.5295
raw_gated	all	2053	2.8194	3.5163	2.6797	0.7452
v2_setA_rerun	0.8-0.85	463	0.9539	1.3514	0.553	0.3695
v2_setA_rerun	0.85-0.9	829	0.8712	1.3353	0.3828	0.621
v2_setA_rerun	0.9-0.95	689	0.9728	1.3055	-0.7165	0.7436
v2_setA_rerun	0.95-0.99	72	1.3438	1.811	-1.1285	0.1397
v2_setA_rerun	all	2053	0.9405	1.3487	-0.0008	0.9104
v3a_gated9	0.8-0.85	463	0.9705	1.3793	0.6006	0.3531
v3a_gated9	0.85-0.9	829	0.8686	1.3249	0.3821	0.6236
v3a_gated9	0.9-0.95	689	0.9564	1.2879	-0.6984	0.7488
v3a_gated9	0.95-0.99	72	1.3599	1.8341	-1.1931	0.1547
v3a_gated9	all	2053	0.9383	1.3463	0.0135	0.9111
v3b_gated9+gate	0.8-0.85	463	0.9587	1.3758	0.5894	0.3489
v3b_gated9+gate	0.85-0.9	829	0.8673	1.324	0.3828	0.6242
v3b_gated9+gate	0.9-0.95	689	0.9559	1.2873	-0.6979	0.7489
v3b_gated9+gate	0.95-0.99	72	1.3639	1.8394	-1.2013	0.1545
v3b_gated9+gate	all	2053	0.9351	1.3452	0.0112	0.9112
