pairid	anim_ani	band	n_syn2b	n_dnadiff	n_matched	n_syn2b_only	n_dnadiff_only	median_dist	max_dist	shared_tags	spacing_bp	observable_fraction	dists
GCF_004683905.1__GCF_000633255.1		unknown	9	60	9	0	51	5666	190200	1648	2731	0.9994	202,248,837,1891,5666,8785,10672,56993,190200
GCA_017650285.1__GCA_017548725.1		unknown	0	14	0	0	14			53	84906	0.0000	
GCA_003281085.1__GCA_902596545.1		unknown	0	3	0	0	3			208	21635	0.9235	
GCF_002807055.1__GCA_002280395.1		unknown	0	4	0	0	4			69	65217	1.0000	
GCF_002179635.1__GCF_013372105.1		unknown	2	2	2	0	0	634685	1098697	130	34615	0.7287	170673,1098697
GCA_003209055.1__GCA_003279935.1		unknown	2	2	2	0	0	69692	139132	48	93750	0.4848	252,139132
GCF_900089585.1__GCF_902825405.1		unknown	49	56	49	0	7	16392	3000318	3032	1484	0.9996	94,102,273,398,480,502,656,657,682,703,859,983,1034,1451,1531,1654,2149,2675,3928,4189,4343,10407,10506,14953,16392,19223,21503,33668,34295,48322,53452,55102,73722,75339,80005,99572,106111,203471,218645,224133,296283,297484,359648,641830,791472,834243,1692003,1824661,3000318
GCF_000373385.1__GCA_011391285.1		unknown	12	9	9	3	0	142366	628833	135	33333	0.9672	531,55022,70592,100046,142366,185209,287324,416380,628833
GCA_003209675.1__GCA_003214195.1		unknown	0	4	0	0	4			82	54878	0.8235	
GCA_017467265.1__GCA_017462505.1		unknown	0	2	0	0	2			28	160714	0.5000	
GCA_004555145.1__GCA_900769905.1		unknown	0	3	0	0	3			147	30612	0.5773	
GCF_005048265.1__GCF_003259195.1		unknown	20	15	15	5	0	198385	1061522	156	28846	0.8583	10111,15189,36741,45906,105287,126794,132700,198385,216320,236174,237403,333242,446843,578770,1061522
GCF_001660005.1__GCF_000012085.2		unknown	0	7	0	0	7			83	54217	1.0000	
GCA_003212615.1__GCA_902591275.1		unknown	0	3	0	0	3			72	62500	0.6226	
GCA_902632275.1__GCA_902582315.1		unknown	0	3	0	0	3			154	29221	0.8849	
GCF_001660005.1__GCF_000500045.1		unknown	0	1	0	0	1			25	180000	1.0000	
GCF_007830445.1__GCF_900457465.1		unknown	3	24	3	0	21	263588	533691	1146	3927	0.9507	498,263588,533691
GCA_903853185.1__GCA_903831005.1		unknown	0	1	0	0	1			113	39823	0.3556	
GCA_902594485.1__GCA_902516925.1		unknown	0	2	0	0	2			90	50000	0.8169	
GCF_012927205.1__GCF_012641275.1		unknown	8	26	8	0	18	17956	230397	657	6849	0.9939	236,9637,14920,16512,19401,45314,184568,230397
GCF_000799075.1__GCA_905216205.1		unknown	0	1	0	0	1			54	83333	0.6818	
GCA_910584805.1__GCA_910578575.1		unknown	11	13	11	0	2	401291	1824232	241	18672	0.7101	5379,19158,83451,84098,208179,401291,508790,668502,962874,1704115,1824232
GCA_003215795.1__GCA_003278425.1		unknown	0	5	0	0	5			20	225000	0.7500	
GCF_900142015.1__GCF_000513195.1		unknown	7	18	7	0	11	28187	574922	347	12968	0.9251	5215,17405,19646,28187,33308,224994,574922
GCA_003211275.1__GCA_002687115.1		unknown	0	3	0	0	3			67	67164	0.6667	
GCF_001591845.1__GCF_001434975.1		unknown	0	5	0	0	5			46	97826	0.9630	
GCF_900099615.1__GCF_001945665.1		unknown	0	10	0	0	10			105	42857	0.9700	
GCA_902614065.1__GCA_902544085.1		unknown	0	1	0	0	1			152	29605	0.9130	
GCA_002438845.1__GCA_002297815.1		unknown	4	22	4	0	18	86396	269675	241	18672	0.7485	19053,80054,92739,269675
GCA_009929215.1__GCF_000420465.1		unknown	1	3	1	0	2	645143	645143	181	24862	0.5542	645143
GCF_000425985.1__GCF_000455825.1		unknown	2	3	2	0	1	765372	980251	566	7951	0.9767	550492,980251
GCA_011523395.1__GCA_011523635.1		unknown	6	10	6	0	4	226569	2095165	408	11029	0.6637	3370,13224,148594,304544,632116,2095165
GCF_001885215.1__GCA_013203655.1		unknown	0	11	0	0	11			582	7732	1.0000	
GCA_005789325.1__GCA_000428345.2		unknown	0	5	0	0	5			11	409091	0.0000	
GCA_902628525.1__GCA_902591695.1		unknown	0	3	0	0	3			18	250000	0.4286	
GCA_902606255.1__GCA_902572075.1		unknown	0	3	0	0	3			79	56962	0.7586	
GCA_003211415.1__GCA_003209475.1		unknown	2	4	2	0	2	432971	453603	130	34615	0.7308	412339,453603
GCF_004382825.2__GCF_002155265.1		unknown	0	10	0	0	10			141	31915	0.9643	
GCF_005930975.1__GCF_001281175.1		unknown	0	2	0	0	2			42	107143	0.6842	
GCF_002902365.1__GCF_014635045.1		unknown	0	1	0	0	1			38	118421	0.4231	
GCA_902610415.1__GCA_902527525.1		unknown	0	1	0	0	1			69	65217	0.8043	
GCF_003990335.1__GCA_018815765.1		unknown	0	29	0	0	29			346	13006	1.0000	
GCF_003057745.1__GCF_002939185.1		unknown	4	4	4	0	0	1626028	3527214	318	14151	0.9531	6506,734352,2517703,3527214
GCA_003216455.1__GCA_902626435.1		unknown	0	2	0	0	2			56	80357	0.8056	
GCF_000682715.1__GCA_017792385.1		unknown	6	9	6	0	3	79386	313430	193	23316	0.8646	6439,63966,76376,82397,214871,313430
GCA_014654265.1__GCA_902595125.1		unknown	0	8	0	0	8			20	225000	0.7692	
GCF_011617465.1__GCA_019117545.1		unknown	0	6	0	0	6			216	20833	0.9904	
GCA_017526785.1__GCA_017445875.1		unknown	16	29	16	0	13	26432	335041	90	50000	0.8214	4253,5002,5585,10656,12949,18011,22387,25553,27310,28104,32301,34875,61257,63143,67859,335041
GCF_009724685.1__GCF_001308875.1		unknown	11	27	11	0	16	60244	1146375	219	20548	0.9771	2974,4122,9219,32512,52719,60244,70020,106908,273830,538996,1146375
GCA_003210915.1__GCA_902572065.1		unknown	0	3	0	0	3			25	180000	0.6923	
GCA_900547815.1__GCF_003458715.1		unknown	0	12	0	0	12			135	33333	0.5794	
GCF_005082365.1__GCF_005080885.1		unknown	0	1	0	0	1			7	642857	1.0000	
GCF_001730685.1__GCF_001316435.1		unknown	0	22	0	0	22			261	17241	0.9870	
GCF_013404075.1__GCF_002723835.1		unknown	0	12	0	0	12			327	13761	0.8789	
GCF_009600315.1__GCF_002269505.1		unknown	8	11	8	0	3	70269	2259155	241	18672	0.8400	17924,18371,40482,69755,70783,74147,480033,2259155
GCA_902578775.1__GCA_902578525.1		unknown	0	1	0	0	1			10	450000	0.6667	
GCF_901873445.1__GCA_900766305.1		unknown	1	13	1	0	12	54455	54455	105	42857	0.7719	54455
GCF_008386465.1__GCA_001724815.1		unknown	2	8	2	0	6	698820	1332405	111	40541	0.9125	65234,1332405
GCA_902614065.1__GCA_902526165.1		unknown	0	2	0	0	2			10	450000	0.0000	
GCA_902581695.1__GCA_902540235.1		unknown	0	2	0	0	2			14	321429	0.6667	
GCA_017554565.1__GCA_017444325.1		unknown	1	6	1	0	5	139003	139003	253	17787	0.6370	139003
GCF_003946205.1__GCF_003946605.1		unknown	2	1	1	1	0	150173	150173	71	63380	0.7288	150173
GCA_902589725.1__GCA_902554745.1		unknown	1	4	1	0	3	183	183	39	115385	1.0000	183
GCA_002284855.1__GCA_903845465.1		unknown	0	1	0	0	1			39	115385	1.0000	
GCF_900239975.1__GCF_000007605.1		unknown	0	1	0	0	1			82	54878	1.0000	
GCA_902630925.1__GCA_902626045.1		unknown	1	2	1	0	1	129631	129631	22	204545	0.7143	129631
GCA_902577905.1__GCA_902522015.1		unknown	1	4	1	0	3	5498	5498	127	35433	0.8842	5498
GCA_902534465.1__GCA_902529785.1		unknown	0	1	0	0	1			99	45455	0.9028	
GCA_018882835.1__GCA_903850735.1		unknown	1	1	1	0	0	358832	358832	366	12295	0.8511	358832
GCA_015056415.1__GCA_017502305.1		unknown	9	15	9	0	6	419034	1189760	137	32847	0.5895	2777,26118,27341,131979,419034,470357,518314,982839,1189760
GCA_902576335.1__GCA_902540785.1		unknown	0	2	0	0	2			114	39474	0.9294	
GCA_902635845.1__GCA_902558545.1		unknown	0	2	0	0	2			97	46392	0.8485	
GCF_000745575.1__GCF_000745255.1		unknown	12	12	12	0	0	320412	4742736	327	13761	0.9734	2198,9300,27185,70030,145934,264435,376390,592832,826177,987204,3289534,4742736
GCA_900556255.1__GCA_900772715.1		unknown	0	14	0	0	14			169	26627	0.5538	
