file	ani_est	anchor_adjacency	breakpoint_count	synteny_blocks	n_anchors	n_chains	flag	ani	n_inv	true_breakpoints
q_ani0.95_inv0.fasta	94.94860	1.00000	0	1	4605	1	ok	0.95000	0	0
q_ani0.95_inv1.fasta	94.94900	0.99950	2	3	4605	3	ok	0.95000	1	2
q_ani0.95_inv2.fasta	94.95340	0.99900	4	5	4606	5	ok	0.95000	2	4
q_ani0.95_inv4.fasta	94.95610	0.99790	8	9	4604	9	ok	0.95000	4	8
q_ani0.95_inv8.fasta	94.96720	0.99590	16	17	4605	17	ok	0.95000	8	16
q_ani0.95_inv16.fasta	94.97030	0.99180	32	33	4607	33	ok	0.95000	16	32
q_ani0.95_inv32.fasta	94.99540	0.98350	64	65	4604	65	ok	0.95000	32	64
q_ani0.98_inv0.fasta	98.00370	1.00000	0	1	6230	1	ok	0.98000	0	0
q_ani0.98_inv1.fasta	98.00530	0.99960	2	3	6230	3	ok	0.98000	1	2
q_ani0.98_inv2.fasta	98.00430	0.99920	4	5	6230	5	ok	0.98000	2	4
q_ani0.98_inv4.fasta	98.00330	0.99850	8	9	6229	9	ok	0.98000	4	8
q_ani0.98_inv8.fasta	98.00570	0.99700	16	17	6230	17	ok	0.98000	8	16
q_ani0.98_inv16.fasta	98.01130	0.99400	32	33	6232	33	ok	0.98000	16	32
q_ani0.98_inv32.fasta	98.01000	0.98790	64	65	6227	65	ok	0.98000	32	64
