nucleotide_acc	assembly_acc
CP008957	GCF_000732965.1
CP010304	GCF_000803705.1
CP015831	GCF_001650295.1
CP015832	GCF_001650275.1
CP018237	GCF_001890205.1
CP018239	GCF_001890225.1
CP018241	GCF_001890325.1
CP018243	GCF_001890265.1
CP018245	GCF_001890245.1
CP018247	GCF_001890305.1
CP018250	GCF_001890345.1
CP018252	GCF_001890285.2
CP038282	GCF_013167135.1
CP038284	GCF_013167155.1
CP038290	GCF_013167195.1
CP038292	GCF_013167235.1
CP038300	GCF_013167275.1
CP038302	GCF_013167295.1
CP038309	GCF_013167335.1
CP038319	GCF_013167395.1
CP038333	GCF_013167475.1
CP038339	GCF_013167515.1
CP038342	GCF_013167535.1
CP038344	GCF_013167555.1
CP038346	GCF_013167575.1
CP038349	GCF_013167595.1
CP038351	GCF_013167615.1
CP038353	GCF_013167635.1
CP038355	GCF_013167655.1
CP038357	GCF_013167675.1
CP038360	GCF_013167695.1
CP038366	GCF_013167735.1
CP038372	GCF_013167775.1
CP038402	GCF_013168055.1
CP038414	GCF_013168135.1
CP038416	GCF_013168155.1
CP039834	GCF_013343595.1
CP062700	GCF_017164775.1
CP062702	GCF_017164795.1
CP062705	GCF_017164815.1
CP062708	GCF_017164835.1
CP062711	GCF_017164855.1
CP062713	GCF_017164875.1
CP062715	GCF_017164895.1
CP062717	GCF_017164915.1
CP062719	GCF_017164935.1
CP062721	GCF_017164955.1
CP062723	GCF_017164975.1
CP062725	GCF_017164995.1
CP062727	GCF_017165015.1
CP062729	GCF_017165035.1
CP062731	GCF_017165075.1
CP062733	GCF_017165095.1
CP062736	GCF_017165135.1
CP062739	GCF_017165115.1
CP062742	GCF_017165155.1
CP062744	GCF_017165215.1
CP062746	GCF_017165235.1
CP062749	GCF_017165255.1
CP062752	GCF_017165275.1
CP062755	GCF_017165295.1
CP062758	GCF_017165335.1
CP062761	GCF_017165315.1
CP062763	GCF_017165355.1
CP062766	GCF_017165375.1
CP062769	GCF_017165415.1
CP062771	GCF_017165435.1
CP062774	GCF_017165455.1
CP062778	GCF_017164755.1
CP062780	GCF_017165055.1
CP062782	GCF_017165395.1
NC_002695	GCF_000008865.2
NC_011353	GCF_000021125.1
NC_013008	GCF_000022225.1
