acc1	strain1	acc2	strain2	ani
GCF_016903955.1	FDAARGOS_1309	GCF_016904595.1	FDAARGOS_1310	99.99
GCF_016903515.1	FDAARGOS_1330	GCF_016903875.1	FDAARGOS_1329	99.97
GCF_002386225.2	FDAARGOS_445	GCF_002587885.1	FDAARGOS_446	99.97
GCF_016903895.1	FDAARGOS_1321	GCF_016904315.1	FDAARGOS_1316	99.94
GCF_001471625.1	FDAARGOS_127	GCF_001471835.2	FDAARGOS_91	99.94
GCF_016903895.1	FDAARGOS_1321	GCF_016904635.1	FDAARGOS_1320	99.93
GCF_016904315.1	FDAARGOS_1316	GCF_016904635.1	FDAARGOS_1320	99.92
GCF_003940465.1	FDAARGOS_567	GCF_016904595.1	FDAARGOS_1310	99.92
GCF_002587165.1	FDAARGOS_444	GCF_002636515.1	FDAARGOS_443	99.91
GCF_003940465.1	FDAARGOS_567	GCF_016903955.1	FDAARGOS_1309	99.9
GCF_002591075.1	FDAARGOS_439	GCF_016903735.1	FDAARGOS_1325	99.9
