ani	strain1	strain2	acc1	acc2	only_in_1	only_in_2	acquired_only_in_1	acquired_only_in_2
100.0000	FDAARGOS_772	FDAARGOS_401	GCF_006364695.1	GCF_002393465.1	tet(K)		tet(K)	
100.0000	FDAARGOS_772	FDAARGOS_348	GCF_006364695.1	GCF_002209105.2	tet(K)	tet(A)	tet(K)	tet(A)
100.0000	FDAARGOS_402	FDAARGOS_403	GCF_002554485.1	GCF_002393365.1	blaTEM		blaTEM	
99.9900	FDAARGOS_1351	FDAARGOS_1355	GCF_017081375.1	GCF_017081335.1		catA1		catA1
99.9900	FDAARGOS_1351	FDAARGOS_1239	GCF_017081375.1	GCF_017081125.1		catA1		catA1
99.9900	FDAARGOS_1354	FDAARGOS_1355	GCF_017081345.1	GCF_017081335.1		catA1		catA1
99.9900	FDAARGOS_1354	FDAARGOS_1239	GCF_017081345.1	GCF_017081125.1		catA1		catA1
99.9900	FDAARGOS_1355	FDAARGOS_1353	GCF_017081335.1	GCF_017081315.1	catA1		catA1	
99.9900	FDAARGOS_1353	FDAARGOS_1239	GCF_017081315.1	GCF_017081125.1		catA1		catA1
99.9900	FDAARGOS_1259	FDAARGOS_1260	GCF_016889905.1	GCF_016888925.1	blaKPC-2,blaOXA,blaTEM-1		blaKPC-2,blaOXA,blaTEM-1	
99.9900	FDAARGOS_401	FDAARGOS_348	GCF_002393465.1	GCF_002209105.2		tet(A)		tet(A)
99.9800	FDAARGOS_1346	FDAARGOS_1238	GCF_017081225.1	GCF_017081115.1		catA1		catA1
99.9800	FDAARGOS_1269	FDAARGOS_1276	GCF_017081135.1	GCF_016904575.1	blaTEM-1,blaTEMp_C32T,catA1,tet(D)		blaTEM-1,blaTEMp_C32T,catA1,tet(D)	
99.9800	FDAARGOS_1300	FDAARGOS_1302	GCF_016903915.1	GCF_016903435.1	acrR_D84IfsTer5,parC_E84G,tet(A)		acrR_D84IfsTer5,parC_E84G,tet(A)	
99.9700	FDAARGOS_1355	FDAARGOS_1346	GCF_017081335.1	GCF_017081225.1	catA1		catA1	
99.9700	FDAARGOS_1240	FDAARGOS_1239	GCF_017081185.1	GCF_017081125.1		catA1		catA1
99.9700	FDAARGOS_1370	FDAARGOS_1371	GCF_016904335.1	GCF_016904255.1	aadA5,blaCTX-M-15,dfrA17,mph(A),mrx(A),sul1		aadA5,blaCTX-M-15,dfrA17,mph(A),mrx(A),sul1	
99.9700	FDAARGOS_1266	FDAARGOS_539	GCF_016890105.1	GCF_003938635.1	tet(A)	aac(3)-IIe,dfrB4,mph(A),mrx(A),qepA7,sul1,tet(B)	tet(A)	aac(3)-IIe,dfrB4,mph(A),mrx(A),qepA7,sul1,tet(B)
99.9700	FDAARGOS_1265	FDAARGOS_142	GCF_016890045.1	GCF_001471815.2	nfsB_Q101Ter,tet(A)	aac(3)-IIe,aac(6')-Ib-cr,aadA5,acrR_E67Ter,blaOXA,dfrA,dfrA17,mph(A),mrx(A),sul1	nfsB_Q101Ter,tet(A)	aac(3)-IIe,aac(6')-Ib-cr,aadA5,acrR_E67Ter,blaOXA,dfrA,dfrA17,mph(A),mrx(A),sul1
99.9700	FDAARGOS_349	FDAARGOS_402	GCF_002983645.1	GCF_002554485.1		blaTEM		blaTEM
99.9700	FDAARGOS_402	FDAARGOS_348	GCF_002554485.1	GCF_002209105.2	blaCTX-M-15,blaTEM		blaCTX-M-15,blaTEM	
99.9700	FDAARGOS_403	FDAARGOS_348	GCF_002393365.1	GCF_002209105.2	blaCTX-M-15		blaCTX-M-15	
99.9500	FDAARGOS_1354	FDAARGOS_1352	GCF_017081345.1	GCF_017081175.1		rpsL_K43T		rpsL_K43T
99.9500	FDAARGOS_1355	FDAARGOS_1240	GCF_017081335.1	GCF_017081185.1	catA1		catA1	
99.9500	FDAARGOS_1293	FDAARGOS_1255	GCF_016904055.1	GCF_016889045.1		acrR_R131GfsTer11		acrR_R131GfsTer11
99.9500	FDAARGOS_1266	FDAARGOS_441	GCF_016890105.1	GCF_002588125.1	blaCTX-M-15,blaTEM-1,tet(A)	aadA5,blaDHA,blaNDM-1,ble,dfrA17,mph(A),mph(E),mrx(A),msr(E),ompF_D135EfsTer10,sul1	blaCTX-M-15,blaTEM-1,tet(A)	aadA5,blaDHA,blaNDM-1,ble,dfrA17,mph(A),mph(E),mrx(A),msr(E),ompF_D135EfsTer10,sul1
99.9500	FDAARGOS_349	FDAARGOS_348	GCF_002983645.1	GCF_002209105.2	blaCTX-M-15		blaCTX-M-15	
99.9400	FDAARGOS_1354	FDAARGOS_1238	GCF_017081345.1	GCF_017081115.1		catA1		catA1
99.9400	FDAARGOS_1346	FDAARGOS_1239	GCF_017081225.1	GCF_017081125.1		catA1		catA1
99.9400	FDAARGOS_1297	FDAARGOS_1296	GCF_016904535.1	GCF_016904195.1	aadA5,aph(3'')-Ib,aph(6)-Id,blaTEM-1,dfrA17,sul2	aadA2,dfrA12,mph(A),mrx(A),ompC_Q76Ter	aadA5,aph(3'')-Ib,aph(6)-Id,blaTEM-1,dfrA17,sul2	aadA2,dfrA12,mph(A),mrx(A),ompC_Q76Ter
99.9300	FDAARGOS_1355	FDAARGOS_293	GCF_017081335.1	GCF_002208865.2	catA1		catA1	
99.9300	FDAARGOS_1353	FDAARGOS_1238	GCF_017081315.1	GCF_017081115.1		catA1		catA1
