acc1	strain1	acc2	strain2	ani
GCF_006364695.1	FDAARGOS_772	GCF_002393465.1	FDAARGOS_401	100.0
GCF_006364695.1	FDAARGOS_772	GCF_002209105.2	FDAARGOS_348	100.0
GCF_002554485.1	FDAARGOS_402	GCF_002393365.1	FDAARGOS_403	100.0
GCA_019397185.1	FDAARGOS_1390	GCA_019397165.1	FDAARGOS_1391	100.0
GCA_019056115.1	FDAARGOS 1383	GCA_019048445.1	FDAARGOS 1382	100.0
GCA_019048605.1	FDAARGOS 1375	GCA_019047725.1	FDAARGOS 1374	100.0
GCA_019048425.1	FDAARGOS 1380	GCA_019047745.1	FDAARGOS_1381	100.0
GCA_019048345.1	FDAARGOS 1377	GCA_019047645.1	FDAARGOS_1376	100.0
GCA_019048005.1	FDAARGOS_1385	GCA_019047165.1	FDAARGOS_1384	100.0
GCA_019047965.1	FDAARGOS_1378	GCA_019047145.1	FDAARGOS_1379	100.0
GCF_017081375.1	FDAARGOS_1351	GCF_017081345.1	FDAARGOS_1354	99.99
GCF_017081375.1	FDAARGOS_1351	GCF_017081335.1	FDAARGOS_1355	99.99
GCF_017081375.1	FDAARGOS_1351	GCF_017081315.1	FDAARGOS_1353	99.99
GCF_017081375.1	FDAARGOS_1351	GCF_017081125.1	FDAARGOS_1239	99.99
GCF_017081345.1	FDAARGOS_1354	GCF_017081335.1	FDAARGOS_1355	99.99
GCF_017081345.1	FDAARGOS_1354	GCF_017081315.1	FDAARGOS_1353	99.99
GCF_017081345.1	FDAARGOS_1354	GCF_017081125.1	FDAARGOS_1239	99.99
GCF_017081335.1	FDAARGOS_1355	GCF_017081315.1	FDAARGOS_1353	99.99
GCF_017081335.1	FDAARGOS_1355	GCF_017081125.1	FDAARGOS_1239	99.99
GCF_017081315.1	FDAARGOS_1353	GCF_017081125.1	FDAARGOS_1239	99.99
GCF_016889905.1	FDAARGOS_1259	GCF_016888925.1	FDAARGOS_1260	99.99
GCF_002983645.1	FDAARGOS_349	GCF_002393365.1	FDAARGOS_403	99.99
GCF_002393465.1	FDAARGOS_401	GCF_002209105.2	FDAARGOS_348	99.99
GCA_019048285.1	FDAARGOS 1389	GCA_019047905.1	FDAARGOS_1388	99.99
GCF_017081275.1	FDAARGOS_1347	GCF_017081235.1	FDAARGOS_1349	99.98
GCF_017081225.1	FDAARGOS_1346	GCF_017081115.1	FDAARGOS_1238	99.98
GCF_017081135.1	FDAARGOS_1269	GCF_016904575.1	FDAARGOS_1276	99.98
GCF_016903915.1	FDAARGOS_1300	GCF_016903435.1	FDAARGOS_1302	99.98
GCF_017081385.1	FDAARGOS_1350	GCF_017081275.1	FDAARGOS_1347	99.97
GCF_017081375.1	FDAARGOS_1351	GCF_017081185.1	FDAARGOS_1240	99.97
GCF_017081345.1	FDAARGOS_1354	GCF_017081185.1	FDAARGOS_1240	99.97
GCF_017081335.1	FDAARGOS_1355	GCF_017081225.1	FDAARGOS_1346	99.97
GCF_017081315.1	FDAARGOS_1353	GCF_017081185.1	FDAARGOS_1240	99.97
GCF_017081185.1	FDAARGOS_1240	GCF_017081125.1	FDAARGOS_1239	99.97
GCF_016904335.1	FDAARGOS_1370	GCF_016904255.1	FDAARGOS_1371	99.97
GCF_016904175.1	FDAARGOS_1372	GCF_016889105.1	FDAARGOS_1254	99.97
GCF_016890105.1	FDAARGOS_1266	GCF_003938635.1	FDAARGOS_539	99.97
GCF_016890045.1	FDAARGOS_1265	GCF_001471815.2	FDAARGOS_142	99.97
GCF_002983645.1	FDAARGOS_349	GCF_002554485.1	FDAARGOS_402	99.97
GCF_002554675.1	FDAARGOS_399	GCF_002554475.1	FDAARGOS_398	99.97
GCF_002554485.1	FDAARGOS_402	GCF_002209105.2	FDAARGOS_348	99.97
GCF_002554475.1	FDAARGOS_398	GCF_002206405.2	FDAARGOS_292	99.97
GCF_002393365.1	FDAARGOS_403	GCF_002209105.2	FDAARGOS_348	99.97
