NC_007779.1	652607	655740	DEL_l869_r3693	4562	.	652607	655740	0,0,255
NC_007779.1	1105281	1107317	DEL_l1462_r3100	4562	.	1105281	1107317	0,0,255
NC_007779.1	2176754	2178197	DEL_l2886_r1676	4562	.	2176754	2178197	0,0,255
NC_007779.1	2320528	2322342	DEL_l3097_r1465	4562	.	2320528	2322342	0,0,255
NC_007779.1	2563691	2564266	INS_l3449_r1113	4562	.	2563691	2564266	0,128,0
NC_007779.1	3260859	3262774	DEL_l4363_r199	4562	.	3260859	3262774	0,0,255
NC_007779.1	3428880	4211231	INV_l4562_r542	5104	.	3428880	4211231	255,0,0
NC_007779.1	3749911	3752972	DEL_l557_r417	974	.	3749911	3752972	0,0,255
NC_007779.1	3746288	3749092	DEL_l560_r414	974	.	3746288	3749092	0,0,255
NC_007779.1	3741374	3744986	DEL_l562_r412	974	.	3741374	3744986	0,0,255
NC_007779.1	4309585	4311745	DEL_l106_r436	542	.	4309585	4311745	0,0,255
