pairid	band	phylum	dd_breakpoints_ref	dd_breakpoints_qry	dd_relocations_ref	dd_relocations_qry	dd_translocations_ref	dd_translocations_qry	dd_inversions_ref	dd_inversions_qry	dd_insertions_ref	dd_insertions_qry	dd_insertionsum_ref	dd_insertionsum_qry	dd_tandemins_ref	dd_tandemins_qry	dd_tandeminssum_ref	dd_tandeminssum_qry
GCF_006715835.1__GCF_013408335.1	85-90	Actinobacteriota	2718.0	2718.0	130.0	149.0	0.0	2.0	66.0	64.0	1366.0	1196.0	2085979.0	1778856.0	0.0	0.0	0.0	0.0
GCA_902544135.1__GCA_902541315.1	90-95	Proteobacteria	152.0	178.0	0.0	0.0	15.0	30.0	0.0	0.0	84.0	94.0	253279.0	344111.0	0.0	0.0	0.0	0.0
GCA_900548775.1__GCA_902773995.1	90-95	Actinobacteriota	1064.0	1078.0	0.0	0.0	89.0	83.0	0.0	0.0	505.0	551.0	740872.0	688018.0	1.0	1.0	121.0	60.0
GCF_000220565.1__GCA_018222585.1	90-95	Proteobacteria	2095.0	1854.0	0.0	3.0	330.0	58.0	1.0	2.0	1067.0	1051.0	1481655.0	1033700.0	1.0	2.0	54.0	146.0
GCA_004211905.1__GCA_002685195.1	90-95	Proteobacteria	242.0	270.0	0.0	0.0	15.0	41.0	0.0	0.0	150.0	132.0	235558.0	735711.0	0.0	0.0	0.0	0.0
GCF_008011665.1__GCF_008245025.1	80-85	Campylobacterota	570.0	561.0	6.0	5.0	19.0	0.0	0.0	2.0	295.0	284.0	537156.0	519923.0	1.0	0.0	257.0	0.0
GCF_002741105.1__GCF_900115695.1	90-95	Proteobacteria	1672.0	1659.0	15.0	6.0	47.0	53.0	5.0	4.0	766.0	786.0	1195390.0	643868.0	2.0	1.0	390.0	249.0
GCF_003425685.1__GCF_017877055.1	80-85	Proteobacteria	2783.0	2774.0	20.0	35.0	157.0	80.0	19.0	32.0	1363.0	1432.0	3007429.0	3428884.0	0.0	0.0	0.0	0.0
GCF_003054165.1__GCA_019192965.1	80-85	Actinobacteriota	2566.0	2560.0	12.0	10.0	108.0	106.0	14.0	13.0	1303.0	1306.0	2447445.0	2743440.0	0.0	0.0	0.0	0.0
GCF_002243645.1__GCF_001645685.2	80-85	Firmicutes	1878.0	1882.0	77.0	69.0	0.0	11.0	30.0	25.0	899.0	938.0	2175657.0	2829740.0	0.0	1.0	0.0	374.0
GCA_004293365.1__GCA_013299165.1	85-90	Cyanobacteria	8840.0	8808.0	70.0	85.0	742.0	541.0	23.0	48.0	4048.0	3759.0	2394752.0	2568871.0	5.0	2.0	1008.0	134.0
GCF_000425985.1__GCF_000455825.1	85-90	Actinobacteriota	1260.0	1478.0	1.0	2.0	21.0	193.0	2.0	0.0	694.0	720.0	910036.0	1011395.0	0.0	0.0	0.0	0.0
GCF_003031675.1__GCF_001647715.1	85-90	Proteobacteria	2440.0	2352.0	37.0	33.0	128.0	0.0	0.0	25.0	1204.0	1165.0	1869688.0	1515082.0	0.0	0.0	0.0	0.0
GCF_002549775.1__GCA_003449675.1	85-90	Firmicutes_A	1381.0	1498.0	21.0	8.0	105.0	266.0	39.0	13.0	732.0	737.0	771141.0	1697110.0	0.0	0.0	0.0	0.0
GCA_003209755.1__GCA_003280445.1	90-95	Cyanobacteria	314.0	340.0	3.0	3.0	42.0	57.0	3.0	4.0	184.0	187.0	235572.0	590996.0	0.0	0.0	0.0	0.0
GCA_902625035.1__GCA_902624635.1	90-95	Proteobacteria	142.0	134.0	0.0	0.0	19.0	11.0	0.0	0.0	77.0	76.0	251933.0	337519.0	0.0	0.0	0.0	0.0
GCA_011523395.1__GCA_011523635.1	90-95	Actinobacteriota	1740.0	1511.0	9.0	10.0	241.0	100.0	1.0	2.0	786.0	750.0	803655.0	721612.0	0.0	0.0	0.0	0.0
GCF_001672755.1__GCF_001667925.1	85-90	Actinobacteriota	2054.0	2026.0	1.0	2.0	164.0	121.0	6.0	6.0	987.0	995.0	1393578.0	1405216.0	0.0	0.0	0.0	0.0
GCF_900119365.1__GCF_014649535.1	90-95	Actinobacteriota	2641.0	2704.0	30.0	34.0	206.0	220.0	15.0	7.0	1194.0	1301.0	1676483.0	2252242.0	2.0	0.0	303.0	0.0
GCF_001424165.1__GCA_003520365.1	85-90	Proteobacteria	2711.0	2895.0	14.0	11.0	64.0	580.0	10.0	1.0	1735.0	1449.0	1231933.0	3105877.0	0.0	0.0	0.0	0.0
GCF_001885215.1__GCA_013203655.1	90-95	Cyanobacteria	542.0	676.0	7.0	1.0	0.0	156.0	4.0	0.0	328.0	288.0	307554.0	1073101.0	0.0	0.0	0.0	0.0
GCA_900547475.1__GCF_004353185.1	90-95	Firmicutes_A	1608.0	1555.0	12.0	15.0	87.0	98.0	2.0	2.0	805.0	629.0	1315444.0	885313.0	0.0	0.0	0.0	0.0
GCF_000938265.1__GCF_900177685.1	85-90	Actinobacteriota	1175.0	1188.0	10.0	9.0	18.0	11.0	0.0	1.0	578.0	595.0	900018.0	1239093.0	0.0	0.0	0.0	0.0
GCF_000402035.1__GCA_001189345.1	85-90	Proteobacteria	1968.0	1980.0	31.0	5.0	63.0	167.0	41.0	12.0	997.0	922.0	1095200.0	3834043.0	1.0	0.0	320.0	0.0
GCA_017961175.1__GCA_017962375.1	80-85	Bacteroidota	854.0	811.0	6.0	6.0	72.0	13.0	8.0	8.0	420.0	451.0	1376105.0	1073062.0	0.0	0.0	0.0	0.0
GCF_000377565.1__GCF_017741815.1	90-95	Proteobacteria	1326.0	1325.0	23.0	24.0	103.0	103.0	13.0	15.0	597.0	607.0	1847763.0	1948884.0	0.0	0.0	0.0	0.0
GCA_001604135.1__GCA_016292145.1	85-90	Firmicutes_A	932.0	1087.0	4.0	5.0	29.0	147.0	2.0	1.0	507.0	485.0	691627.0	1089620.0	0.0	1.0	0.0	96.0
GCA_900553135.1__GCA_905205085.1	85-90	Firmicutes_A	1464.0	1437.0	1.0	1.0	261.0	217.0	3.0	4.0	853.0	854.0	1254927.0	1093142.0	0.0	0.0	0.0	0.0
GCF_900112625.1__GCF_000364445.2	85-90	Proteobacteria	3540.0	3481.0	50.0	107.0	318.0	0.0	17.0	168.0	1721.0	1737.0	2705517.0	2474813.0	0.0	0.0	0.0	0.0
GCA_902576125.1__GCA_902512325.1	80-85	Proteobacteria	239.0	248.0	0.0	0.0	11.0	32.0	2.0	2.0	155.0	137.0	537292.0	551073.0	0.0	0.0	0.0	0.0
GCA_902576905.1__GCA_902537235.1	85-90	Proteobacteria	226.0	234.0	0.0	0.0	21.0	32.0	1.0	1.0	140.0	135.0	662285.0	634563.0	0.0	0.0	0.0	0.0
GCA_902536925.1__GCA_902518165.1	90-95	Proteobacteria	120.0	112.0	0.0	0.0	18.0	15.0	0.0	0.0	69.0	62.0	302096.0	145724.0	0.0	0.0	0.0	0.0
GCF_001426905.1__GCA_017745235.1	85-90	Proteobacteria	3200.0	3265.0	19.0	17.0	142.0	231.0	19.0	23.0	1630.0	1614.0	2456956.0	2739188.0	0.0	0.0	0.0	0.0
GCA_000383735.1__GCA_002323895.1	90-95	Verrucomicrobiota	671.0	659.0	5.0	1.0	90.0	112.0	23.0	26.0	327.0	337.0	667060.0	418238.0	0.0	0.0	0.0	0.0
GCF_000691165.1__GCF_000691145.1	85-90	Firmicutes	1039.0	1024.0	11.0	18.0	40.0	43.0	0.0	1.0	472.0	389.0	347797.0	387459.0	0.0	0.0	0.0	0.0
GCF_004137255.1__GCF_013155335.1	80-85	Actinobacteriota	2452.0	2448.0	17.0	28.0	41.0	49.0	23.0	6.0	1320.0	1131.0	2625924.0	2154360.0	0.0	0.0	0.0	0.0
