acc	species	genus	contig_count	n50_contigs	genome_size	checkm_completeness	checkm_contamination	ncbi_assembly_level	ncbi_genbank_assembly_accession	ncbi_strain_identifiers
GCF_001605035.1	Bordetella pertussis	Bordetella	1	4107437	4107437	100.0	0.47	Complete Genome	GCA_001605035.1	H374
GCF_001605445.1	Bordetella pertussis	Bordetella	1	4105331	4105331	100.0	0.47	Complete Genome	GCA_001605445.1	I476
GCF_001831435.1	Bordetella pertussis	Bordetella	1	4257407	4257407	100.0	0.0	Complete Genome	GCA_001831435.1	6229;J447
GCF_001985425.1	Bordetella pertussis	Bordetella	1	4103252	4103252	100.0	0.47	Complete Genome	GCA_001985425.1	H765
GCF_001985545.1	Bordetella pertussis	Bordetella	1	4111652	4111652	100.0	0.47	Complete Genome	GCA_001985545.1	I228
GCF_001986025.1	Bordetella pertussis	Bordetella	1	4088698	4088698	100.0	0.47	Complete Genome	GCA_001986025.1	H639
GCF_001986295.1	Bordetella pertussis	Bordetella	1	4106385	4106385	100.0	0.47	Complete Genome	GCA_001986295.1	I112
GCF_001987355.1	Bordetella pertussis	Bordetella	1	4104294	4104294	100.0	0.47	Complete Genome	GCA_001987355.1	I379
GCF_001988095.1	Bordetella pertussis	Bordetella	1	4102201	4102201	100.0	0.47	Complete Genome	GCA_001988095.1	C734
GCF_001988315.1	Bordetella pertussis	Bordetella	1	4113730	4113730	100.0	0.47	Complete Genome	GCA_001988315.1	J179
GCF_001988435.1	Bordetella pertussis	Bordetella	1	4103283	4103283	100.0	0.47	Complete Genome	GCA_001988435.1	J201
GCF_001989075.1	Bordetella pertussis	Bordetella	1	4107596	4107596	100.0	0.47	Complete Genome	GCA_001989075.1	J122
GCF_001989175.1	Bordetella pertussis	Bordetella	1	4106377	4106377	100.0	0.47	Complete Genome	GCA_001989175.1	J161
GCF_001989295.1	Bordetella pertussis	Bordetella	1	4110596	4110596	100.0	0.47	Complete Genome	GCA_001989295.1	J210
