pairid	q_acc	r_acc	band	split	anim_ani	af_tier	stratum
GCA_000319535.1__GCA_000319555.1	GCA_000319535.1	GCA_000319555.1	95-97	test	96.5500	strict	
GCA_000340945.1__GCF_008638355.1	GCA_000340945.1	GCF_008638355.1	95-97	train	95.1900	strict	
GCA_000484895.1__GCA_000484935.1	GCA_000484895.1	GCA_000484935.1	95-97	train	96.1300	strict	
GCA_001312785.1__GCF_001286765.1	GCA_001312785.1	GCF_001286765.1	95-97	test	96.6700	strict	
GCA_001914055.1__GCF_001810345.1	GCA_001914055.1	GCF_001810345.1	95-97	train	95.1100	strict	
GCA_001914055.1__GCF_014931375.1	GCA_001914055.1	GCF_014931375.1	95-97	train	95.0700	strict	
GCA_001916175.1__GCA_003150745.1	GCA_001916175.1	GCA_003150745.1	95-97	train	96.5500	strict	
GCA_002169705.1__GCA_902510115.1	GCA_002169705.1	GCA_902510115.1	95-97	test	95.7700	low-AF	
GCA_002170515.2__GCA_002722675.1	GCA_002170515.2	GCA_002722675.1	95-97	test	95.7000	strict	
GCA_002279115.1__GCF_004361875.1	GCA_002279115.1	GCF_004361875.1	95-97	train	96.4200	strict	
GCA_002279345.1__GCF_000701585.1	GCA_002279345.1	GCF_000701585.1	95-97	train	96.8700	strict	
GCA_002320115.1__GCA_014871775.1	GCA_002320115.1	GCA_014871775.1	95-97	train	95.4000	strict	
GCA_002333025.1__GCA_002477715.1	GCA_002333025.1	GCA_002477715.1	95-97	train	95.0300	strict	
GCA_002335285.1__GCA_002786815.1	GCA_002335285.1	GCA_002786815.1	95-97	test	96.8900	strict	
GCA_002352305.1__GCA_002393005.1	GCA_002352305.1	GCA_002393005.1	95-97	test	96.1500	strict	
GCA_002376145.1__GCA_002477085.1	GCA_002376145.1	GCA_002477085.1	95-97	train	96.7700	strict	
GCA_002392085.1__GCA_012840325.1	GCA_002392085.1	GCA_012840325.1	95-97	train	95.8300	strict	
GCA_002396445.1__GCA_002477705.1	GCA_002396445.1	GCA_002477705.1	95-97	train	95.3200	strict	
GCA_002419425.1__GCA_004138125.1	GCA_002419425.1	GCA_004138125.1	95-97	train	96.5200	strict	
GCA_002422665.1__GCA_019104985.1	GCA_002422665.1	GCA_019104985.1	95-97	test	95.2800	low-AF	
GCA_002483985.1__GCA_018372705.1	GCA_002483985.1	GCA_018372705.1	95-97	test	95.8300	strict	
GCA_002490885.1__GCA_900540065.1	GCA_002490885.1	GCA_900540065.1	95-97	train	96.9600	strict	
GCA_002496085.1__GCA_002507035.1	GCA_002496085.1	GCA_002507035.1	95-97	train	96.5600	strict	
GCA_002684675.1__GCA_002690525.1	GCA_002684675.1	GCA_002690525.1	95-97	test	96.5800	strict	
GCA_002689755.1__GCA_011522785.1	GCA_002689755.1	GCA_011522785.1	95-97	train	96.7700	strict	
GCA_002704555.1__GCA_003212435.1	GCA_002704555.1	GCA_003212435.1	95-97	test	96.9700	low-AF	
GCA_002706995.1__GCF_014334315.1	GCA_002706995.1	GCF_014334315.1	95-97	test	96.1800	strict	
GCA_002710335.1__GCA_003509725.1	GCA_002710335.1	GCA_003509725.1	95-97	train	96.1600	strict	
GCA_002710405.1__GCA_902635265.1	GCA_002710405.1	GCA_902635265.1	95-97	test	96.7100	low-AF	
GCA_002998695.1__GCA_900176625.1	GCA_002998695.1	GCA_900176625.1	95-97	train	96.8400	strict	
GCA_003216875.1__GCF_000015685.1	GCA_003216875.1	GCF_000015685.1	95-97	train	96.7400	strict	
GCA_003218855.1__GCA_003219305.1	GCA_003218855.1	GCA_003219305.1	95-97	train	96.6500	strict	
GCA_003219305.1__GCA_003219835.1	GCA_003219305.1	GCA_003219835.1	95-97	train	96.4100	strict	
GCA_003241705.1__GCA_009996505.1	GCA_003241705.1	GCA_009996505.1	95-97	train	96.5600	strict	
GCA_003241705.1__GCF_018403535.1	GCA_003241705.1	GCF_018403535.1	95-97	train	96.7500	strict	
GCA_003281865.1__GCA_902559135.1	GCA_003281865.1	GCA_902559135.1	95-97	test	95.8100	strict	
GCA_003316735.1__GCF_000585195.1	GCA_003316735.1	GCF_000585195.1	95-97	train	96.1300	strict	
GCA_003316735.1__GCF_000648635.1	GCA_003316735.1	GCF_000648635.1	95-97	train	96.0400	strict	
GCA_003445605.1__GCA_012521055.1	GCA_003445605.1	GCA_012521055.1	95-97	train	95.7400	strict	
GCA_003445875.1__GCF_000803025.1	GCA_003445875.1	GCF_000803025.1	95-97	train	95.1100	strict	
