pairid	dnadiff_inverted_fraction	syn2b_inverted_fraction	syn2b_raw_inverted_fraction	syn2b_shared_tags	syn2b_observable_fraction	syn2b_breakpoints	se_pred_min	se_pred_raw	se_pred	resid	z	m_bin	band
GCF_006715835.1__GCF_013408335.1	0.0841832369449683	0.08121	0.08121	628	1.0	23.0	0.024473365985596834	0.024473365985596834	0.024473365985596834	-0.002973236944968302	-0.12148868066281213	(454.0, 761.0]	85-90
GCA_902544135.1__GCA_902541315.1	0.5877204150896321	0.3	0.7	20	0.6667	0.0	0.12732733406460686	0.1273273340646069	0.1273273340646069	0.11227958491036782	0.8818183914335023	(14.0, 31.0]	90-95
GCA_900548775.1__GCA_902773995.1	0.5016937322921705	0.48632	0.48632	475	0.8796	1.0	0.03480282165906123	0.03480282165906123	0.03480282165906123	-0.015373732292170539	-0.4417380993637868	(454.0, 761.0]	90-95
GCF_000220565.1__GCA_018222585.1	0.5147304183765592	0.46248	0.53752	653	0.6704	6.0	0.031508913476688945	0.031508913476688945	0.031508913476688945	0.022789581623440802	0.723274118617295	(454.0, 761.0]	90-95
GCA_004211905.1__GCA_002685195.1	0.4037283585886038	0.39623	0.39623	106	0.7879	0.0	0.061762716038381404	0.061762716038381404	0.061762716038381404	-0.00749835858860376	-0.12140590747246333	(99.0, 142.0]	90-95
GCF_002741105.1__GCF_900115695.1	0.3045570945009098	0.33672	0.33672	689	0.988	4.0	0.03012925881142747	0.03012925881142747	0.03012925881142747	0.03216290549909023	1.0674974017910934	(454.0, 761.0]	90-95
GCF_003425685.1__GCF_017877055.1	0.449510309640003	0.41935	0.41935	217	0.9187	33.0	0.04591173652746912	0.04591173652746912	0.04591173652746912	-0.03016030964000299	-0.6569193831724922	(206.0, 291.0]	80-85
GCF_003054165.1__GCA_019192965.1	0.4942203011776671	0.49738	0.50262	191	0.8896	11.0	0.04887517094371091	0.04887517094371091	0.04887517094371091	0.00839969882233288	0.17186024437657182	(142.0, 206.0]	80-85
GCF_002243645.1__GCF_001645685.2	0.9907307510545568	0.0	1.0	32	1.0	0.0	0.0205	0.0205	0.0205	0.009269248945443231	0.45215848514357226	(31.0, 63.0]	80-85
GCA_004293365.1__GCA_013299165.1	0.5132378092700235	0.47576	0.52424	330	0.6079	30.0	0.039458408609173344	0.039458408609173344	0.039458408609173344	0.011002190729976546	0.2788300673489083	(291.0, 454.0]	85-90
GCF_000425985.1__GCF_000455825.1	0.5668526513194723	0.43454	0.56546	359	0.9619	2.0	0.03807429668942591	0.03807429668942591	0.03807429668942591	-0.0013926513194723045	-0.03657720406058282	(291.0, 454.0]	85-90
GCF_003031675.1__GCF_001647715.1	0.4984466066470958	0.44767	0.44767	344	0.8309	10.0	0.03874662036778926	0.03874662036778926	0.03874662036778926	-0.05077660664709577	-1.3104783375973417	(291.0, 454.0]	85-90
GCF_002549775.1__GCA_003449675.1	0.4698178706689369	0.31034	0.31034	58	0.9444	6.0	0.07726736418365554	0.07726736418365554	0.07726736418365554	-0.15947787066893687	-2.0639745169755828	(31.0, 63.0]	85-90
GCA_003209755.1__GCA_003280445.1	0.3305649864907683	0.47826	0.47826	23	0.8	0.0	0.12937221630520884	0.12937221630520884	0.12937221630520884	0.1476950135092317	1.1416285329826659	(14.0, 31.0]	90-95
GCA_902625035.1__GCA_902624635.1	0.6390753277728896	0.5	0.5	10	0.5	0.0	0.194987820132438	0.194987820132438	0.194987820132438	-0.13907532777288956	-0.7132513593845399	(1.999, 14.0]	90-95
GCA_011523395.1__GCA_011523635.1	0.5213327552029604	0.44865	0.55135	185	0.5	1.0	0.04930766449713637	0.04930766449713637	0.04930766449713637	0.0300172447970396	0.6087744188083154	(142.0, 206.0]	90-95
GCF_001672755.1__GCF_001667925.1	0.5073713917321677	0.45455	0.54545	374	0.7492	1.0	0.037646920158668426	0.037646920158668426	0.037646920158668426	0.03807860826783227	1.0114667576350052	(291.0, 454.0]	85-90
GCF_900119365.1__GCF_014649535.1	0.6111746602166616	0.35799	0.64201	1852	0.9883	37.0	0.024635266741705665	0.024635266741705665	0.024635266741705665	0.03083533978333841	1.251674686807287	(761.0, 4886.0]	90-95
GCF_001424165.1__GCA_003520365.1	0.5361474983259008	0.41414	0.58586	198	1.0	0.0	0.04757355298529262	0.047573552985292616	0.047573552985292616	0.04971250167409924	1.0449608775167136	(142.0, 206.0]	85-90
GCF_001885215.1__GCA_013203655.1	0.4186644623116413	0.44681	0.44681	282	1.0	0.0	0.04169525625455891	0.04169525625455891	0.04169525625455891	0.0281455376883587	0.6750297327955935	(206.0, 291.0]	90-95
GCA_900547475.1__GCF_004353185.1	0.5693893480913241	0.375	0.625	16	0.0	0.0	0.1498382461189399	0.14983824611893987	0.14983824611893987	0.05561065190867587	0.3711378993620412	(14.0, 31.0]	90-95
GCF_000938265.1__GCF_900177685.1	0.5683714581361045	0.44	0.56	250	0.9585	2.0	0.043618716166343094	0.043618716166343094	0.043618716166343094	-0.008371458136104404	-0.19192353356250214	(206.0, 291.0]	85-90
GCF_000402035.1__GCA_001189345.1	0.4367910730500342	0.47765	0.47765	358	0.9968	69.0	0.038320109302861345	0.038320109302861345	0.038320109302861345	0.040858926949965846	1.0662528811449639	(291.0, 454.0]	85-90
GCA_017961175.1__GCA_017962375.1	0.6269944940193659	0.46512	0.53488	43	0.2581	0.0	0.09550854849629832	0.09550854849629832	0.09550854849629832	-0.09211449401936589	-0.9644633435397254	(31.0, 63.0]	80-85
GCF_000377565.1__GCF_017741815.1	0.4974315423631134	0.489	0.511	1773	0.9879	47.0	0.025143931596078826	0.025143931596078826	0.025143931596078826	0.013568457636886633	0.5396315045258324	(761.0, 4886.0]	90-95
GCA_001604135.1__GCA_016292145.1	0.5507616021582968	0.46386	0.53614	166	0.9655	0.0	0.051705673420477376	0.051705673420477376	0.051705673420477376	-0.014621602158296887	-0.282785257226844	(142.0, 206.0]	85-90
GCA_900553135.1__GCA_905205085.1	0.476937197535953	0.48276	0.51724	29	0.0	0.0	0.1156302422453155	0.1156302422453155	0.1156302422453155	0.04030280246404705	0.34854897543622354	(14.0, 31.0]	85-90
GCF_900112625.1__GCF_000364445.2	0.5053657881275802	0.48992	0.51008	496	0.9354	92.0	0.034322098119188835	0.034322098119188835	0.034322098119188835	0.004714211872419827	0.13735208890927914	(454.0, 761.0]	85-90
GCA_902576905.1__GCA_902537235.1	0.472550883515646	0.34375	0.65625	32	0.75	0.0	0.10498947119830636	0.10498947119830636	0.10498947119830636	0.183699116484354	1.7496908441169228	(31.0, 63.0]	85-90
GCA_902536925.1__GCA_902518165.1	0.4215997409326424	0.46667	0.46667	15	0.6	0.0	0.15929699162139463	0.15929699162139463	0.15929699162139463	0.045070259067357565	0.28293226763803075	(14.0, 31.0]	90-95
GCF_001426905.1__GCA_017745235.1	0.3809242209497014	0.37097	0.37097	124	0.9186	26.0	0.05701381366900368	0.05701381366900368	0.05701381366900368	-0.009954220949701387	-0.17459314347030133	(99.0, 142.0]	85-90
GCA_000383735.1__GCA_002323895.1	0.4401013716992496	0.45588	0.45588	136	0.7703	3.0	0.05624436913662088	0.05624436913662088	0.05624436913662088	0.015778628300750386	0.2805370305145244	(99.0, 142.0]	90-95
GCF_000691165.1__GCF_000691145.1	0.3966280883542939	0.42222	0.42222	90	0.8451	0.0	0.0670591536950276	0.0670591536950276	0.0670591536950276	0.025591911645706067	0.3816318911821235	(63.0, 99.0]	85-90
GCF_004137255.1__GCF_013155335.1	0.6904387424269094	0.38764	0.61236	178	0.9763	8.0	0.04925380533531383	0.04925380533531383	0.04925380533531383	-0.07807874242690938	-1.585232692080519	(142.0, 206.0]	80-85
GCF_001068775.1__GCA_905221345.1	0.5631360101357271	0.4	0.6	15	0.0	0.0	0.15647443880710996	0.15647443880710996	0.15647443880710996	0.03686398986427286	0.23559113006128782	(14.0, 31.0]	80-85
GCF_001180165.1__GCA_902571955.1	0.3506563717513764	0.16667	0.16667	6	0.0	0.0	0.1877115389342559	0.1877115389342559	0.1877115389342559	-0.18398637175137636	-0.9801548311625944	(1.999, 14.0]	90-95
GCF_000960475.2__GCF_014648255.1	0.437441514243821	0.4306	0.4306	562	0.8911	6.0	0.0328085326155307	0.0328085326155307	0.0328085326155307	-0.006841514243821012	-0.2085285045812265	(454.0, 761.0]	85-90
GCA_017963805.1__GCA_017539325.1	0.5329953902845029	0.44231	0.55769	260	0.8734	0.0	0.042978504614140454	0.042978504614140454	0.042978504614140454	0.024694609715497085	0.5745804777807987	(206.0, 291.0]	90-95
