pairid	fastani_ani	fastani_mapped	fastani_total
GCF_003319115.1__GCF_900188375.1	85.4111	1002	1547
GCA_017620015.1__GCA_902791865.1	85.7631	728	1140
GCA_900550735.1__GCA_905215225.1	93.0816	298	511
GCF_002112505.1__GCF_013179515.1	87.6588	1330	1976
GCF_013410035.1__GCF_900112035.1	85.132	1031	1427
GCF_016863335.1__GCF_016863275.1	85.5456	2010	2926
GCF_008312835.1__GCF_014650055.1	91.8839	1983	2594
GCF_015731765.1__GCF_000021385.1	94.0527	844	953
GCF_006874425.1__GCF_001709075.1	89.0019	1491	1815
GCA_017549085.1__GCA_017436025.1	90.4256	490	547
GCF_001729765.1__GCF_000025565.1	88.6067	1332	1641
GCF_900119365.1__GCF_014649035.1	84.9458	1540	2786
GCF_004801935.1__GCF_003097075.1	83.5849	1238	2051
GCF_003434305.1__GCF_900091605.1	85.0674	1370	2302
GCF_003234855.1__GCF_018885305.1	88.4859	901	1091
GCF_004357765.1__GCF_005080685.1	90.0064	1515	1806
GCA_016841485.1__GCA_011045995.1	85.4675	347	649
GCA_009886465.1__GCA_002862945.1	90.7027	406	539
GCF_017696175.1__GCA_902572395.1	90.0856	335	554
GCA_017646225.1__GCA_904502115.1	93.941	251	322
GCA_902613175.1__GCA_902547755.1	92.6479	372	589
GCF_002022265.1__GCF_013522705.1	87.7233	1519	2114
GCF_000931465.1__GCF_000282515.1	83.657	1312	2328
GCF_000315485.1__GCA_905215555.1	87.2031	1107	2355
GCF_001579045.1__GCF_900104285.1	86.65	461	717
GCF_001075875.1__GCF_900095845.1	87.0111	429	625
GCF_001068775.1__GCA_000223255.2	87.8842	458	631
GCA_902576395.1__GCA_902516395.1	90.6874	215	339
GCF_002114285.1__GCF_900102375.1	89.2775	794	1119
GCF_014836445.1__GCF_001552375.1	84.7009	872	1373
GCA_902617975.1__GCA_902564385.1	94.235	240	334
GCA_009698445.1__GCF_002288185.1	81.6202	268	414
GCA_902590755.1__GCA_902583585.1	85.3884	124	214
GCF_001707885.1__GCF_000224515.1	94.1217	1173	1441
GCF_017877055.1__GCA_000985875.1	91.4508	1620	2113
GCF_000382205.1__GCA_017744695.1	82.9332	1640	2451
GCF_003545885.1__GCF_016918785.1	84.739	1221	1594
GCA_011523385.1__GCA_009840285.1	89.0531	573	815
GCF_003314435.2__GCA_017995345.1	83.9737	626	1237
GCF_017896165.1__GCF_016863035.1	84.0857	1645	2449
GCF_009725995.1__GCF_015330125.1	90.0732	1378	1708
GCA_902569245.1__GCA_902561765.1	85.1338	219	331
GCA_003553625.1__GCA_003552795.1	86.8737	547	879
GCF_001567585.1__GCF_900091615.1	86.561	1471	2307
GCF_010604095.1__GCA_003521145.1	88.6421	416	669
GCA_902598295.1__GCA_902586095.1	87.2199	241	389
GCF_002198095.1__GCF_014648115.1	90.9815	1106	1472
GCA_900553935.1__GCA_900548075.1	92.859	258	424
GCF_000403435.2__GCA_910584075.1	89.3437	668	1483
GCA_017961575.1__GCA_902779285.1	84.817	432	595
GCF_006716745.1__GCF_000716595.1	87.5055	2031	2974
GCF_006964045.1__GCF_000014925.1	88.3285	1211	1594
GCF_001468225.1__GCF_015475875.1	84.6182	859	1698
GCA_000824785.1__GCA_000824805.1	92.5805	1847	2357
GCA_004553595.1__GCA_016291275.1	92.9091	339	828
GCF_002742445.1__GCF_000800455.1	94.8352	599	683
GCF_000988205.1__GCA_019114925.1	89.0235	542	908
GCF_000379565.1__GCF_004768545.1	88.0314	1646	2437
GCF_004345265.1__GCF_002159185.1	91.3445	842	1205
GCA_009924965.1__GCA_003569205.1	82.6451	321	414
GCF_001404985.1__GCF_902804475.1	86.8346	1245	1777
GCA_902560685.1__GCA_902556825.1	87.4537	136	338
GCA_009699265.1__GCF_003633575.1	85.8069	992	1320
GCF_000746825.1__GCF_000195575.1	84.0864	619	913
GCA_902596975.1__GCA_902521075.1	93.7408	277	400
GCA_003130815.1__GCA_902561795.1	94.4571	478	608
GCF_016458305.1__GCF_018986915.1	89.0961	1343	1671
GCF_003432485.1__GCF_001552155.1	85.0833	1336	2556
GCF_018130945.1__GCF_016031635.1	85.3725	1689	2763
GCF_017753665.1__GCF_005886145.1	87.7833	487	855
GCF_015356855.1__GCA_017794945.1	94.8142	916	1141
GCF_003942795.1__GCA_000223255.2	83.2151	402	642
GCA_003278545.1__GCA_902573045.1	92.1502	203	538
GCA_002723255.1__GCA_002375765.1	87.6827	746	965
GCF_002705755.3__GCF_015040615.1	84.2244	704	1114
GCA_902629215.1__GCA_902627565.1	82.5123	210	331
GCF_901827175.1__GCF_001541225.1	92.9196	1757	2472
GCF_002836735.1__GCF_904846625.1	94.1645	929	1087
GCF_005490985.1__GCF_000772085.1	91.5525	1017	1177
GCA_005878485.1__GCA_005878995.1	92.6491	370	584
GCA_900543875.1__GCF_003966955.1	86.1448	400	515
GCF_016887965.1__GCF_011326735.1	84.0833	792	1352
GCF_001544795.2__GCF_017220215.1	85.298	1401	2713
GCA_900543515.1__GCA_900541715.1	94.8955	520	654
GCA_015494055.1__GCA_011330655.1	86.0895	401	584
GCF_001424425.1__GCF_000302535.1	85.8167	1246	1944
GCF_016863295.1__GCF_016862895.1	92.8799	2469	3013
GCF_001975985.1__GCF_001879205.1	82.9313	1170	1878
GCA_902600635.1__GCA_902592265.1	89.4387	146	214
GCA_003605035.1__GCA_018816555.1	84.8079	983	1345
GCF_011927845.1__GCF_003991565.1	87.4716	1018	1829
GCA_900552345.1__GCA_905215275.1	94.6039	314	401
GCA_015069205.1__GCA_902788505.1	86.322	588	880
GCA_017428725.1__GCA_905234475.1	84.1884	441	860
GCF_003732265.1__GCF_001439695.1	84.0437	1230	2072
GCA_900540295.1__GCA_002490525.1	83.4238	395	566
GCA_902622665.1__GCA_902580215.1	86.8695	218	319
GCF_000421965.1__GCF_000244875.1	93.3029	1233	1424
GCF_002096595.1__GCA_905221035.1	87.1594	446	646
GCF_019049255.1__GCF_014257025.1	85.11	1695	3036
GCF_000242615.2__GCA_017859955.1	85.6826	828	1374
GCA_003281415.1__GCA_902611225.1	92.1214	223	359
GCF_005405065.1__GCF_005405005.1	83.7525	605	947
GCF_003942965.1__GCF_001074635.1	93.1568	441	581
GCF_015350905.1__GCF_001806325.1	84.9878	923	1235
GCF_000730605.1__GCF_000412675.1	90.5957	1541	2038
GCF_002157505.1__GCF_015752045.1	84.3094	777	1278
GCA_900542185.1__GCA_905198125.1	92.7313	762	1139
GCF_003347605.1__GCF_016775705.1	90.8471	1373	1601
GCF_003470205.1__GCF_014837175.1	84.3482	809	1113
GCF_006716975.1__GCF_000226955.1	88.2898	985	1580
GCF_001043895.1__GCF_016613415.1	93.0065	1550	2072
GCF_000374905.1__GCF_000189535.1	83.1159	945	1436
GCF_003943515.1__GCF_000212855.1	85.0985	394	651
