pairid	dnadiff_blocks	dnadiff_inverted_blocks	dnadiff_aligned_bp	dnadiff_inverted_bp	dnadiff_inverted_fraction
GCA_002339515.1__GCA_003446835.1	990	527	4670105	2435999	0.5216154668899308
GCA_002294605.1__GCA_002377215.1	251	132	4757045	2361754	0.4964750175791904
GCA_002295765.1__GCF_900457115.1	284	123	4933164	2136547	0.433098717172184
GCA_002322835.1__GCA_002331685.1	142	89	3412123	2259357	0.6621557898117976
GCA_002362895.1__GCA_002363375.1	160	69	3362922	1205790	0.3585542572798298
GCA_002331405.1__GCF_009996725.1	237	131	3396536	1609407	0.4738377570560124
GCA_001724385.1__GCA_017306495.1	576	289	2839815	1413698	0.4978134139019619
GCA_001724385.1__GCF_001278365.1	299	146	2437091	1334271	0.5474850959607171
GCA_017306495.1__GCF_001278365.1	669	347	2438852	1271936	0.5215306217843477
GCF_016814455.1__GCF_016814565.1	21	3	4200906	100983	0.0240383860053045
GCF_016814315.1__GCF_016814555.1	21	4	4202181	420588	0.1000880257180735
GCF_016814495.1__GCF_016814565.1	21	1	4201435	2311	0.0005500501614329
GCA_018368295.1__GCF_003477825.1	304	179	1954770	1039921	0.5319914874895768
GCA_905209245.1__GCF_003471485.1	193	102	2084920	1196331	0.5738018724939087
GCF_003471485.1__GCF_015670895.1	313	181	2046752	1250226	0.6108341411172433
GCA_008667915.1__GCA_905197155.1	450	245	1494881	871957	0.5832952589537227
GCA_008668315.1__GCA_900756565.1	293	159	1768376	1054881	0.5965252864775364
GCA_008667915.1__GCA_008668315.1	137	65	1884128	863191	0.45813819443265
GCF_003208415.1__GCF_005281435.1	198	70	4589981	1326641	0.2890297367244004
GCF_013385945.1__GCF_014852515.1	454	201	4440688	1852466	0.4171574314610708
GCF_003208415.1__GCF_017848355.1	263	118	4625674	2280874	0.4930900880606804
GCA_900764255.1__GCA_905212875.1	105	47	2042314	841539	0.412051721723496
GCA_001724095.1__GCA_017307975.1	170	87	6362734	3170325	0.4982645824892255
GCA_903831755.1__GCA_903919265.1	412	204	6984574	3302574	0.4728382862004182
GCA_903821195.1__GCA_903919265.1	380	169	6987244	3215761	0.4602331047835169
GCA_903899075.1__GCA_903919265.1	393	200	6912543	3578000	0.5176098000403035
GCA_002693265.1__GCA_002710305.1	272	148	2501260	1498669	0.5991656205272543
GCA_900103895.1__GCA_900105365.1	655	124	8443914	313362	0.0371109890508122
GCA_903838455.1__GCA_903868265.1	240	114	1981911	861609	0.4347364740394498
GCA_903838455.1__GCA_903852975.1	233	125	2040428	1055387	0.5172380500561646
GCA_903852975.1__GCA_903868265.1	250	135	1966411	1118980	0.5690468574474004
GCA_018656145.1__GCA_018698755.1	208	103	2377866	1161497	0.4884619234220936
GCA_000436595.1__GCA_900551685.1	462	237	2205355	1057321	0.4794334698948695
GCA_900551685.1__GCA_905212685.1	317	163	2323216	1342539	0.577879542840614
GCA_900553745.1__GCA_905212685.1	375	196	1918913	959134	0.499831936101324
GCA_001772855.1__GCA_003485585.1	121	69	558160	296607	0.5314013902823563
GCA_002328705.1__GCA_002403185.1	143	82	857633	522749	0.6095252864570276
GCA_002328705.1__GCA_017999775.1	118	56	874155	401669	0.459494025659065
GCA_002403185.1__GCA_017999775.1	203	112	1064664	631092	0.5927616600166813
GCF_001524825.1__GCF_001532915.1	355	168	6691468	3090239	0.4618177954374137
GCF_001527555.1__GCF_002223285.1	180	101	7155282	4350149	0.6079633199641887
GCF_001524825.1__GCF_002925705.1	232	76	7246886	2180391	0.3008728162689464
GCF_001466915.1__GCF_013392005.1	650	328	6174383	3438732	0.5569353245498376
GCF_001466915.1__GCF_900624915.1	632	283	5896441	2619800	0.4443019102539989
GCF_002091515.1__GCF_003700185.1	957	471	5855632	2755673	0.4706021484956705
GCF_002151265.1__GCF_900108215.1	406	198	4108923	1834093	0.4463683062447264
GCA_018063715.1__GCF_003478795.1	276	127	1161182	560600	0.4827839219002706
GCF_003480955.1__GCF_003481065.1	297	95	2555546	772689	0.3023576957722537
GCA_018054245.1__GCA_902387235.1	372	177	1707801	839725	0.4916995598433307
GCF_003203815.1__GCF_009362875.1	511	274	1501809	822497	0.5476708422975225
GCF_015698085.1__GCF_018967085.1	490	229	1432898	732976	0.5115339682238372
GCF_000015385.1__GCF_003203895.1	363	178	1675667	846695	0.5052883418960927
GCA_018896145.1__GCA_018900785.1	136	63	2957855	1591366	0.5380135266941753
GCA_018895735.1__GCA_018897705.1	81	34	2880751	1100177	0.3819063154017824
GCA_018896145.1__GCA_018896555.1	133	58	2930084	1500805	0.5122054521303826
GCA_004553245.1__GCA_900752965.1	491	290	1631187	917594	0.5625314571535943
GCA_004553245.1__GCA_905211025.1	484	232	1772388	785025	0.4429193833404424
GCA_900752965.1__GCA_905211025.1	165	81	2404612	1178036	0.4899068955823226
GCA_007859155.1__GCF_001618265.1	214	120	1986086	1091274	0.5494595903702055
GCF_000394035.1__GCF_001886115.1	108	50	3911527	1755607	0.4488290634322606
GCA_002282115.1__GCA_018819845.1	373	240	2746320	1792641	0.6527429432841039
GCA_016783025.1__GCA_016785045.1	149	78	1048276	437049	0.4169216885629357
GCA_002450435.1__GCA_002500965.1	307	109	1030128	343130	0.333094528058649
GCA_001508735.1__GCF_000175295.2	279	162	1813972	1085571	0.5984497004363905
GCA_900768985.1__GCA_905212115.1	110	54	1303087	511935	0.3928632547174517
GCA_001788055.1__GCA_001789895.1	189	68	928396	296259	0.3191084407946609
GCA_001788055.1__GCA_001789405.1	120	33	1017864	238754	0.2345637531143649
GCA_001787885.1__GCA_001789895.1	153	49	915318	327596	0.3579040289822772
GCA_903898075.1__GCA_903914015.1	368	162	1821234	791284	0.4344768437224431
GCF_014696495.1__GCF_014696555.1	2641	1427	6984911	3861007	0.5527639507504104
GCF_014696495.1__GCF_014696565.1	137	24	9428331	1997630	0.2118752513037567
GCF_014696555.1__GCF_014696565.1	2647	1292	6992775	3379083	0.483224899986057
GCF_004800995.1__GCF_004801005.1	38	8	1882200	603676	0.3207289342259058
GCF_000183825.1__GCF_009933595.1	105	26	1748070	269623	0.1542403908310308
GCA_018678535.1__GCA_018679365.1	414	217	3169242	1497473	0.4725019421047682
GCA_013041895.1__GCA_018679365.1	279	134	3018148	1304469	0.4322084271546657
GCA_018678765.1__GCA_018679365.1	293	138	3325111	1589723	0.4780962199457401
GCA_017518495.1__GCA_902803045.1	606	282	1918861	920103	0.4795047687143571
GCA_017392285.1__GCA_017413565.1	559	292	2044399	1022280	0.5000393758752573
GCA_017413565.1__GCA_017518495.1	590	324	2138456	1115301	0.5215449838575121
GCA_014872635.1__GCA_018370735.1	310	147	1787103	863939	0.4834298862460641
GCA_014872635.1__GCA_905212425.1	262	140	1811427	969291	0.5350980194067991
GCA_018370735.1__GCA_905212425.1	199	108	1896276	1058195	0.5580384922869878
GCA_003516265.1__GCA_013373735.1	965	455	3200581	1599050	0.4996124141210611
GCA_013373705.1__GCF_018972145.1	77	28	4077187	1501712	0.3683206092828217
GCA_003516265.1__GCA_013373705.1	900	443	3238117	1654455	0.5109311985947389
GCA_012964395.1__GCA_015663735.1	307	151	1452214	631512	0.4348615286727714
GCA_012964395.1__GCA_015664595.1	251	122	1562584	780617	0.4995680232230715
GCA_015663735.1__GCA_015664595.1	214	110	1412301	710653	0.5031880597691285
GCF_001974575.1__GCF_002875905.1	314	148	5526426	2810769	0.5086051998163008
GCF_002875885.1__GCF_002875905.1	235	115	5563128	2717033	0.488400230949207
GCF_002875555.1__GCF_002876915.1	308	156	5832953	3007642	0.5156293904648297
GCA_903950175.1__GCA_903953075.1	951	488	3270869	1640057	0.5014132329971026
GCA_903950175.1__GCA_903951805.1	836	426	3335760	1682263	0.5043117610379644
GCA_903949315.1__GCA_903951805.1	437	227	4293284	2118004	0.4933295817374299
GCF_016837165.1__GCF_016837225.1	200	81	3204263	1342612	0.4190080527097807
GCF_016837205.1__GCF_016837235.1	204	100	3227054	1482906	0.4595231440192819
GCF_016837225.1__GCF_016837255.1	174	67	3102461	773611	0.2493539805979833
GCA_018652825.1__GCA_018674535.1	222	104	1094157	538394	0.4920628392451905
GCA_018646725.1__GCA_018659035.1	263	127	927672	448354	0.4833109116153123
GCA_018652825.1__GCA_018666015.1	277	110	976458	378288	0.3874083677946209
GCA_900538285.1__GCA_905202535.1	29	0	2447998	0	0.0
GCF_009862415.1__GCF_900090075.1	55	0	8644859	0	0.0
GCF_000010605.1__GCF_009862415.1	244	118	7969431	4250044	0.5332932802856314
GCF_000010605.1__GCF_000717795.1	383	175	7722158	3199653	0.4143469998930351
GCA_017412285.1__GCA_017964845.1	546	294	2084263	1124734	0.539631514832821
GCA_017412285.1__GCA_017535565.1	417	211	2170315	1048516	0.4831169668919028
GCA_017563205.1__GCA_017964845.1	405	196	1856533	834910	0.4497146024336761
GCA_016756895.1__GCA_016756955.1	455	240	3841844	1741069	0.4531857618372844
GCA_903871835.1__GCA_903873465.1	446	142	3457984	1092484	0.3159309007791823
GCA_001782635.1__GCA_001783815.1	41	19	991028	367848	0.3711782109082689
GCA_001782345.1__GCA_001782715.1	29	11	1005474	438349	0.4359625410502907
GCA_001783815.1__GCA_001784035.1	25	5	1044974	77732	0.0743865397607978
GCA_018820225.1__GCA_018820785.1	429	132	2239732	632566	0.282429326365833
GCF_001044155.1__GCF_900447205.1	37	17	2572064	1158858	0.4505556626895753
GCA_002304695.1__GCA_002425115.1	168	93	779971	454783	0.5830768067017876
GCA_002425115.1__GCA_002433925.1	55	24	870140	341116	0.3920242719562369
GCA_002344735.1__GCA_002433925.1	60	33	809261	423989	0.5239212071260075
GCA_002337535.1__GCA_002379435.1	816	385	3569887	1813666	0.5080457728774048
GCA_002337535.1__GCA_002384965.1	501	264	3497115	1696597	0.4851418955338901
GCA_002379435.1__GCA_002384965.1	503	247	3611877	1655695	0.4584029301108537
GCF_000526615.1__GCF_003722135.1	169	82	3729347	2470887	0.6625521840686854
GCF_003633525.1__GCF_900115335.1	185	86	3721266	1945614	0.5228365830338385
GCF_013414285.1__GCF_900115335.1	175	87	3872237	1837240	0.4744647602923065
GCA_003701925.1__GCF_002939285.1	641	334	5347365	2835534	0.5302675242853255
GCA_002905835.1__GCF_000452525.3	289	117	5539248	2444406	0.4412884203776397
GCF_001400655.1__GCF_003412715.1	904	466	5401394	2774446	0.5136536975454855
GCF_002269425.1__GCF_013387095.1	620	280	6013346	2686276	0.4467190146716986
GCF_013386305.1__GCF_013387025.1	294	157	6408345	3478714	0.5428412484034489
GCF_013386305.1__GCF_013387095.1	258	137	6670078	3721702	0.5579697868600637
GCF_002739945.1__GCF_013184205.1	544	279	3908122	1877259	0.4803481058165533
GCF_003244795.1__GCF_017581785.1	485	212	3897181	1717743	0.4407655174342685
GCF_000346445.1__GCF_014581725.1	330	138	4125646	1870530	0.4533908144324549
GCA_002378165.1__GCA_002453105.1	595	332	2810531	1453163	0.5170421532443513
GCA_003447935.1__GCA_017643205.1	826	417	2925943	1467632	0.5015928198191147
GCA_002700265.1__GCA_017643205.1	124	30	3431415	745559	0.2172745062896793
GCA_003577345.1__GCA_013360835.1	667	388	3177082	1788258	0.5628617706436283
GCA_003577345.1__GCA_019187555.1	817	415	3275850	1648177	0.5031295694247294
GCA_013360835.1__GCA_019187555.1	722	395	3140243	1749791	0.5572151581899872
GCA_001822295.1__GCA_001822375.1	65	19	651586	231800	0.3557473610544118
GCA_001822295.1__GCA_001822455.1	103	52	623648	330514	0.5299688285699625
GCA_001822375.1__GCA_001822455.1	105	39	666990	242699	0.3638720220692963
GCA_900757365.1__GCA_905205845.1	285	138	1857224	854806	0.4602600440226919
GCA_000340945.1__GCA_001552695.1	1637	771	5658888	2693601	0.475994753739604
GCA_000340945.1__GCF_008638355.1	1606	824	5709566	3023806	0.5296034759909948
GCA_001552695.1__GCF_008638355.1	1167	603	5850620	2929704	0.5007510315146088
GCA_003140725.1__GCA_003153175.1	1284	634	6374158	3295018	0.5169338444387478
GCA_002170155.1__GCA_902538015.1	47	20	774416	344258	0.4445388525030475
GCA_002170155.1__GCA_902615335.1	40	21	857331	486741	0.5677398810960994
GCA_902538015.1__GCA_902615335.1	74	36	839768	432918	0.5155209534061789
GCF_014269235.1__GCF_900177505.1	522	274	5465241	2806811	0.5135749731805057
GCF_014269205.2__GCF_014269235.1	93	39	6097306	1749402	0.2869139255927125
GCF_002736045.1__GCF_014269205.2	498	48	5423258	419706	0.0773900116867019
GCA_903831435.1__GCA_903929145.1	341	49	2575282	367067	0.1425346816387487
GCF_003346865.1__GCF_004745775.1	63	37	3131836	1756079	0.5607186966367332
GCF_003206515.1__GCF_009687825.1	208	165	3575708	3095442	0.8656864598563417
GCF_003206515.1__GCF_014647995.1	96	50	3848265	2249296	0.5844961300742023
GCF_009687825.1__GCF_014647995.1	252	92	3790783	1203156	0.3173898374029851
GCA_900761585.1__GCA_905187465.1	139	76	1064961	652549	0.6127445042588414
GCF_014142545.1__GCF_014142725.1	45	27	5556045	3602976	0.6484785490398296
GCA_000485415.1__GCF_018603815.1	148	65	4697859	2197269	0.4677171026205767
GCF_001715725.1__GCF_001715775.1	219	92	2350160	930983	0.3961360077611737
GCF_001715715.1__GCF_900332065.1	209	102	2330267	1163319	0.4992213338643168
GCF_001715655.1__GCF_900332075.1	194	78	2336069	1054679	0.4514759623966586
GCA_016707325.1__GCA_016715315.1	91	70	4182520	3531991	0.8444648202519055
GCA_016706525.1__GCA_016712915.1	159	95	4495218	2774777	0.6172730666232428
GCA_016707325.1__GCA_018063585.1	307	131	3725787	1604633	0.430682967115404
GCA_017519255.1__GCA_017545145.1	87	47	1769617	1083616	0.6123449311348161
GCA_002453805.1__GCA_002453945.1	218	92	3910603	1693276	0.4329961389586209
GCA_002377845.1__GCF_004794385.1	326	202	3358781	2133008	0.6350542056775955
GCA_002453805.1__GCF_002356155.1	183	106	3442074	1771109	0.5145470434395077
GCA_903863915.1__GCA_903915755.1	90	34	942669	309922	0.3287707562251437
GCF_000377165.1__GCF_000701285.1	648	393	7822704	4471429	0.5715963431570464
GCF_000514995.1__GCF_004217635.1	848	498	7357254	4789160	0.6509439527301898
GCF_000377125.1__GCF_000701285.1	658	285	7808643	3283240	0.4204623005559352
GCA_002380835.1__GCF_001534765.1	757	414	2225039	1137379	0.5111726131541964
GCA_002380835.1__GCF_003660425.1	794	444	2229605	1122458	0.5034335678292792
GCF_001534765.1__GCF_003660425.1	140	47	2751098	790423	0.2873118296767327
GCA_018650665.1__GCA_018652185.1	13	2	926836	207306	0.2236706386027301
GCF_005233685.1__GCF_900005935.1	129	53	5649020	2170523	0.3842300080367922
GCF_000308175.1__GCF_900005935.1	227	112	5541037	2331991	0.4208582256353819
GCA_904373315.1__GCA_905207275.1	180	104	1333293	815367	0.6115437491984133
GCA_904373315.1__GCA_905214395.1	181	110	1381907	791222	0.5725580664979626
GCA_905207275.1__GCA_905214395.1	184	97	1344105	700262	0.5209875716554883
GCF_000819905.1__GCF_014634945.1	160	100	2175027	1538927	0.7075438603750666
GCF_000819905.1__GCF_002265785.1	167	101	2189728	1238523	0.5656058652033494
GCF_000819905.1__GCF_013359465.2	179	66	2152874	838256	0.3893660288525942
GCF_001619755.1__GCF_001663585.1	323	159	4967118	2557774	0.514941259700293
GCF_001663585.1__GCF_007858415.1	393	279	4761577	3700864	0.7772349370807192
GCA_010692785.1__GCF_001663585.1	304	138	4982028	2334734	0.4686312481583805
GCA_005777985.1__GCA_018969345.1	425	223	1715626	892086	0.5199769646764505
GCA_016463945.1__GCF_002007905.1	37	27	1135203	949988	0.8368441591503898
GCF_000830905.1__GCF_002007905.1	35	1	1169051	316	0.000270304717245
GCA_001678055.1__GCF_001459095.1	49	13	1194505	214922	0.1799255758661537
GCA_001889985.1__GCA_002204695.1	64	41	841501	538973	0.6404900291265251
GCA_002503145.1__GCA_002503225.1	86	48	825966	461312	0.5585120937181434
GCA_001889985.1__GCA_001896515.1	64	35	848086	334699	0.3946521932917181
GCA_015260165.1__GCF_009728485.1	251	118	1964379	1030639	0.524664028682856
GCA_015260225.1__GCA_015260255.1	447	212	1716869	780511	0.4546130193975196
GCA_015260075.1__GCA_015260255.1	306	171	2013863	1166800	0.5793839998053493
GCA_902803615.1__GCF_900108495.1	203	104	1668980	853220	0.5112224232764923
