pairid	band	dnadiff_blocks	dnadiff_inverted_blocks	dnadiff_aligned_bp	dnadiff_inverted_bp	dnadiff_inverted_fraction
GCA_000319535.1__GCA_000319555.1	95-97	1243	177	4084114	342535	0.0838700878574888
GCA_000340945.1__GCF_008638355.1	95-97	1606	824	5709566	3023806	0.5296034759909948
GCA_000484895.1__GCA_000484935.1	95-97	104	65	429470	268245	0.6245954315784572
GCA_001312785.1__GCF_001286765.1	95-97	328	139	3687668	1569779	0.42568338581455817
GCA_001914055.1__GCF_001810345.1	95-97	125	96	1780770	1438606	0.8078561521139732
GCA_001914055.1__GCF_014931375.1	95-97	117	54	1772442	817051	0.4609747455770062
GCA_001916175.1__GCA_003150745.1	95-97	320	154	1170837	576585	0.492455397292706
GCA_002169705.1__GCA_902510115.1	95-97	93	57	564396	382497	0.6777103310441605
GCA_002170515.2__GCA_002722675.1	95-97	235	130	1745462	969849	0.5556402832029571
GCA_002279115.1__GCF_004361875.1	95-97	366	189	1835911	979525	0.5335362117226815
GCA_002279345.1__GCF_000701585.1	95-97	496	216	3249181	1281638	0.3944495551340476
GCA_002320115.1__GCA_014871775.1	95-97	562	295	1562008	794801	0.5088328612913634
GCA_002333025.1__GCA_002477715.1	95-97	779	403	3460649	1784157	0.515555608211061
GCA_002335285.1__GCA_002786815.1	95-97	801	429	2602660	1415830	0.5439934528520821
GCA_002352305.1__GCA_002393005.1	95-97	674	317	1511603	711151	0.4704614902193235
GCA_002376145.1__GCA_002477085.1	95-97	206	96	2079216	1016458	0.48886599564451216
GCA_002392085.1__GCA_012840325.1	95-97	593	290	2312135	1064992	0.46060978273327463
GCA_002396445.1__GCA_002477705.1	95-97	646	359	3426321	1903831	0.5556487556186358
GCA_002419425.1__GCA_004138125.1	95-97	258	112	2126376	1113262	0.5235489866326557
GCA_002422665.1__GCA_019104985.1	95-97	606	300	1470877	767874	0.5220518099066067
GCA_002483985.1__GCA_018372705.1	95-97	587	288	2394748	1145078	0.4781622116398051
GCA_002490885.1__GCA_900540065.1	95-97	248	102	2148015	1061735	0.4942865855219819
GCA_002496085.1__GCA_002507035.1	95-97	817	383	1670309	809605	0.4847037284717977
GCA_002684675.1__GCA_002690525.1	95-97	188	107	1836782	1119170	0.6093101957662913
GCA_002689755.1__GCA_011522785.1	95-97	346	180	1883573	1001338	0.5316162421100749
GCA_002704555.1__GCA_003212435.1	95-97	113	53	806743	312375	0.3872050950550547
GCA_002706995.1__GCF_014334315.1	95-97	178	75	3483853	1176619	0.33773497331833463
GCA_002710335.1__GCA_003509725.1	95-97	253	129	1202436	596865	0.4963798489067194
GCA_002710405.1__GCA_902635265.1	95-97	25	11	347656	181586	0.5223151621142739
GCA_002998695.1__GCA_900176625.1	95-97	189	44	1412945	245548	0.173784542215019
GCA_003216875.1__GCF_000015685.1	95-97	85	35	1078193	504980	0.4683577059023756
GCA_003218855.1__GCA_003219305.1	95-97	670	339	1566850	749340	0.4782461626830903
GCA_003219305.1__GCA_003219835.1	95-97	743	381	1824167	939193	0.5148613038170299
GCA_003241705.1__GCA_009996505.1	95-97	918	476	3034107	1481214	0.48818779298159226
GCA_003241705.1__GCF_018403535.1	95-97	906	462	3148615	1616187	0.513300927550685
GCA_003281865.1__GCA_902559135.1	95-97	103	54	1112862	485361	0.43613763431584507
GCA_003316735.1__GCF_000585195.1	95-97	150	82	1901339	854732	0.44954213846136853
GCA_003316735.1__GCF_000648635.1	95-97	163	67	1923656	617641	0.32107663740294523
GCA_003445605.1__GCA_012521055.1	95-97	409	213	996671	537458	0.5392531738156322
GCA_003445875.1__GCF_000803025.1	95-97	359	166	999256	448251	0.44858474705180656
GCA_003446955.1__GCA_017528775.1	95-97	1	0	435	0	0.0
