rank	pairid	q_acc	r_acc	anim_ani	ani	synteny_score	breakpoint_count	af_query	af_reference
1	GCF_009862035.1__GCF_009862625.1	GCF_009862035.1	GCF_009862625.1	99.99	99.9995	0.9635	460	0.906	0.9083
2	GCF_000965005.1__GCF_000965045.1	GCF_000965005.1	GCF_000965045.1	99.62	99.6646	0.9727	26	0.9312	0.9084
3	GCF_900452715.1__GCF_900640165.1	GCF_900452715.1	GCF_900640165.1	99.97	99.9768	0.9761	84	0.9311	0.9488
4	GCF_013294265.1__GCF_014230485.1	GCF_013294265.1	GCF_014230485.1	99.74	99.8294	0.9763	65	0.9108	0.9382
5	GCF_002906725.1__GCF_016106685.1	GCF_002906725.1	GCF_016106685.1	99.99	99.9995	0.9769	152	0.9214	0.9226
6	GCF_003111765.1__GCF_003287795.1	GCF_003111765.1	GCF_003287795.1	99.07	99.2192	0.9778	123	0.9082	0.9198
7	GCF_003516165.1__GCF_003958395.1	GCF_003516165.1	GCF_003958395.1	99.94	99.986	0.9779	210	0.9534	0.9553
8	GCA_002323055.1__GCA_002792255.1	GCA_002323055.1	GCA_002792255.1	99.98	99.99	0.9799	13	0.9091	0.9008
9	GCF_000018245.1__GCF_002078315.1	GCF_000018245.1	GCF_002078315.1	99.56	99.6659	0.9824	17	0.9637	0.928
10	GCF_001534765.1__GCF_003660425.1	GCF_001534765.1	GCF_003660425.1	99.03	99.0422	0.9826	38	0.907	0.9227
11	GCF_002128025.1__GCF_009810255.1	GCF_002128025.1	GCF_009810255.1	99.78	99.8299	0.9828	16	0.9411	0.9352
12	GCA_903843165.1__GCA_903889485.1	GCA_903843165.1	GCA_903889485.1	99.99	99.9982	0.985	78	0.9319	0.9257
13	GCA_903835775.1__GCA_903889485.1	GCA_903835775.1	GCA_903889485.1	99.98	99.9963	0.9852	77	0.9319	0.928
14	GCF_003287775.1__GCF_003287795.1	GCF_003287775.1	GCF_003287795.1	99.08	99.3062	0.9855	79	0.902	0.9074
15	GCA_002295565.1__GCA_002480705.1	GCA_002295565.1	GCA_002480705.1	100.0	99.9991	0.9858	53	0.9128	0.94
16	GCF_001555555.1__GCF_002888235.1	GCF_001555555.1	GCF_002888235.1	99.81	99.9172	0.9864	236	0.9082	0.9468
17	GCF_000278175.1__GCF_002022705.1	GCF_000278175.1	GCF_002022705.1	99.81	99.9457	0.9872	26	0.9254	0.9211
18	GCA_003156515.1__GCA_003169085.1	GCA_003156515.1	GCA_003169085.1	99.73	99.9473	0.9875	53	0.9474	0.9218
19	GCF_001702115.1__GCF_002907065.1	GCF_001702115.1	GCF_002907065.1	99.94	99.9966	0.988	12	0.9531	0.936
20	GCA_018380915.1__GCA_905371925.1	GCA_018380915.1	GCA_905371925.1	99.97	99.9817	0.9881	80	0.9247	0.9174
