pairid	dnadiff_inverted_fraction	syn2b_inverted_fraction	syn2b_raw_inverted_fraction	syn2b_shared_tags	syn2b_observable_fraction	syn2b_breakpoints	se_pred_min	se_pred_raw	se_pred	resid	z	m_bin	band
GCF_006715835.1__GCF_013408335.1	0.0841832369449683	0.08774	0.08774	1003	1.0	28.0	0.023243765561053748	0.023243765561053748	0.023243765561053748	0.003556763055031692	0.15302008814747517	(853.0, 1373.0]	85-90
GCA_902544135.1__GCA_902541315.1	0.5877204150896321	0.37143	0.62857	105	0.9157	0.0	0.06135492076127927	0.06135492076127927	0.06135492076127927	0.04084958491036783	0.6657915030043974	(63.0, 114.0]	90-95
GCA_900548775.1__GCA_902773995.1	0.5016937322921705	0.48171	0.51829	820	0.9218	3.0	0.029633984194024725	0.029633984194024725	0.029633984194024725	0.016596267707829515	0.5600417277395969	(580.0, 853.0]	90-95
GCF_000220565.1__GCA_018222585.1	0.5147304183765592	0.4578	0.5422	1090	0.7716	11.0	0.02761787276384624	0.02761787276384624	0.02761787276384624	0.02746958162344082	0.9946306096174233	(853.0, 1373.0]	90-95
GCA_004211905.1__GCA_002685195.1	0.4037283585886038	0.42071	0.42071	309	0.9457	0.0	0.04008089498939375	0.04008089498939375	0.04008089498939375	0.016981641411396187	0.42368418708938227	(229.0, 314.0]	90-95
GCF_008011665.1__GCF_008245025.1	0.6612163706537727	0.29412	0.70588	34	0.5455	0.0	0.09800046399986194	0.09800046399986194	0.09800046399986194	0.04466362934622725	0.4557491620273367	(1.999, 63.0]	80-85
GCF_002741105.1__GCF_900115695.1	0.3045570945009098	0.30898	0.30898	1314	0.9954	11.0	0.025780504014542377	0.025780504014542377	0.025780504014542377	0.004422905499090191	0.17156008651325433	(853.0, 1373.0]	90-95
GCF_003425685.1__GCF_017877055.1	0.449510309640003	0.44886	0.44886	352	0.9477	44.0	0.03843510577915124	0.03843510577915124	0.03843510577915124	-0.0006503096400030106	-0.016919678684890336	(314.0, 431.0]	80-85
GCF_003054165.1__GCA_019192965.1	0.4942203011776671	0.49677	0.49677	310	0.9184	15.0	0.04041166427424381	0.04041166427424381	0.04041166427424381	0.002549698822332913	0.0630931407583219	(229.0, 314.0]	80-85
GCF_002243645.1__GCF_001645685.2	0.9907307510545568	0.00752	0.99248	133	1.0	6.0	0.022464387555832604	0.022464387555832594	0.022464387555832594	0.0017492489454432603	0.07786764455944804	(114.0, 166.0]	80-85
GCA_004293365.1__GCA_013299165.1	0.5132378092700235	0.4915	0.5085	647	0.7891	74.0	0.03164215210441718	0.03164215210441718	0.03164215210441718	-0.004737809270023541	-0.14973094290138855	(580.0, 853.0]	85-90
GCF_000425985.1__GCF_000455825.1	0.5668526513194723	0.45583	0.54417	566	0.9767	2.0	0.03285386888744609	0.03285386888744609	0.03285386888744609	-0.022682651319472225	-0.6904103561495485	(431.0, 580.0]	85-90
GCF_003031675.1__GCF_001647715.1	0.4984466066470958	0.42012	0.42012	676	0.9007	15.0	0.031020423105092152	0.031020423105092152	0.031020423105092152	-0.07832660664709579	-2.525001234887673	(580.0, 853.0]	85-90
GCF_002549775.1__GCA_003449675.1	0.4698178706689369	0.44509	0.44509	173	0.9898	25.0	0.050669992454724616	0.050669992454724616	0.050669992454724616	-0.02472787066893689	-0.4880180452174351	(166.0, 229.0]	85-90
GCA_003209755.1__GCA_003280445.1	0.3305649864907683	0.3578	0.3578	109	0.8462	0.0	0.05992312404124459	0.05992312404124459	0.05992312404124459	0.027235013509231687	0.4544992262166781	(63.0, 114.0]	90-95
GCA_902625035.1__GCA_902624635.1	0.6390753277728896	0.27419	0.72581	62	0.7925	0.0	0.07244200185438672	0.07244200185438672	0.07244200185438672	0.0867346722271104	1.1972981144482024	(1.999, 63.0]	90-95
GCA_011523395.1__GCA_011523635.1	0.5213327552029604	0.46569	0.53431	408	0.6637	6.0	0.03657156317687282	0.03657156317687282	0.03657156317687282	0.012977244797039544	0.3548452313694404	(314.0, 431.0]	90-95
GCF_001672755.1__GCF_001667925.1	0.5073713917321677	0.4496	0.5504	625	0.8523	6.0	0.031870634743851586	0.031870634743851586	0.031870634743851586	0.04302860826783228	1.3501020175361667	(580.0, 853.0]	85-90
GCF_900119365.1__GCF_014649535.1	0.6111746602166616	0.35963	0.64037	3245	0.9906	55.0	0.02295622436718254	0.02295622436718254	0.02295622436718254	0.029195339783338436	1.2717831694080814	(1373.0, 7401.0]	90-95
GCF_001424165.1__GCA_003520365.1	0.5361474983259008	0.4359	0.5641	390	0.9883	6.0	0.03699334138837587	0.03699334138837587	0.03699334138837587	0.02795250167409924	0.7556089994855814	(314.0, 431.0]	85-90
GCF_001885215.1__GCA_013203655.1	0.4186644623116413	0.40722	0.40722	582	1.0	0.0	0.03231180975484025	0.03231180975484025	0.03231180975484025	-0.011444462311641257	-0.3541882178210986	(580.0, 853.0]	90-95
GCA_900547475.1__GCF_004353185.1	0.5693893480913241	0.39496	0.60504	357	0.8771	3.0	0.03777550575063114	0.03777550575063114	0.03777550575063114	0.03565065190867589	0.943750485937048	(314.0, 431.0]	90-95
GCF_000938265.1__GCF_900177685.1	0.5683714581361045	0.4631	0.5369	393	0.9766	8.0	0.03703757766358041	0.037037577663580415	0.037037577663580415	-0.03147145813610441	-0.8497169664270661	(314.0, 431.0]	85-90
GCF_000402035.1__GCA_001189345.1	0.4367910730500342	0.46	0.46	550	0.998	85.0	0.03315887650251575	0.03315887650251575	0.03315887650251575	0.023208926949965847	0.6999310410352714	(431.0, 580.0]	85-90
GCA_017961175.1__GCA_017962375.1	0.6269944940193659	0.40833	0.59167	120	0.5619	0.0	0.05872189420582412	0.05872189420582412	0.05872189420582412	-0.03532449401936588	-0.6015557654790766	(114.0, 166.0]	80-85
GCF_000377565.1__GCF_017741815.1	0.4974315423631134	0.48589	0.51411	2906	0.9934	65.0	0.023442150799265978	0.023442150799265978	0.023442150799265978	0.01667845763688658	0.7114730119989168	(1373.0, 7401.0]	90-95
GCA_001604135.1__GCA_016292145.1	0.5507616021582968	0.45012	0.54988	431	0.9752	0.0	0.035832355737960994	0.035832355737960994	0.035832355737960994	-0.0008816021582968014	-0.024603522155894075	(314.0, 431.0]	85-90
GCA_900553135.1__GCA_905205085.1	0.476937197535953	0.45794	0.45794	107	0.2683	1.0	0.06252521797228894	0.06252521797228894	0.06252521797228894	-0.01899719753595297	-0.30383256791479707	(63.0, 114.0]	85-90
GCF_900112625.1__GCF_000364445.2	0.5053657881275802	0.49886	0.49886	878	0.9681	125.0	0.029128916688976755	0.029128916688976755	0.029128916688976755	-0.0065057881275801255	-0.22334466458349644	(853.0, 1373.0]	85-90
GCA_902576125.1__GCA_902512325.1	0.4637266000949886	0.26316	0.26316	19	0.8889	0.0	0.12557669052428314	0.12557669052428314	0.12557669052428314	-0.2005666000949886	-1.5971642448739678	(1.999, 63.0]	80-85
GCA_902576905.1__GCA_902537235.1	0.472550883515646	0.45833	0.54167	144	0.9052	0.0	0.05489285466899231	0.05489285466899232	0.05489285466899232	0.06911911648435398	1.2591641826818263	(114.0, 166.0]	85-90
GCA_902536925.1__GCA_902518165.1	0.4215997409326424	0.38938	0.38938	113	0.8776	0.0	0.05987332692158009	0.05987332692158009	0.05987332692158009	-0.032219740932642404	-0.5381317957300528	(63.0, 114.0]	90-95
GCF_001426905.1__GCA_017745235.1	0.3809242209497014	0.37539	0.37539	317	0.9631	58.0	0.039149703023381	0.039149703023381	0.039149703023381	-0.005534220949701407	-0.14136048353665054	(314.0, 431.0]	85-90
GCA_000383735.1__GCA_002323895.1	0.4401013716992496	0.44167	0.44167	360	0.9004	9.0	0.03808516797529803	0.03808516797529803	0.03808516797529803	0.0015686283007503854	0.04118738039353784	(314.0, 431.0]	90-95
GCF_000691165.1__GCF_000691145.1	0.3966280883542939	0.46757	0.46757	370	0.9738	2.0	0.03784430178930508	0.03784430178930508	0.03784430178930508	0.07094191164570607	1.8745731402489363	(314.0, 431.0]	85-90
