pairid	q_acc	r_acc	status	syn2b_breakpoints	syn2b_scj_distance	syn2b_breakpoint_density	syn2b_inverted_fraction	syn2b_raw_inverted_fraction	syn2b_orientation_mismatches	syn2b_orientation_mismatches_raw	syn2b_orientation_uninformative	syn2b_observable_fraction	syn2b_observable_adjacencies	syn2b_structural	syn2b_shared_tags	syn2b_repeats_dropped	syn2b_landmarks_collapsed	syn2b_circular
GCF_006715835.1__GCF_013408335.1	GCF_006715835.1	GCF_013408335.1	ok	28	56	0.02792	0.08774	0.08774	88	88	0	1.0000	1003	0.9457	1003	82	1580	true
GCA_902544135.1__GCA_902541315.1	GCA_902544135.1	GCA_902541315.1	ok	0	24	0.00000	0.37143	0.62857	39	66	0	0.9157	76	0.7600	105	0	34	false
GCA_900548775.1__GCA_902773995.1	GCA_900548775.1	GCA_902773995.1	ok	3	110	0.00366	0.48171	0.51829	395	425	0	0.9218	684	0.8625	820	18	750	false
GCF_000220565.1__GCA_018222585.1	GCF_000220565.1	GCA_018222585.1	ok	11	240	0.01009	0.45780	0.54220	499	591	0	0.7716	821	0.7788	1090	28	1371	false
GCA_004211905.1__GCA_002685195.1	GCA_004211905.1	GCA_002685195.1	ok	0	44	0.00000	0.42071	0.42071	130	130	0	0.9457	244	0.8488	309	25	163	false
GCF_008011665.1__GCF_008245025.1	GCF_008011665.1	GCF_008245025.1	ok	0	12	0.00000	0.29412	0.70588	10	24	0	0.5455	18	0.6471	34	22	92	false
GCF_002741105.1__GCF_900115695.1	GCF_002741105.1	GCF_900115695.1	ok	11	42	0.00837	0.30898	0.30898	406	406	0	0.9954	1285	0.9681	1314	81	1962	false
GCF_003425685.1__GCF_017877055.1	GCF_003425685.1	GCF_017877055.1	ok	44	101	0.12500	0.44886	0.44886	158	158	0	0.9477	326	0.7370	352	77	2664	false
GCF_003054165.1__GCA_019192965.1	GCF_003054165.1	GCA_019192965.1	ok	15	70	0.04839	0.49677	0.49677	154	154	0	0.9184	259	0.7792	310	49	1358	false
GCF_002243645.1__GCF_001645685.2	GCF_002243645.1	GCF_001645685.2	ok	6	12	0.04511	0.00752	0.99248	1	132	0	1.0000	133	0.9137	133	100	536	true
GCA_004293365.1__GCA_013299165.1	GCA_004293365.1	GCA_013299165.1	ok	74	280	0.11437	0.49150	0.50850	318	329	0	0.7891	464	0.5918	647	101	865	false
GCF_000425985.1__GCF_000455825.1	GCF_000425985.1	GCF_000455825.1	ok	2	59	0.00353	0.45583	0.54417	258	308	0	0.9767	503	0.8948	566	65	1754	false
GCF_003031675.1__GCF_001647715.1	GCF_003031675.1	GCF_001647715.1	ok	15	85	0.02219	0.42012	0.42012	284	284	0	0.9007	608	0.8765	676	70	1796	false
GCF_002549775.1__GCA_003449675.1	GCF_002549775.1	GCA_003449675.1	ok	25	112	0.14451	0.44509	0.44509	77	77	0	0.9898	97	0.3913	173	44	795	false
GCA_003209755.1__GCA_003280445.1	GCA_003209755.1	GCA_003280445.1	ok	0	25	0.00000	0.35780	0.35780	39	39	0	0.8462	66	0.7312	109	9	118	false
GCA_902625035.1__GCA_902624635.1	GCA_902625035.1	GCA_902624635.1	ok	0	14	0.00000	0.27419	0.72581	17	45	0	0.7925	42	0.7544	62	0	26	false
GCA_011523395.1__GCA_011523635.1	GCA_011523395.1	GCA_011523635.1	ok	6	114	0.01471	0.46569	0.53431	190	218	0	0.6637	221	0.6807	408	21	454	false
GCF_001672755.1__GCF_001667925.1	GCF_001672755.1	GCF_001667925.1	ok	6	124	0.00960	0.44960	0.55040	281	344	0	0.8523	456	0.7888	625	79	1340	false
GCF_900119365.1__GCF_014649535.1	GCF_900119365.1	GCF_014649535.1	ok	55	165	0.01695	0.35963	0.64037	1167	2078	0	0.9906	3155	0.9495	3245	98	1787	false
GCF_001424165.1__GCA_003520365.1	GCF_001424165.1	GCA_003520365.1	ok	6	219	0.01538	0.43590	0.56410	170	220	0	0.9883	169	0.4267	390	38	1919	false
GCF_001885215.1__GCA_013203655.1	GCF_001885215.1	GCA_013203655.1	ok	0	103	0.00000	0.40722	0.40722	237	237	0	1.0000	478	0.8227	582	56	501	false
GCA_900547475.1__GCF_004353185.1	GCA_900547475.1	GCF_004353185.1	ok	3	67	0.00840	0.39496	0.60504	141	216	0	0.8771	264	0.7994	357	16	121	false
GCF_000938265.1__GCF_900177685.1	GCF_000938265.1	GCF_900177685.1	ok	8	29	0.02036	0.46310	0.53690	182	211	0	0.9766	375	0.9268	393	18	1547	false
GCF_000402035.1__GCA_001189345.1	GCF_000402035.1	GCA_001189345.1	ok	85	209	0.15455	0.46000	0.46000	253	253	0	0.9980	508	0.6693	550	222	2961	false
GCA_017961175.1__GCA_017962375.1	GCA_017961175.1	GCA_017962375.1	ok	0	34	0.00000	0.40833	0.59167	49	71	0	0.5619	59	0.6852	120	10	334	false
GCF_000377565.1__GCF_017741815.1	GCF_000377565.1	GCF_017741815.1	ok	65	167	0.02237	0.48589	0.51411	1412	1494	0	0.9934	2854	0.9435	2906	47	2595	false
GCA_001604135.1__GCA_016292145.1	GCA_001604135.1	GCA_016292145.1	ok	0	100	0.00000	0.45012	0.54988	194	237	0	0.9752	315	0.7596	431	14	623	false
GCA_900553135.1__GCA_905205085.1	GCA_900553135.1	GCA_905205085.1	ok	1	30	0.00935	0.45794	0.45794	49	49	0	0.2683	11	0.4545	107	10	305	false
GCF_900112625.1__GCF_000364445.2	GCF_900112625.1	GCF_000364445.2	ok	125	260	0.14237	0.49886	0.49886	438	438	0	0.9681	849	0.7360	878	120	1480	false
GCA_902576125.1__GCA_902512325.1	GCA_902576125.1	GCA_902512325.1	ok	0	3	0.00000	0.26316	0.26316	5	5	0	0.8889	8	0.7500	19	8	37	false
GCA_902576905.1__GCA_902537235.1	GCA_902576905.1	GCA_902537235.1	ok	0	25	0.00000	0.45833	0.54167	66	78	0	0.9052	105	0.8120	144	1	121	false
GCA_902536925.1__GCA_902518165.1	GCA_902536925.1	GCA_902518165.1	ok	0	19	0.00000	0.38938	0.38938	44	44	0	0.8776	86	0.8224	113	0	30	false
GCF_001426905.1__GCA_017745235.1	GCF_001426905.1	GCA_017745235.1	ok	58	160	0.18297	0.37539	0.37539	119	119	0	0.9631	261	0.5604	317	30	770	false
GCA_000383735.1__GCA_002323895.1	GCA_000383735.1	GCA_002323895.1	ok	9	83	0.02500	0.44167	0.44167	159	159	0	0.9004	244	0.7462	360	60	452	false
GCF_000691165.1__GCF_000691145.1	GCF_000691165.1	GCF_000691145.1	ok	2	20	0.00541	0.46757	0.46757	173	173	0	0.9738	335	0.9437	370	5	412	false
GCF_004137255.1__GCF_013155335.1	GCF_004137255.1	GCF_013155335.1	ok	14	38	0.05204	0.39405	0.60595	106	163	0	0.9885	257	0.8648	269	649	1297	false
GCF_001068775.1__GCA_905221345.1	GCF_001068775.1	GCA_905221345.1	ok	9	54	0.10112	0.48315	0.51685	43	46	0	0.5132	39	0.3933	89	24	182	false
GCF_001180165.1__GCA_902571955.1	GCF_001180165.1	GCA_902571955.1	ok	0	11	0.00000	0.39583	0.39583	19	19	0	0.8611	31	0.7381	48	1	27	false
GCF_000960475.2__GCF_014648255.1	GCF_000960475.2	GCF_014648255.1	ok	9	91	0.00989	0.43516	0.43516	396	396	0	0.9291	826	0.9001	910	31	1429	false
GCA_017963805.1__GCA_017539325.1	GCA_017963805.1	GCA_017539325.1	ok	2	136	0.00280	0.45734	0.54266	327	388	0	0.9477	544	0.8006	715	29	374	false
GCF_001693515.2__GCF_009930815.1	GCF_001693515.2	GCF_009930815.1	ok	88	176	0.03410	0.04223	0.04223	109	109	0	1.0000	2581	0.9341	2581	276	3216	true
GCF_002082245.2__GCF_003600645.1	GCF_002082245.2	GCF_003600645.1	ok	25	50	0.14881	0.39286	0.60714	66	102	0	1.0000	168	0.7409	168	110	373	true
GCF_014298075.1__GCF_001598695.1	GCF_014298075.1	GCF_001598695.1	ok	5	34	0.02959	0.37278	0.37278	63	63	0	1.0000	144	0.8035	169	27	855	false
GCA_005789325.1__GCA_000428345.2	GCA_005789325.1	GCA_000428345.2	ok	0	2	0.00000	0.36364	0.63636	4	7	0	0.0000	0	0.5000	11	89	105	false
