pairid	dd_breakpoints_ref	dd_breakpoints_qry	dd_relocations_ref	dd_relocations_qry	dd_translocations_ref	dd_translocations_qry	dd_inversions_ref	dd_inversions_qry	dd_insertions_ref	dd_insertions_qry	dd_insertionsum_ref	dd_insertionsum_qry	dd_tandemins_ref	dd_tandemins_qry	dd_tandeminssum_ref	dd_tandeminssum_qry
GCA_002339515.1__GCA_003446835.1	1389.0	1538.0	4.0	9.0	303.0	398.0	0.0	0.0	492.0	668.0	571566.0	645902.0	0.0	0.0	0.0	0.0
GCA_002294605.1__GCA_002377215.1	593.0	596.0	6.0	6.0	45.0	31.0	1.0	0.0	252.0	306.0	771403.0	771137.0	0.0	2.0	0.0	152.0
GCA_002295765.1__GCF_900457115.1	749.0	706.0	20.0	23.0	65.0	12.0	0.0	7.0	339.0	287.0	1090204.0	847732.0	1.0	0.0	150.0	0.0
GCA_002322835.1__GCA_002331685.1	277.0	315.0	3.0	5.0	15.0	43.0	0.0	0.0	130.0	111.0	256385.0	210957.0	3.0	4.0	110.0	590.0
GCA_002362895.1__GCA_002363375.1	385.0	372.0	14.0	9.0	21.0	17.0	4.0	4.0	142.0	160.0	351681.0	200542.0	7.0	8.0	1126.0	1306.0
GCA_002331405.1__GCF_009996725.1	522.0	595.0	8.0	7.0	19.0	86.0	4.0	4.0	243.0	195.0	643626.0	263632.0	6.0	11.0	1135.0	1754.0
GCA_001724385.1__GCA_017306495.1	363.0	1067.0	0.0	0.0	59.0	461.0	6.0	6.0	192.0	374.0	105651.0	223916.0	0.0	0.0	0.0	0.0
GCA_001724385.1__GCF_001278365.1	646.0	523.0	2.0	3.0	108.0	41.0	2.0	2.0	263.0	238.0	624011.0	614021.0	0.0	0.0	0.0	0.0
GCA_017306495.1__GCF_001278365.1	1403.0	676.0	3.0	3.0	498.0	36.0	4.0	4.0	531.0	402.0	629988.0	382972.0	0.0	0.0	0.0	0.0
GCF_016814455.1__GCF_016814565.1	11.0	13.0	3.0	3.0	0.0	1.0	0.0	0.0	3.0	1.0	791.0	648.0	1.0	0.0	206.0	0.0
GCF_016814315.1__GCF_016814555.1	14.0	14.0	3.0	3.0	1.0	1.0	0.0	0.0	2.0	1.0	668.0	124.0	1.0	0.0	96.0	0.0
GCF_016814495.1__GCF_016814565.1	11.0	13.0	3.0	3.0	0.0	1.0	0.0	0.0	2.0	2.0	651.0	678.0	0.0	1.0	0.0	96.0
GCA_018368295.1__GCF_003477825.1	737.0	650.0	1.0	3.0	92.0	64.0	0.0	0.0	332.0	267.0	706591.0	418233.0	0.0	0.0	0.0	0.0
GCA_905209245.1__GCF_003471485.1	451.0	384.0	3.0	4.0	68.0	45.0	0.0	0.0	227.0	120.0	522210.0	150765.0	0.0	0.0	0.0	0.0
GCF_003471485.1__GCF_015670895.1	768.0	800.0	9.0	2.0	71.0	86.0	0.0	0.0	313.0	336.0	406782.0	563568.0	0.0	0.0	0.0	0.0
GCA_008667915.1__GCA_905197155.1	679.0	868.0	3.0	2.0	73.0	228.0	3.0	1.0	386.0	461.0	251254.0	466561.0	0.0	0.0	0.0	0.0
GCA_008668315.1__GCA_900756565.1	687.0	689.0	3.0	2.0	71.0	66.0	5.0	5.0	330.0	300.0	295075.0	221652.0	0.0	0.0	0.0	0.0
GCA_008667915.1__GCA_008668315.1	251.0	207.0	0.0	0.0	70.0	30.0	1.0	1.0	82.0	104.0	109250.0	59506.0	0.0	0.0	0.0	0.0
GCF_003208415.1__GCF_005281435.1	640.0	558.0	20.0	21.0	35.0	5.0	3.0	5.0	274.0	198.0	390400.0	329122.0	0.0	1.0	0.0	120.0
GCF_013385945.1__GCF_014852515.1	1180.0	1184.0	18.0	7.0	84.0	30.0	0.0	5.0	519.0	550.0	532848.0	962826.0	1.0	0.0	111.0	0.0
GCF_003208415.1__GCF_017848355.1	677.0	738.0	5.0	14.0	25.0	53.0	7.0	8.0	305.0	268.0	311348.0	301810.0	6.0	1.0	991.0	42.0
