pairid	q_acc	r_acc	status	syn2b_breakpoints	syn2b_scj_distance	syn2b_breakpoint_density	syn2b_inverted_fraction	syn2b_raw_inverted_fraction	syn2b_orientation_mismatches	syn2b_orientation_mismatches_raw	syn2b_orientation_uninformative	syn2b_observable_fraction	syn2b_observable_adjacencies	syn2b_structural	syn2b_shared_tags	syn2b_repeats_dropped	syn2b_landmarks_collapsed	syn2b_circular
GCA_002339515.1__GCA_003446835.1	GCA_002339515.1	GCA_003446835.1	ok	7.0	517.0	0.00171	0.48213	0.51787	1969.0	2115.0	0.0	0.9351	3398.0	0.8686	4084	41	434	False
GCA_002294605.1__GCA_002377215.1	GCA_002294605.1	GCA_002377215.1	ok	3.0	50.0	0.00078	0.47782	0.47782	1842.0	1842.0	0.0	0.9922	3795.0	0.987	3855	17	465	False
GCA_002295765.1__GCF_900457115.1	GCA_002295765.1	GCF_900457115.1	ok	19.0	71.0	0.00505	0.44583	0.44583	1679.0	1679.0	0.0	0.9907	3728.0	0.9812	3766	64	504	False
GCA_002322835.1__GCA_002331685.1	GCA_002322835.1	GCA_002331685.1	ok	3.0	59.0	0.00045	0.33607	0.66393	2255.0	4455.0	0.0	0.998	6644.0	0.9912	6710	29	1298	False
GCA_002362895.1__GCA_002363375.1	GCA_002362895.1	GCA_002363375.1	ok	7.0	36.0	0.00132	0.35552	0.35552	1880.0	1880.0	0.0	0.9972	5257.0	0.9932	5288	29	1322	False
GCA_002331405.1__GCF_009996725.1	GCA_002331405.1	GCF_009996725.1	ok	6.0	97.0	0.00114	0.48491	0.48491	2555.0	2555.0	0.0	0.9979	5171.0	0.9816	5269	48	1370	False
GCA_001724385.1__GCA_017306495.1	GCA_001724385.1	GCA_017306495.1	ok	0.0	490.0	0.0	0.49831	0.50169	2510.0	2527.0	0.0	0.9888	4505.0	0.9019	5037	3	764	False
GCA_001724385.1__GCF_001278365.1	GCA_001724385.1	GCF_001278365.1	ok	10.0	114.0	0.0038	0.44339	0.55661	1167.0	1465.0	0.0	0.9686	2528.0	0.9567	2632	4	740	False
GCA_017306495.1__GCF_001278365.1	GCA_017306495.1	GCF_001278365.1	ok	8.0	437.0	0.00306	0.49885	0.49885	1306.0	1306.0	0.0	0.8186	2125.0	0.8328	2618	5	736	False
GCF_016814455.1__GCF_016814565.1	GCF_016814455.1	GCF_016814565.1	ok	0.0	6.0	0.0	0.02302	0.02302	165.0	165.0	0.0	0.9996	7151.0	0.9992	7169	10	939	False
GCF_016814315.1__GCF_016814555.1	GCF_016814315.1	GCF_016814555.1	ok	0.0	4.0	0.0	0.09555	0.09555	685.0	685.0	0.0	0.9997	7152.0	0.9994	7169	10	936	False
GCF_016814495.1__GCF_016814565.1	GCF_016814495.1	GCF_016814565.1	ok	0.0	6.0	0.0	0.00098	0.00098	7.0	7.0	0.0	0.9996	7150.0	0.9992	7168	10	941	False
GCA_018368295.1__GCF_003477825.1	GCA_018368295.1	GCF_003477825.1	ok	9.0	75.0	0.00904	0.49598	0.50402	494.0	502.0	0.0	0.9439	891.0	0.9223	996	81	178	False
GCA_905209245.1__GCF_003471485.1	GCA_905209245.1	GCF_003471485.1	ok	8.0	96.0	0.00513	0.4371	0.5629	681.0	877.0	0.0	0.9634	1448.0	0.9377	1558	16	160	False
GCF_003471485.1__GCF_015670895.1	GCF_003471485.1	GCF_015670895.1	ok	9.0	75.0	0.00847	0.4064	0.5936	432.0	631.0	0.0	0.9758	969.0	0.9277	1063	19	171	False
GCA_008667915.1__GCA_905197155.1	GCA_008667915.1	GCA_905197155.1	ok	1.0	208.0	0.0008	0.41627	0.58373	522.0	732.0	0.0	0.9553	984.0	0.8261	1254	18	692	False
GCA_008668315.1__GCA_900756565.1	GCA_008668315.1	GCA_900756565.1	ok	3.0	93.0	0.002	0.41895	0.58105	628.0	871.0	0.0	0.9659	1390.0	0.9373	1499	17	765	False
GCA_008667915.1__GCA_008668315.1	GCA_008667915.1	GCA_008668315.1	ok	0.0	79.0	0.0	0.46049	0.46049	1818.0	1818.0	0.0	0.9845	3822.0	0.9798	3948	26	737	False
GCF_003208415.1__GCF_005281435.1	GCF_003208415.1	GCF_005281435.1	ok	17.0	57.0	0.00312	0.27793	0.27793	1515.0	1515.0	0.0	0.996	5427.0	0.9896	5451	39	1309	False
GCF_013385945.1__GCF_014852515.1	GCF_013385945.1	GCF_014852515.1	ok	12.0	68.0	0.00471	0.4186	0.4186	1067.0	1067.0	0.0	0.9819	2489.0	0.9733	2549	40	1335	False
GCF_003208415.1__GCF_017848355.1	GCF_003208415.1	GCF_017848355.1	ok	6.0	50.0	0.0011	0.49817	0.50183	2724.0	2744.0	0.0	0.9978	5421.0	0.9909	5468	32	1292	False
GCA_900764255.1__GCA_905212875.1	GCA_900764255.1	GCA_905212875.1	ok	4.0	59.0	0.00126	0.39861	0.39861	1266.0	1266.0	0.0	0.9904	3104.0	0.9813	3176	7	557	False
GCA_001724095.1__GCA_017307975.1	GCA_001724095.1	GCA_017307975.1	ok	3.0	139.0	0.00025	0.49419	0.50581	5826.0	5963.0	0.0	0.9889	11632.0	0.9882	11789	23	2044	False
GCA_903831755.1__GCA_903919265.1	GCA_903831755.1	GCA_903919265.1	ok	5.0	256.0	0.00042	0.46948	0.46948	5654.0	5654.0	0.0	0.9952	11666.0	0.9785	12043	55	1717	False
GCA_903821195.1__GCA_903919265.1	GCA_903821195.1	GCA_903919265.1	ok	1.0	225.0	8e-05	0.46509	0.46509	5555.0	5555.0	0.0	0.9979	11598.0	0.981	11944	190	1728	False
GCA_903899075.1__GCA_903919265.1	GCA_903899075.1	GCA_903919265.1	ok	2.0	231.0	0.00017	0.48998	0.51002	5771.0	6007.0	0.0	0.9969	11421.0	0.9802	11778	183	1701	False
GCA_002693265.1__GCA_002710305.1	GCA_002693265.1	GCA_002710305.1	ok	9.0	167.0	0.00309	0.41324	0.58676	1205.0	1711.0	0.0	0.9656	2696.0	0.9415	2916	69	684	False
GCA_900103895.1__GCA_900105365.1	GCA_900103895.1	GCA_900105365.1	ok	109.0	219.0	0.00736	0.02047	0.02047	303.0	303.0	0.0	0.9999	14796.0	0.9853	14800	718	3938	False
GCA_903838455.1__GCA_903868265.1	GCA_903838455.1	GCA_903868265.1	ok	0.0	130.0	0.0	0.43342	0.43342	651.0	651.0	0.0	0.9516	1299.0	0.9096	1502	16	124	False
GCA_903838455.1__GCA_903852975.1	GCA_903838455.1	GCA_903852975.1	ok	0.0	131.0	0.0	0.48441	0.51559	777.0	827.0	0.0	0.9493	1385.0	0.9144	1604	15	129	False
GCA_903852975.1__GCA_903868265.1	GCA_903852975.1	GCA_903868265.1	ok	0.0	125.0	0.0	0.41583	0.58417	620.0	871.0	0.0	0.9489	1280.0	0.9116	1491	13	129	False
GCA_018656145.1__GCA_018698755.1	GCA_018656145.1	GCA_018698755.1	ok	1.0	146.0	0.00035	0.47383	0.47383	1358.0	1358.0	0.0	0.9784	2675.0	0.9483	2866	3	299	False
GCA_000436595.1__GCA_900551685.1	GCA_000436595.1	GCA_900551685.1	ok	14.0	239.0	0.00578	0.48451	0.48451	1173.0	1173.0	0.0	0.9155	2155.0	0.9004	2421	11	1135	False
GCA_900551685.1__GCA_905212685.1	GCA_900551685.1	GCA_905212685.1	ok	6.0	106.0	0.00241	0.40811	0.59189	1017.0	1475.0	0.0	0.9794	2380.0	0.9573	2492	22	1176	False
GCA_900553745.1__GCA_905212685.1	GCA_900553745.1	GCA_905212685.1	ok	5.0	229.0	0.00218	0.47146	0.52854	1082.0	1213.0	0.0	0.9054	2028.0	0.899	2295	18	1086	False
GCA_001772855.1__GCA_003485585.1	GCA_001772855.1	GCA_003485585.1	ok	0.0	31.0	0.0	0.45911	0.54089	247.0	291.0	0.0	0.9563	482.0	0.9396	538	0	43	False
GCA_002328705.1__GCA_002403185.1	GCA_002328705.1	GCA_002403185.1	ok	0.0	36.0	0.0	0.36317	0.63683	353.0	619.0	0.0	0.9924	909.0	0.9619	972	0	130	False
GCA_002328705.1__GCA_017999775.1	GCA_002328705.1	GCA_017999775.1	ok	0.0	34.0	0.0	0.44966	0.44966	268.0	268.0	0.0	0.9563	547.0	0.9418	596	3	142	False
GCA_002403185.1__GCA_017999775.1	GCA_002403185.1	GCA_017999775.1	ok	0.0	55.0	0.0	0.44385	0.55615	332.0	416.0	0.0	0.9265	668.0	0.9247	748	3	152	False
GCF_001524825.1__GCF_001532915.1	GCF_001524825.1	GCF_001532915.1	ok	16.0	82.0	0.0012	0.46747	0.46747	6251.0	6251.0	0.0	0.9983	13289.0	0.9939	13372	107	4466	False
GCF_001527555.1__GCF_002223285.1	GCF_001527555.1	GCF_002223285.1	ok	6.0	64.0	0.00036	0.38992	0.61008	6480.0	10139.0	0.0	0.9969	16555.0	0.9961	16619	132	4503	False
GCF_001524825.1__GCF_002925705.1	GCF_001524825.1	GCF_002925705.1	ok	6.0	67.0	0.00036	0.30611	0.30611	5086.0	5086.0	0.0	0.9987	16520.0	0.996	16615	157	4554	False
GCF_001466915.1__GCF_013392005.1	GCF_001466915.1	GCF_013392005.1	ok	5.0	439.0	0.0005	0.43964	0.56036	4370.0	5570.0	0.0	0.9975	9443.0	0.9556	9940	46	1887	False
GCF_001466915.1__GCF_900624915.1	GCF_001466915.1	GCF_900624915.1	ok	13.0	97.0	0.00277	0.43098	0.43098	2020.0	2020.0	0.0	0.9846	4597.0	0.9793	4687	20	1884	False
GCF_002091515.1__GCF_003700185.1	GCF_002091515.1	GCF_003700185.1	ok	8.0	400.0	0.00172	0.47272	0.47272	2201.0	2201.0	0.0	0.9958	4241.0	0.9137	4656	19	1875	False
GCF_002151265.1__GCF_900108215.1	GCF_002151265.1	GCF_900108215.1	ok	14.0	171.0	0.00224	0.43501	0.43501	2714.0	2714.0	0.0	0.9793	6065.0	0.9725	6239	103	1501	False
GCA_018063715.1__GCF_003478795.1	GCA_018063715.1	GCF_003478795.1	ok	5.0	134.0	0.00446	0.48214	0.48214	540.0	540.0	0.0	0.8747	949.0	0.8772	1120	20	272	False
GCF_003480955.1__GCF_003481065.1	GCF_003480955.1	GCF_003481065.1	ok	15.0	67.0	0.00634	0.30347	0.30347	718.0	718.0	0.0	0.9893	2319.0	0.9718	2366	37	413	False
GCA_018054245.1__GCA_902387235.1	GCA_018054245.1	GCA_902387235.1	ok	6.0	194.0	0.00372	0.491	0.491	791.0	791.0	0.0	0.8803	1412.0	0.8795	1611	53	349	False
GCF_003203815.1__GCF_009362875.1	GCF_003203815.1	GCF_009362875.1	ok	18.0	180.0	0.01501	0.4387	0.5613	526.0	673.0	0.0	0.8932	962.0	0.8427	1199	110	215	False
GCF_015698085.1__GCF_018967085.1	GCF_015698085.1	GCF_018967085.1	ok	3.0	134.0	0.00265	0.4925	0.5075	558.0	575.0	0.0	0.9149	935.0	0.8757	1133	132	200	False
GCF_000015385.1__GCF_003203895.1	GCF_000015385.1	GCF_003203895.1	ok	9.0	156.0	0.00618	0.49382	0.50618	719.0	737.0	0.0	0.9992	1318.0	0.8935	1456	146	231	False
GCA_018896145.1__GCA_018900785.1	GCA_018896145.1	GCA_018900785.1	ok	0.0	120.0	0.0	0.46581	0.53419	2214.0	2539.0	0.0	0.9753	4623.0	0.9747	4753	26	675	False
GCA_018895735.1__GCA_018897705.1	GCA_018895735.1	GCA_018897705.1	ok	0.0	47.0	0.0	0.38389	0.38389	1840.0	1840.0	0.0	0.9952	4721.0	0.9901	4793	13	644	False
GCA_018896145.1__GCA_018896555.1	GCA_018896145.1	GCA_018896555.1	ok	0.0	90.0	0.0	0.47653	0.52347	2304.0	2531.0	0.0	0.9831	4705.0	0.9812	4835	30	668	False
GCA_004553245.1__GCA_900752965.1	GCA_004553245.1	GCA_900752965.1	ok	6.0	134.0	0.0048	0.44365	0.55635	555.0	696.0	0.0	0.9619	1085.0	0.8898	1251	36	478	False
GCA_004553245.1__GCA_905211025.1	GCA_004553245.1	GCA_905211025.1	ok	15.0	128.0	0.01105	0.44952	0.44952	610.0	610.0	0.0	0.9556	1227.0	0.9046	1357	36	509	False
GCA_900752965.1__GCA_905211025.1	GCA_900752965.1	GCA_905211025.1	ok	3.0	92.0	0.00089	0.48812	0.48812	1644.0	1644.0	0.0	0.9757	3217.0	0.9722	3368	26	473	False
GCA_007859155.1__GCF_001618265.1	GCA_007859155.1	GCF_001618265.1	ok	0.0	109.0	0.0	0.45843	0.54157	1147.0	1355.0	0.0	0.9815	2383.0	0.9563	2502	81	390	False
