query_asm	ref_asm
GCA_013390615.1	GCA_903839205.1
GCA_001914815.1	GCA_001918935.1
GCA_011772475.1	GCA_011049545.1
GCA_016789705.1	GCA_018000455.1
GCA_016720465.1	GCA_016722505.1
GCF_000428885.1	GCA_017859995.1
GCA_016192845.1	GCA_001767525.1
GCA_009835985.1	GCA_002238705.1
GCA_003530835.1	GCA_014189895.1
GCA_002414905.1	GCA_016714815.1
GCA_009694585.1	GCA_014190275.1
GCF_010287905.1	GCA_014803435.1
GCF_000152705.1	GCF_001427985.1
GCA_900538305.1	GCA_000333815.1
GCF_007994135.1	GCA_019112525.1
GCF_001575205.1	GCF_000312385.1
GCF_001592045.1	GCF_001517975.1
GCF_016918015.1	GCF_003933745.1
GCF_004025965.2	GCF_011383005.1
GCF_014694315.1	GCF_001428005.1
GCA_001914705.1	GCA_005888315.1
GCF_004078655.1	GCF_003990045.1
GCF_009733845.1	GCF_009733815.1
GCF_008040105.1	GCA_003454135.1
GCF_003003175.1	GCF_019173455.1
GCF_900112815.1	GCF_016612865.1
GCF_003610585.1	GCF_002936985.1
GCF_003751785.1	GCF_003755185.1
GCF_006716305.1	GCF_001657475.1
GCF_009742705.1	GCF_900101785.1
GCA_000620545.1	GCF_006717025.1
GCF_003121705.1	GCF_004786095.1
GCF_900104895.1	GCF_004217495.1
GCF_011751745.2	GCF_011751765.2
GCF_004323735.1	GCF_000826685.1
GCF_900108175.1	GCF_006363815.1
GCF_001592045.1	GCF_001660385.1
GCA_009702325.1	GCA_900299235.1
GCF_014200305.1	GCF_014201135.1
GCA_002296525.1	GCA_002448715.1
GCA_014360645.1	GCA_015711825.1
GCF_003096675.1	GCF_004363095.1
GCF_015690345.1	GCF_016862935.1
GCF_000482865.1	GCF_900111175.1
GCF_000224415.1	GCF_005877055.1
GCF_001591405.1	GCA_019116945.1
GCF_008001015.1	GCF_008386315.1
GCF_001422285.1	GCF_000878135.1
GCA_016463095.1	GCA_000428345.2
GCF_000152705.1	GCF_000768675.1
GCA_018260615.1	GCA_018260755.1
GCA_016839265.1	GCA_001940665.1
GCA_002897695.1	GCA_013151915.1
GCF_014252255.1	GCF_014252115.1
GCF_017355785.1	GCF_017355835.1
GCA_903821715.1	GCA_005786915.1
GCF_001735745.1	GCA_018673215.1
GCA_018608725.1	GCA_018673215.1
GCA_002400885.1	GCA_016764435.1
GCF_015330165.1	GCF_015330125.1
GCF_014251575.1	GCF_011290385.1
GCF_008180195.1	GCF_014692515.1
GCF_900168045.1	GCF_000745315.1
GCA_003158475.1	GCA_003161955.1
GCF_000799235.1	GCF_002835665.1
GCA_017651425.1	GCA_002311645.1
GCF_015476655.1	GCF_900176595.1
GCF_007827275.1	GCF_000258765.1
GCA_016866355.1	GCA_016868475.1
GCF_011762155.1	GCF_011927765.1
GCF_004364165.1	GCF_900155985.1
GCF_000745315.1	GCF_900142975.1
GCA_013287545.1	GCA_013288015.1
GCF_001577755.1	GCF_009913235.1
GCF_003014695.1	GCF_000023125.1
GCF_014692515.1	GCF_014692525.1
GCF_000382125.1	GCA_905479615.1
GCA_900539915.1	GCA_001689515.1
