q_acc	r_acc	skani_ani	skani_af_min	band	phylum
GCF_006715835.1	GCF_013408335.1	89.61	49.79	85-90	Actinobacteriota
GCA_902544135.1	GCA_902541315.1	92.28	52.27	90-95	Proteobacteria
GCA_900548775.1	GCA_902773995.1	90.25	42.82	90-95	Actinobacteriota
GCF_000220565.1	GCA_018222585.1	90.75	52.62	90-95	Proteobacteria
GCA_004211905.1	GCA_002685195.1	92.53	55.93	90-95	Proteobacteria
GCF_008011665.1	GCF_008245025.1	83.43	29.49	80-85	Campylobacterota
GCF_002741105.1	GCF_900115695.1	91.04	65.51	90-95	Proteobacteria
GCF_003425685.1	GCF_017877055.1	84.00	22.36	80-85	Proteobacteria
GCF_003054165.1	GCA_019192965.1	84.62	18.87	80-85	Actinobacteriota
GCF_002243645.1	GCF_001645685.2	84.29	20.93	80-85	Firmicutes
GCA_004293365.1	GCA_013299165.1	88.13	34.12	85-90	Cyanobacteria
GCF_000425985.1	GCF_000455825.1	88.31	50.36	85-90	Actinobacteriota
GCF_003031675.1	GCF_001647715.1	87.75	45.71	85-90	Proteobacteria
GCF_002549775.1	GCA_003449675.1	85.77	16.24	85-90	Firmicutes_A
GCA_003209755.1	GCA_003280445.1	90.08	52.06	90-95	Cyanobacteria
GCA_902625035.1	GCA_902624635.1	91.04	55.65	90-95	Proteobacteria
GCA_011523395.1	GCA_011523635.1	90.21	54.90	90-95	Actinobacteriota
GCF_001672755.1	GCF_001667925.1	88.53	51.42	85-90	Actinobacteriota
GCF_900119365.1	GCF_014649535.1	94.02	64.12	90-95	Actinobacteriota
GCF_001424165.1	GCA_003520365.1	87.77	18.95	85-90	Proteobacteria
GCF_001885215.1	GCA_013203655.1	92.33	54.98	90-95	Cyanobacteria
GCA_900547475.1	GCF_004353185.1	91.45	52.20	90-95	Firmicutes_A
GCF_000938265.1	GCF_900177685.1	87.14	42.09	85-90	Actinobacteriota
GCF_000402035.1	GCA_001189345.1	88.30	25.99	85-90	Proteobacteria
GCA_017961175.1	GCA_017962375.1	83.78	15.31	80-85	Bacteroidota
GCF_000377565.1	GCF_017741815.1	94.01	65.10	90-95	Proteobacteria
GCA_001604135.1	GCA_016292145.1	89.90	45.84	85-90	Firmicutes_A
GCA_900553135.1	GCA_905205085.1	85.56	18.48	85-90	Firmicutes_A
GCF_900112625.1	GCF_000364445.2	88.25	37.29	85-90	Proteobacteria
GCA_902576125.1	GCA_902512325.1	84.76	24.07	80-85	Proteobacteria
GCA_902576905.1	GCA_902537235.1	89.29	36.74	85-90	Proteobacteria
GCA_902536925.1	GCA_902518165.1	93.76	46.78	90-95	Proteobacteria
GCF_001426905.1	GCA_017745235.1	85.50	20.93	85-90	Proteobacteria
GCA_000383735.1	GCA_002323895.1	91.66	39.87	90-95	Verrucomicrobiota
GCF_000691165.1	GCF_000691145.1	89.85	69.69	85-90	Firmicutes
GCF_004137255.1	GCF_013155335.1	84.71	21.43	80-85	Actinobacteriota
GCF_001068775.1	GCA_905221345.1	84.00	17.43	80-85	Firmicutes
GCF_001180165.1	GCA_902571955.1	90.75	38.38	90-95	Proteobacteria
GCF_000960475.2	GCF_014648255.1	89.12	48.09	85-90	Actinobacteriota
GCA_017963805.1	GCA_017539325.1	93.13	72.98	90-95	UBA3054
GCF_001693515.2	GCF_009930815.1	91.54	57.59	90-95	Proteobacteria
GCF_002082245.2	GCF_003600645.1	84.77	19.88	80-85	Proteobacteria
GCF_014298075.1	GCF_001598695.1	83.79	24.23	80-85	Proteobacteria
GCA_005789325.1	GCA_000428345.2	84.68	16.79	80-85	Actinobacteriota
GCA_900552015.1	GCF_000765235.1	90.82	39.74	90-95	Firmicutes_A
GCA_902582155.1	GCA_902553555.1	86.01	17.38	85-90	Proteobacteria
GCA_000831085.1	GCA_905373305.1	91.25	45.83	90-95	Firmicutes
GCF_014222285.1	GCF_013343235.1	93.83	55.11	90-95	Cyanobacteria
GCA_902634305.1	GCA_902587435.1	90.51	43.85	90-95	Proteobacteria
GCA_003282205.1	GCA_902617895.1	90.28	53.44	90-95	Proteobacteria
GCF_000421725.1	GCF_000166355.1	92.89	65.81	90-95	Firmicutes_A
GCA_900321605.1	GCA_017542915.1	95.05	48.94	95-100	Bacteroidota
GCA_900765185.1	GCA_900765115.1	94.25	63.37	90-95	Actinobacteriota
GCA_902628525.1	GCA_902591695.1	85.50	19.23	85-90	Proteobacteria
GCA_902609285.1	GCA_902604835.1	92.60	60.61	90-95	Actinobacteriota
GCF_004320525.1	GCF_001663775.1	87.09	39.39	85-90	Actinobacteriota
GCF_000966285.1	GCF_016786355.1	88.82	28.87	85-90	Actinobacteriota
GCF_900234795.1	GCF_014199985.1	88.80	48.18	85-90	Proteobacteria
GCF_000717645.1	GCF_003610995.1	87.77	33.69	85-90	Actinobacteriota
GCF_014323405.1	GCA_902362365.1	92.71	65.70	90-95	Firmicutes_A
GCF_001667185.1	GCF_002101815.1	92.03	75.23	90-95	Actinobacteriota
GCF_001952855.1	GCF_000346755.1	87.25	37.14	85-90	Proteobacteria
GCF_003584685.1	GCA_910589175.1	86.03	35.00	85-90	Firmicutes
GCF_002259745.1	GCF_018555355.1	85.36	18.56	85-90	Actinobacteriota
GCF_018207095.1	GCF_900143625.1	86.50	27.04	85-90	Actinobacteriota
GCF_009749465.1	GCF_003384855.1	85.75	26.56	85-90	Actinobacteriota
GCA_017557665.1	GCA_017405965.1	84.41	17.44	80-85	Bacteroidota
GCF_003046425.1	GCF_000306675.2	90.99	60.32	90-95	Spirochaetota
GCF_002155975.1	GCF_017308975.1	91.82	55.34	90-95	Actinobacteriota
GCA_900316525.1	GCA_902778105.1	83.84	21.06	80-85	Bacteroidota
GCF_000716535.1	GCF_014650035.1	88.01	28.73	85-90	Actinobacteriota
GCA_015062085.1	GCA_017939795.1	88.00	26.63	85-90	Planctomycetota
GCF_009858265.1	GCF_900101045.1	92.75	69.47	90-95	Actinobacteriota
GCF_003002955.1	GCF_900102815.1	88.78	46.28	85-90	Actinobacteriota
GCF_011039175.1	GCA_017945865.1	92.50	55.36	90-95	Actinobacteriota
GCA_000634515.1	GCA_902537445.1	89.27	50.64	85-90	Cyanobacteria
GCF_018383905.1	GCF_014844035.1	82.51	15.18	80-85	Bacteroidota
