group	label	method	n	mae	med	bias	sd	r
overall	overall	syn2bani_raw	43229	1.6701	1.3110	1.4346	1.6839	0.8494
overall	overall	syn2bani_cal	39903	0.6194	0.4977	-0.1223	0.8179	0.9620
overall	overall	skani	43334	1.0324	0.8000	-0.8829	0.9859	0.9752
overall	overall	fastani	43334	1.0449	0.8964	-0.9827	0.8755	0.9819
band	80-85	syn2bani_raw	12094	1.9642	1.5114	1.6328	2.0732	0.1201
band	80-85	syn2bani_cal	8823	0.7155	0.5782	-0.2092	0.9619	0.4136
band	80-85	skani	12172	1.9690	2.0100	-1.9674	0.6151	0.6825
band	80-85	fastani	12172	1.8350	1.8168	-1.8344	0.5298	0.8275
band	85-90	syn2bani_raw	15973	1.8918	1.5441	1.6613	1.7642	0.4917
band	85-90	syn2bani_cal	15918	0.6445	0.5179	-0.0954	0.8461	0.7741
band	85-90	skani	16000	0.8930	0.7900	-0.7421	0.8102	0.8312
band	85-90	fastani	16000	1.0048	0.8858	-0.9802	0.7469	0.8762
band	90-95	syn2bani_raw	14758	1.2141	1.0731	1.0478	1.0717	0.7686
band	90-95	syn2bani_cal	14758	0.5397	0.4428	-0.1047	0.6836	0.8997
band	90-95	skani	14758	0.4307	0.3300	-0.1663	0.5456	0.9329
band	90-95	fastani	14758	0.4553	0.3245	-0.3042	0.5747	0.9311
band	95-100	syn2bani_raw	404	0.7544	0.5745	0.6653	0.6795	0.5120
band	95-100	syn2bani_cal	404	0.4411	0.3440	0.0701	0.5859	0.6065
band	95-100	skani	404	0.3185	0.2700	0.0335	0.4021	0.7266
band	95-100	fastani	404	0.3613	0.2388	-0.1993	0.5555	0.6780
common	overall	syn2bani_raw	39903	1.6988	1.3114	1.4988	1.6888	0.8336
common	overall	syn2bani_cal	39903	0.6194	0.4977	-0.1223	0.8179	0.9620
common	overall	skani	39903	0.9575	0.7100	-0.7962	0.9594	0.9734
common	overall	fastani	39903	0.9767	0.7984	-0.9091	0.8621	0.9801
common_band	80-85	syn2bani_raw	8823	2.2012	1.6703	1.9924	2.1617	-0.0615
common_band	80-85	syn2bani_cal	8823	0.7155	0.5782	-0.2092	0.9619	0.4136
common_band	80-85	skani	8823	1.9843	2.0100	-1.9825	0.6073	0.6571
common_band	80-85	fastani	8823	1.8281	1.7904	-1.8273	0.5479	0.8087
common_band	85-90	syn2bani_raw	15918	1.8937	1.5449	1.6646	1.7647	0.4875
common_band	85-90	syn2bani_cal	15918	0.6445	0.5179	-0.0954	0.8461	0.7741
common_band	85-90	skani	15918	0.8931	0.7900	-0.7438	0.8091	0.8310
common_band	85-90	fastani	15918	1.0038	0.8853	-0.9790	0.7472	0.8754
common_band	90-95	syn2bani_raw	14758	1.2141	1.0731	1.0478	1.0717	0.7686
common_band	90-95	syn2bani_cal	14758	0.5397	0.4428	-0.1047	0.6836	0.8997
common_band	90-95	skani	14758	0.4307	0.3300	-0.1663	0.5456	0.9329
common_band	90-95	fastani	14758	0.4553	0.3245	-0.3042	0.5747	0.9311
common_band	95-100	syn2bani_raw	404	0.7544	0.5745	0.6653	0.6795	0.5120
common_band	95-100	syn2bani_cal	404	0.4411	0.3440	0.0701	0.5859	0.6065
common_band	95-100	skani	404	0.3185	0.2700	0.0335	0.4021	0.7266
common_band	95-100	fastani	404	0.3613	0.2388	-0.1993	0.5555	0.6780
phylum	Actinobacteriota	syn2bani_raw	11450	1.3956	1.2280	1.1884	1.2440	0.9181
phylum	Actinobacteriota	syn2bani_cal	10619	0.4964	0.4117	-0.0134	0.6291	0.9796
phylum	Actinobacteriota	skani	11450	1.0303	0.8200	-0.9086	0.9590	0.9836
phylum	Actinobacteriota	fastani	11450	0.9068	0.7895	-0.8260	0.7927	0.9882
phylum	Bacteroidota	syn2bani_raw	4348	1.8294	1.5040	1.4770	1.8595	0.8059
phylum	Bacteroidota	syn2bani_cal	4074	0.6616	0.5260	-0.0506	0.8852	0.9540
phylum	Bacteroidota	skani	4359	1.1706	1.0100	-0.9900	1.0562	0.9682
phylum	Bacteroidota	fastani	4359	1.2555	1.2076	-1.2158	0.8836	0.9788
phylum	Campylobacterota	syn2bani_raw	475	1.7555	1.1814	1.5403	2.0055	0.8512
phylum	Campylobacterota	syn2bani_cal	440	0.5857	0.4371	0.1998	0.7897	0.9765
phylum	Campylobacterota	skani	476	0.6616	0.4050	-0.3466	0.8512	0.9893
phylum	Campylobacterota	fastani	476	0.7787	0.5296	-0.6506	0.8375	0.9925
phylum	Cyanobacteria	syn2bani_raw	1704	1.7571	1.5401	1.6341	1.3661	0.8586
phylum	Cyanobacteria	syn2bani_cal	1696	0.7136	0.5504	-0.4546	0.8222	0.9501
phylum	Cyanobacteria	skani	1705	0.8543	0.5800	-0.7341	0.9248	0.9550
phylum	Cyanobacteria	fastani	1705	0.9602	0.7427	-0.9424	0.7373	0.9806
phylum	Firmicutes	syn2bani_raw	3798	1.3149	0.8393	0.8813	1.6762	0.8372
phylum	Firmicutes	syn2bani_cal	3582	0.5649	0.4346	-0.2026	0.7263	0.9687
phylum	Firmicutes	skani	3811	1.0581	0.8000	-0.9293	1.0148	0.9687
phylum	Firmicutes	fastani	3811	1.0698	0.7707	-1.0384	0.9511	0.9803
phylum	Firmicutes_A	syn2bani_raw	2520	2.1806	1.9008	1.9844	1.8548	0.7666
phylum	Firmicutes_A	syn2bani_cal	2505	0.6365	0.4934	0.1743	0.8345	0.9548
phylum	Firmicutes_A	skani	2521	0.8971	0.6800	-0.5976	1.0007	0.9631
phylum	Firmicutes_A	fastani	2521	1.1121	0.8904	-1.0567	0.9674	0.9703
phylum	Firmicutes_C	syn2bani_raw	290	2.0474	1.6828	1.7766	1.9293	0.7898
phylum	Firmicutes_C	syn2bani_cal	288	0.6061	0.4385	0.2821	0.8194	0.9590
