pairid	q_acc	r_acc	status	syn2b_breakpoints	syn2b_scj_distance	syn2b_breakpoint_density	syn2b_inverted_fraction	syn2b_orientation_mismatches	syn2b_orientation_uninformative	syn2b_observable_fraction	syn2b_observable_adjacencies	syn2b_structural	syn2b_shared_tags	syn2b_repeats_dropped	syn2b_landmarks_collapsed	syn2b_circular
GCA_000319535.1__GCA_000319555.1	GCA_000319535.1	GCA_000319555.1	ok	160	321	0.04098	0.08402	328	0	1.0000	3898	0.9209	3904	146	719	false
GCA_000340945.1__GCF_008638355.1	GCA_000340945.1	GCF_008638355.1	ok	32	325	0.00951	0.45541	1532	0	0.9191	3055	0.9037	3364	84	991	false
GCA_000484895.1__GCA_000484935.1	GCA_000484895.1	GCA_000484935.1	ok	1	23	0.00658	0.28289	43	0	0.8217	106	0.8284	152	9	37	false
GCA_001312785.1__GCF_001286765.1	GCA_001312785.1	GCF_001286765.1	ok	3	150	0.00150	0.40249	807	0	0.9291	1836	0.9246	2005	4	504	false
GCA_001914055.1__GCF_001810345.1	GCA_001914055.1	GCF_001810345.1	ok	3	12	0.00474	0.19431	123	0	0.9952	619	0.9809	633	5	150	false
GCA_001914055.1__GCF_014931375.1	GCA_001914055.1	GCF_014931375.1	ok	0	13	0.00000	0.41104	268	0	0.9800	638	0.9801	652	14	143	false
GCA_001916175.1__GCA_003150745.1	GCA_001916175.1	GCA_003150745.1	ok	17	68	0.03991	0.48826	208	0	0.9403	378	0.8415	426	34	118	false
GCA_002169705.1__GCA_902510115.1	GCA_002169705.1	GCA_902510115.1	ok	0	33	0.00000	0.35983	86	0	0.8923	174	0.8458	239	7	66	false
GCA_002170515.2__GCA_002722675.1	GCA_002170515.2	GCA_002722675.1	ok	1	80	0.00122	0.42892	353	0	0.9828	687	0.8956	823	41	311	false
GCA_002279115.1__GCF_004361875.1	GCA_002279115.1	GCF_004361875.1	ok	8	191	0.00534	0.47698	715	0	0.8702	1294	0.8724	1499	25	574	false
