pairid	band	phylum	dnadiff_blocks	dnadiff_inverted_blocks	dnadiff_aligned_bp	dnadiff_inverted_bp	dnadiff_inverted_fraction
GCF_006715835.1__GCF_013408335.1	85-90	Actinobacteriota	1134	119	4236853	356672	0.08418323694496835
GCA_902544135.1__GCA_902541315.1	90-95	Proteobacteria	98	50	777567	456992	0.5877204150896321
GCA_900548775.1__GCA_902773995.1	90-95	Actinobacteriota	571	288	1447100	726001	0.5016937322921705
GCF_000220565.1__GCA_018222585.1	90-95	Proteobacteria	1013	534	3354012	1726412	0.5147304183765592
GCA_004211905.1__GCA_002685195.1	90-95	Proteobacteria	143	49	1407429	568219	0.4037283585886038
GCF_008011665.1__GCF_008245025.1	80-85	Campylobacterota	269	178	951141	628910	0.6612163706537727
GCF_002741105.1__GCF_900115695.1	90-95	Proteobacteria	754	224	4244393	1292660	0.3045570945009098
GCF_003425685.1__GCF_017877055.1	80-85	Proteobacteria	1332	625	3278194	1473582	0.449510309640003
GCF_003054165.1__GCA_019192965.1	80-85	Actinobacteriota	1262	618	2163175	1069085	0.4942203011776671
GCF_002243645.1__GCF_001645685.2	80-85	Firmicutes	882	859	2856650	2830171	0.9907307510545569
GCA_004293365.1__GCA_013299165.1	85-90	Cyanobacteria	3276	1667	4723138	2424093	0.5132378092700235
GCF_000425985.1__GCF_000455825.1	85-90	Actinobacteriota	730	395	3010105	1706286	0.5668526513194723
GCF_003031675.1__GCF_001647715.1	85-90	Proteobacteria	1069	527	4580617	2283193	0.4984466066470958
GCF_002549775.1__GCA_003449675.1	85-90	Firmicutes_A	695	338	1044807	490869	0.46981787066893693
GCA_003209755.1__GCA_003280445.1	90-95	Cyanobacteria	175	67	1107761	366187	0.3305649864907683
GCA_902625035.1__GCA_902624635.1	90-95	Proteobacteria	79	52	687595	439425	0.6390753277728896
GCA_011523395.1__GCA_011523635.1	90-95	Actinobacteriota	754	387	2347798	1223984	0.5213327552029604
GCF_001672755.1__GCF_001667925.1	85-90	Actinobacteriota	927	447	4116726	2088709	0.5073713917321677
GCF_900119365.1__GCF_014649535.1	90-95	Actinobacteriota	1219	675	6061804	3704821	0.6111746602166616
GCF_001424165.1__GCA_003520365.1	85-90	Proteobacteria	1397	747	2184757	1171352	0.5361474983259008
GCF_001885215.1__GCA_013203655.1	90-95	Cyanobacteria	315	117	1685149	705512	0.4186644623116413
GCA_900547475.1__GCF_004353185.1	90-95	Firmicutes_A	601	329	2589151	1474235	0.5693893480913241
GCF_000938265.1__GCF_900177685.1	85-90	Actinobacteriota	582	285	2679839	1523144	0.5683714581361045
GCF_000402035.1__GCA_001189345.1	85-90	Proteobacteria	884	404	2834742	1238190	0.4367910730500342
GCA_017961175.1__GCA_017962375.1	80-85	Bacteroidota	425	275	790050	495357	0.6269944940193659
GCF_000377565.1__GCF_017741815.1	90-95	Proteobacteria	511	259	4532292	2254505	0.49743154236311343
GCA_001604135.1__GCA_016292145.1	85-90	Firmicutes_A	527	262	1866657	1028083	0.5507616021582968
GCA_900553135.1__GCA_905205085.1	85-90	Firmicutes_A	756	371	963131	459353	0.47693719753595304
GCF_900112625.1__GCF_000364445.2	85-90	Proteobacteria	1608	822	3870820	1956180	0.5053657881275802
GCA_902576125.1__GCA_902512325.1	80-85	Proteobacteria	128	58	669554	310490	0.4637266000949886
GCA_902576905.1__GCA_902537235.1	85-90	Proteobacteria	129	59	1007792	476233	0.47255088351564606
GCA_902536925.1__GCA_902518165.1	90-95	Proteobacteria	71	27	617600	260380	0.42159974093264246
