dnadiff_blocks	dnadiff_breakpoints	dnadiff_large_indels	dnadiff_synteny_score	pairid
628	469	308	0.251993620414673	GCA_000007325.1__GCA_000182945.1
764	532	403	0.3027522935779816	GCA_000146855.1__GCA_900167215.1
285	193	147	0.3204225352112676	GCA_000153745.1__GCA_905182285.1
605	450	279	0.2549668874172185	GCA_000154325.1__GCA_002437415.1
588	411	302	0.2998296422487223	GCA_000154325.1__GCA_003512525.1
679	520	332	0.2330383480825958	GCA_000196815.1__GCA_902500715.1
703	536	346	0.2364672364672364	GCA_000196815.1__GCA_902500785.1
244	174	121	0.2839506172839506	GCA_000204585.1__GCA_003569705.1
72	56	35	0.2112676056338028	GCA_000218705.1__GCA_902624085.1
117	82	52	0.2931034482758621	GCA_000218705.1__GCA_902624105.1
125	86	71	0.3064516129032257	GCA_000218705.1__GCA_902624785.1
128	94	63	0.2598425196850393	GCA_000218705.1__GCA_902625845.1
110	83	48	0.2385321100917431	GCA_000218705.1__GCA_902627325.1
71	49	43	0.3	GCA_000218745.1__GCA_000291825.1
87	56	48	0.3488372093023255	GCA_000218745.1__GCA_902627335.1
869	648	424	0.2534562211981567	GCA_000318405.1__GCA_017308115.1
152	107	78	0.2913907284768212	GCA_000378865.1__GCA_016462445.1
110	21	86	0.8073394495412844	GCA_000378885.1__GCA_002284895.1
62	20	43	0.6721311475409837	GCA_000378885.1__GCA_003569265.1
165	119	75	0.274390243902439	GCA_000383115.1__GCA_902537945.1
138	102	71	0.2554744525547445	GCA_000383115.1__GCA_902539895.1
141	93	81	0.3357142857142857	GCA_000383115.1__GCA_902593735.1
176	131	87	0.2514285714285714	GCA_000383115.1__GCA_902595515.1
366	269	162	0.263013698630137	GCA_000383735.1__GCA_002323895.1
135	75	74	0.4402985074626866	GCA_000383815.1__GCA_003569185.1
170	116	91	0.3136094674556213	GCA_000402755.1__GCA_000402815.1
826	615	426	0.2545454545454545	GCA_000403215.2__GCA_910586405.1
711	495	362	0.3028169014084507	GCA_000403275.2__GCA_910585965.1
1422	1015	750	0.2857142857142857	GCA_000403295.2__GCA_910575475.1
789	568	421	0.2791878172588832	GCA_000403335.2__GCA_910578795.1
636	445	336	0.2992125984251969	GCA_000403335.2__GCA_910586715.1
475	351	243	0.259493670886076	GCA_000403475.2__GCA_910578455.1
618	431	329	0.3014586709886547	GCA_000403475.2__GCA_910586965.1
294	196	119	0.3310580204778157	GCA_000405345.1__GCA_000405605.1
80	51	45	0.3544303797468354	GCA_000419465.1__GCA_000371745.1
588	421	284	0.282793867120954	GCA_000431015.1__GCA_000433355.1
655	483	303	0.2614678899082568	GCA_000431075.1__GCA_003533405.1
459	332	236	0.2751091703056768	GCA_000431135.1__GCA_900769115.1
543	389	270	0.2822878228782287	GCA_000431135.1__GCA_902762905.1
502	359	259	0.283433133732535	GCA_000431275.1__GCA_018714085.1
494	344	251	0.3022312373225152	GCA_000431835.1__GCA_002449335.1
668	502	306	0.2473763118440779	GCA_000432135.1__GCA_002404795.1
625	457	293	0.2676282051282052	GCA_000432135.1__GCA_900751035.1
644	481	307	0.2519440124416796	GCA_000432135.1__GCA_902796245.1
314	231	145	0.2619808306709265	GCA_000432375.1__GCA_900757655.1
267	194	131	0.2706766917293233	GCA_000432435.1__GCA_002437245.1
506	364	244	0.2792079207920792	GCA_000432775.1__GCA_018711305.1
474	336	247	0.2896405919661733	GCA_000432775.1__GCA_018712275.1
535	396	263	0.2584269662921348	GCA_000432775.1__GCA_018712545.1
557	397	291	0.2859712230215827	GCA_000432775.1__GCA_019118865.1
