pairid	q_acc	r_acc	species
GCF_001307525.1__GCF_001307585.1	GCF_001307525.1	GCF_001307585.1	Bordetella pertussis
GCF_001307525.1__GCF_001307705.1	GCF_001307525.1	GCF_001307705.1	Bordetella pertussis
GCF_001307525.1__GCF_001307725.1	GCF_001307525.1	GCF_001307725.1	Bordetella pertussis
GCF_001307525.1__GCF_001307745.1	GCF_001307525.1	GCF_001307745.1	Bordetella pertussis
GCF_001307525.1__GCF_001509915.1	GCF_001307525.1	GCF_001509915.1	Bordetella pertussis
GCF_001307525.1__GCF_001605035.1	GCF_001307525.1	GCF_001605035.1	Bordetella pertussis
GCF_001307525.1__GCF_001605155.1	GCF_001307525.1	GCF_001605155.1	Bordetella pertussis
GCF_001307525.1__GCF_001605175.1	GCF_001307525.1	GCF_001605175.1	Bordetella pertussis
GCF_001307525.1__GCF_001605345.1	GCF_001307525.1	GCF_001605345.1	Bordetella pertussis
GCF_001307525.1__GCF_001605365.1	GCF_001307525.1	GCF_001605365.1	Bordetella pertussis
GCF_001307525.1__GCF_001605445.1	GCF_001307525.1	GCF_001605445.1	Bordetella pertussis
GCF_001307525.1__GCF_001605505.1	GCF_001307525.1	GCF_001605505.1	Bordetella pertussis
GCF_001307525.1__GCF_001605585.1	GCF_001307525.1	GCF_001605585.1	Bordetella pertussis
GCF_001307525.1__GCF_001605605.1	GCF_001307525.1	GCF_001605605.1	Bordetella pertussis
GCF_001307525.1__GCF_001605665.1	GCF_001307525.1	GCF_001605665.1	Bordetella pertussis
GCF_001307525.1__GCF_001686505.1	GCF_001307525.1	GCF_001686505.1	Bordetella pertussis
GCF_001307525.1__GCF_001686625.1	GCF_001307525.1	GCF_001686625.1	Bordetella pertussis
GCF_001307525.1__GCF_001831435.1	GCF_001307525.1	GCF_001831435.1	Bordetella pertussis
GCF_001307525.1__GCF_001984965.1	GCF_001307525.1	GCF_001984965.1	Bordetella pertussis
GCF_001307525.1__GCF_001985005.1	GCF_001307525.1	GCF_001985005.1	Bordetella pertussis
GCF_001307525.1__GCF_001985065.1	GCF_001307525.1	GCF_001985065.1	Bordetella pertussis
GCF_001307525.1__GCF_001985085.1	GCF_001307525.1	GCF_001985085.1	Bordetella pertussis
GCF_001307525.1__GCF_001985105.1	GCF_001307525.1	GCF_001985105.1	Bordetella pertussis
GCF_001307525.1__GCF_001985165.1	GCF_001307525.1	GCF_001985165.1	Bordetella pertussis
GCF_001307525.1__GCF_001985245.1	GCF_001307525.1	GCF_001985245.1	Bordetella pertussis
GCF_001307525.1__GCF_001985325.1	GCF_001307525.1	GCF_001985325.1	Bordetella pertussis
GCF_001307525.1__GCF_001985365.1	GCF_001307525.1	GCF_001985365.1	Bordetella pertussis
GCF_001307525.1__GCF_001985425.1	GCF_001307525.1	GCF_001985425.1	Bordetella pertussis
GCF_001307525.1__GCF_001985465.1	GCF_001307525.1	GCF_001985465.1	Bordetella pertussis
GCF_001307525.1__GCF_001985485.1	GCF_001307525.1	GCF_001985485.1	Bordetella pertussis
GCF_001307525.1__GCF_001985505.1	GCF_001307525.1	GCF_001985505.1	Bordetella pertussis
GCF_001307525.1__GCF_001985545.1	GCF_001307525.1	GCF_001985545.1	Bordetella pertussis
GCF_001307525.1__GCF_001985625.1	GCF_001307525.1	GCF_001985625.1	Bordetella pertussis
GCF_001307525.1__GCF_001985645.1	GCF_001307525.1	GCF_001985645.1	Bordetella pertussis
