tool	phase	n	rep	wall_s	max_rss_kb	exit_status	timestamp_utc	store_bytes
syn2bani	sketch	100	1	9.41	236764	0	2026-08-14T17:28:30Z	11813431
skani	sketch	100	1	2.55	161588	0	2026-08-14T17:28:44Z	39984674
syn2bani	sketch	100	2	36.17	239380	0	2026-08-14T17:29:21Z	11813431
skani	sketch	100	2	8.75	167824	0	2026-08-14T17:29:30Z	39984674
syn2bani	sketch	100	3	5.24	275504	0	2026-08-14T17:29:36Z	11813431
skani	sketch	100	3	6.08	197724	0	2026-08-14T17:29:42Z	39984674
syn2bani	sketch	500	1	9.88	410012	0	2026-08-14T17:29:53Z	52336124
skani	sketch	500	1	11.64	525492	0	2026-08-14T17:30:05Z	181214800
syn2bani	sketch	500	2	2.24	521132	0	2026-08-14T17:30:08Z	52336124
skani	sketch	500	2	3.8	514624	0	2026-08-14T17:30:12Z	181214800
syn2bani	sketch	500	3	3.46	519048	0	2026-08-14T17:30:15Z	52336124
skani	sketch	500	3	4.98	527080	0	2026-08-14T17:30:20Z	181214800
syn2bani	sketch	2000	1	13.02	769124	0	2026-08-14T17:33:48Z	201366858
skani	sketch	2000	1	1.04	517724	0	2026-08-14T17:33:49Z	705503050
syn2bani	sketch	2000	2	3.29	734292	0	2026-08-14T17:33:54Z	201366858
skani	sketch	2000	2	0.98	507072	0	2026-08-14T17:33:55Z	705503050
syn2bani	sketch	5000	1	20.32	1224804	0	2026-08-14T17:34:17Z	491098099
skani	sketch	5000	1	2.54	1099228	0	2026-08-14T17:34:19Z	1745311852
