query	ref	truth_ani_mle_v8	ani_mle_rerun	ani_gated	dist_chainedkmer	dist_gbrt_v7	dist_af_q	dist_af_r	dist_shared_tags	dist_status
GCF_014251575.1	GCF_011290385.1	84.9698	84.9698	84.9698	NA	NA	NA	NA	NA	screened_out
GCF_000321025.1	GCF_900176605.1	84.6923	84.6923	88.6698	NA	NA	NA	NA	NA	screened_out
GCF_002953655.1	GCF_001436415.1	81.4647	81.4647	88.8429	NA	NA	NA	NA	NA	screened_out
GCF_000421765.1	GCA_012728315.1	81.7724	81.7724	89.0333	NA	NA	NA	NA	NA	screened_out
GCF_019186785.1	GCF_000964795.1	81.7348	81.7348	88.0474	NA	NA	NA	NA	NA	screened_out
GCA_018433595.1	GCA_018398915.1	82.4586	82.4586	88.5611	NA	NA	NA	NA	NA	screened_out
GCA_002838205.1	GCA_016865445.1	81.1441	81.1441	88.6513	NA	NA	NA	NA	NA	screened_out
GCF_000472665.1	GCA_016213825.1	84.9192	84.9192	84.9192	NA	NA	NA	NA	NA	screened_out
GCF_003600645.1	GCF_000754805.1	83.5449	83.5449	88.7040	NA	NA	NA	NA	NA	screened_out
GCA_017555825.1	GCA_017532725.1	83.3148	83.3148	91.6113	NA	NA	NA	NA	NA	screened_out
GCA_002779605.1	GCA_001871195.1	82.9030	82.9030	89.2254	NA	NA	NA	NA	NA	screened_out
GCF_001183965.1	GCF_008935075.1	82.9200	82.9200	88.7204	NA	NA	NA	NA	NA	screened_out
GCF_000264765.2	GCF_000341505.1	82.6685	82.6685	88.3979	NA	NA	NA	NA	NA	screened_out
GCF_001269365.1	GCF_001269345.1	83.6800	83.6800	89.9714	NA	NA	NA	NA	NA	screened_out
GCF_000276805.1	GCF_018219455.1	84.5995	84.5995	88.6051	NA	NA	NA	NA	NA	screened_out
GCF_004362855.1	GCA_001770725.1	81.6131	81.6131	88.9757	NA	NA	NA	NA	NA	screened_out
GCF_000428045.1	GCA_007713595.1	82.2858	82.2858	92.1829	NA	NA	NA	NA	NA	screened_out
GCF_900115465.1	GCF_900115605.1	81.6201	81.6201	87.8402	NA	NA	NA	NA	NA	screened_out
GCA_018831085.1	GCF_017824735.1	83.9204	83.9204	88.4223	NA	NA	NA	NA	NA	screened_out
GCA_002724925.1	GCF_900156675.1	81.2978	81.2978	90.0796	NA	NA	NA	NA	NA	screened_out
GCF_003149145.1	GCF_015390235.1	84.9904	84.9904	84.9904	NA	NA	NA	NA	NA	screened_out
GCF_903819165.1	GCA_902363535.1	84.7773	84.7773	92.4592	NA	NA	NA	NA	NA	screened_out
GCF_018282095.1	GCF_900143565.1	84.2966	84.2966	88.4856	NA	NA	NA	NA	NA	screened_out
GCA_902168135.1	GCF_000194605.1	83.6848	83.6848	92.0067	NA	NA	NA	NA	NA	screened_out
GCF_005280275.1	GCF_001996165.1	81.3342	81.3342	88.6563	NA	NA	NA	NA	NA	screened_out
GCF_009800925.1	GCF_000427805.1	82.1332	82.1332	89.0694	NA	NA	NA	NA	NA	screened_out
GCA_016718035.1	GCA_016706255.1	84.4282	84.4282	84.4282	NA	NA	NA	NA	NA	screened_out
GCA_018883125.1	GCA_018882895.1	84.7688	84.7688	90.2195	NA	NA	NA	NA	NA	screened_out
GCF_014076845.1	GCF_001767295.1	84.0862	84.0862	89.6599	NA	NA	NA	NA	NA	screened_out
GCA_013215385.1	GCF_001767295.1	84.7463	84.7463	91.7468	NA	NA	NA	NA	NA	screened_out
GCA_016716185.1	GCA_016719615.1	80.6744	80.6744	80.6744	NA	NA	NA	NA	NA	screened_out
GCA_002709005.1	GCA_002707605.1	81.5977	81.5977	88.8461	NA	NA	NA	NA	NA	screened_out
GCF_000381825.1	GCF_000377785.1	84.7417	84.7417	84.7417	NA	NA	NA	NA	NA	screened_out
GCF_003841405.1	GCF_000423785.1	81.0022	81.0022	91.8479	NA	NA	NA	NA	NA	screened_out
GCF_900113005.1	GCF_009847015.1	84.6563	84.6563	93.6422	NA	NA	NA	NA	NA	screened_out
GCF_000577615.1	GCF_001189955.1	82.7834	82.7834	88.5667	NA	NA	NA	NA	NA	screened_out
GCF_003386555.1	GCF_003589885.1	84.3706	84.3706	88.6448	NA	NA	NA	NA	NA	screened_out
GCF_006538985.1	GCF_007670255.1	82.7771	82.7771	88.0914	NA	NA	NA	NA	NA	screened_out
GCA_012517865.1	GCA_002436085.1	80.2025	80.2025	88.7200	NA	NA	NA	NA	NA	screened_out
GCA_900547955.1	GCA_003150515.1	83.3923	83.3923	90.5763	NA	NA	NA	NA	NA	screened_out
GCA_002719675.1	GCA_009392295.1	82.9149	82.9149	88.2156	NA	NA	NA	NA	NA	screened_out
GCA_902518505.1	GCA_902599045.1	82.4875	82.4875	88.7486	NA	NA	NA	NA	NA	screened_out
GCF_014518315.1	GCA_002409405.1	83.7406	83.7406	89.1229	NA	NA	NA	NA	NA	screened_out
GCF_000023925.1	GCF_002847825.1	84.2416	84.2416	89.2702	NA	NA	NA	NA	NA	screened_out
GCA_002067045.1	GCA_002497075.1	84.3037	84.3037	84.3037	NA	NA	NA	NA	NA	screened_out
GCF_017377875.1	GCF_004319585.1	83.7535	83.7535	88.3566	NA	NA	NA	NA	NA	screened_out
GCA_002696345.1	GCA_002722845.1	83.5524	83.5524	88.9689	NA	NA	NA	NA	NA	screened_out
GCF_000011905.1	GCF_000830885.1	84.2675	84.2675	89.5551	NA	NA	NA	NA	NA	screened_out
GCA_002329485.1	GCA_012838545.1	82.4268	82.4268	88.0060	NA	NA	NA	NA	NA	screened_out
GCF_014837155.1	GCF_900104555.1	83.6328	83.6328	87.7200	NA	NA	NA	NA	NA	screened_out
GCF_003049525.1	GCA_007362955.1	83.7543	83.7543	88.7176	NA	NA	NA	NA	NA	screened_out
GCF_008329715.1	GCF_007748195.1	82.2213	82.2213	89.1250	NA	NA	NA	NA	NA	screened_out
GCF_009797025.1	GCF_900102165.1	82.7739	82.7739	89.2042	NA	NA	NA	NA	NA	screened_out
GCA_018650465.1	GCA_018654745.1	80.4761	80.4761	91.2415	NA	NA	NA	NA	NA	screened_out
GCA_013154135.1	GCA_015489285.1	81.3140	81.3140	97.9656	NA	NA	NA	NA	NA	screened_out
GCF_007993975.1	GCF_002855555.1	83.6739	83.6739	88.9150	NA	NA	NA	NA	NA	screened_out
GCF_002744755.1	GCF_900130045.1	82.2329	82.2329	89.7901	NA	NA	NA	NA	NA	screened_out
GCA_900553355.1	GCF_001754075.1	83.8179	83.8179	89.1953	NA	NA	NA	NA	NA	screened_out
GCA_003242885.1	GCA_012965515.1	84.7396	84.7396	91.8081	NA	NA	NA	NA	NA	screened_out
GCF_014596945.1	GCF_014596975.1	80.0940	80.0940	91.4023	NA	NA	NA	NA	NA	screened_out
GCF_900564145.1	GCF_014207855.1	83.1971	83.1971	88.3353	NA	NA	NA	NA	NA	screened_out
GCA_003481775.1	GCA_017161075.1	83.3356	83.3356	90.7579	NA	NA	NA	NA	NA	screened_out
GCA_905182375.1	GCA_902605755.1	82.8080	82.8080	82.8080	NA	NA	NA	NA	NA	screened_out
GCF_003339585.1	GCF_000685865.1	81.2147	81.2147	88.3986	NA	NA	NA	NA	NA	screened_out
GCA_017883385.1	GCA_003134655.1	83.8701	83.8701	90.1073	NA	NA	NA	NA	NA	screened_out
GCF_002797325.1	GCF_000005825.2	84.7423	84.7423	84.7423	NA	NA	NA	NA	NA	screened_out
GCF_002844195.1	GCA_004116405.1	84.0403	84.0403	88.7390	NA	NA	NA	NA	NA	screened_out
GCF_015265435.1	GCF_000300005.1	82.8411	82.8411	89.4935	NA	NA	NA	NA	NA	screened_out
GCF_009755225.1	GCF_013377905.1	80.5751	80.5751	92.7079	NA	NA	NA	NA	NA	screened_out
GCF_900141775.1	GCF_001996005.1	83.4318	83.4318	91.3059	NA	NA	NA	NA	NA	screened_out
GCF_001426245.1	GCF_001428025.1	84.5914	84.5914	88.7279	NA	NA	NA	NA	NA	screened_out
GCA_016742255.1	GCF_004770145.1	83.5880	83.5880	88.1402	NA	NA	NA	NA	NA	screened_out
GCA_014859445.1	GCF_014652515.1	83.0258	83.0258	90.7618	NA	NA	NA	NA	NA	screened_out
GCF_014645535.1	GCF_014645555.1	84.1327	84.1327	88.9148	NA	NA	NA	NA	NA	screened_out
GCF_003576525.1	GCF_007988965.1	80.3684	80.3684	87.6446	NA	NA	NA	NA	NA	screened_out
GCA_902546975.1	GCA_902599045.1	84.7314	84.7314	90.0806	NA	NA	NA	NA	NA	screened_out
GCA_017577715.1	GCA_000526435.1	84.3163	84.3163	93.2534	NA	NA	NA	NA	NA	screened_out
GCF_003121705.1	GCF_004786095.1	84.8185	84.8185	84.8185	NA	NA	NA	NA	NA	screened_out
GCF_010231475.1	GCF_015672735.1	83.4907	83.4907	88.9070	NA	NA	NA	NA	NA	screened_out
GCF_000424005.1	GCA_017557435.1	81.9780	81.9780	88.7303	NA	NA	NA	NA	NA	screened_out
GCF_000803625.1	GCA_015257705.1	81.5016	81.5016	92.5068	NA	NA	NA	NA	NA	screened_out
GCF_000183545.2	GCF_000184705.1	84.1712	84.1712	88.5327	NA	NA	NA	NA	NA	screened_out
GCF_014202595.1	GCF_001696685.1	84.4011	84.4011	88.7203	NA	NA	NA	NA	NA	screened_out
GCF_013408305.1	GCF_004364645.1	80.6453	80.6453	88.4259	NA	NA	NA	NA	NA	screened_out
GCF_000758985.1	GCF_016907775.1	83.8256	83.8256	88.8102	NA	NA	NA	NA	NA	screened_out
