	all	0.8-0.85	0.85-0.9	0.9-0.95	0.95-0.99	frac_gamma
gap_lh <= 6 else uniform	2.8096328300048707	3.315237796976241	3.4952054282267797	1.817499274310595	1.158872222222223	0.974184120798831
gap_lh <= 5 else uniform (CHOSEN)	2.8194400876765706	3.368649676025917	3.4896621230398077	1.817499274310595	1.158872222222223	0.9454456892352655
LRT>3.841 & gap_lh<=5	2.8194400876765706	3.368649676025917	3.4896621230398077	1.817499274310595	1.158872222222223	0.6005845104724793
BIC & gap_lh<=5	2.8518771553823674	3.4335626349892	3.522276960193004	1.830929898403483	1.1623055555555561	0.547491475888943
always_gamma (current, LRT>3.841)	2.8809092547491475	3.571018358531317	3.5288653799758745	1.817499274310595	1.158872222222223	1.0
chi-bar-square boundary: lrt > 2.706	2.8809092547491475	3.571018358531317	3.5288653799758745	1.817499274310595	1.158872222222223	0.6673161227471992
BIC: lrt > ln(n_tags)	2.9133463224549443	3.6359313174945997	3.5614802171290716	1.830929898403483	1.1623055555555561	0.5869459327812957
LRT > 6	2.9160206527033603	3.64450475161987	3.5648399276236438	1.829374310595065	1.1596319444444452	0.5937652216268875
gap_lh <= 4 else uniform	2.946990014612762	3.6611332613390926	3.631315681544029	1.830575181422351	1.158872222222223	0.8762786166585484
LRT > 10	2.9607071602532877	3.7329222462203018	3.6097527141133905	1.846455587808418	1.1846652777777784	0.5367754505601559
LRT > 20	3.0530461276181198	3.9158205183585313	3.7066208685162847	1.8783378809869375	1.221045833333334	0.44520214320506574
|gamma-uniform| <= 2*SE else uniform	3.492483000487092	4.096494384449244	4.262792400482509	2.3626252539912915	1.551208333333334	0.4023380418899172
always_uniform	3.502883682415977	4.098080345572353	4.271110977080821	2.380742815674891	1.568419444444445	0.0
