	all	0.8-0.85	0.85-0.9	0.9-0.95	0.95-0.99	n
oracle	2.787769264490988	3.2735667386609064	3.477938238841978	1.8020640058055153	1.1499444444444453	2053.0
always_gamma	2.8809092547491475	3.571018358531317	3.5288653799758745	1.817499274310595	1.158872222222223	2053.0
('always_gamma', None)	2.8809092547491475	3.571018358531317	3.5288653799758745	1.817499274310595	1.158872222222223	2053.0
('retention', 0.25)	2.892698928397467	3.5995231101511873	3.542142219541617	1.817499274310595	1.158872222222223	2053.0
('nanchors', 200)	2.900243886994642	3.5746654427645783	3.5696839565741856	1.8229370101596514	1.1647083333333343	2053.0
('nanchors', 400)	2.9644594739405745	3.685444060475161	3.6588033775633293	1.832429898403483	1.1664236111111121	2053.0
('retention', 0.3)	2.983715879201169	3.8415952483801292	3.6323453558504224	1.817499274310595	1.158872222222223	2053.0
('nanchors', 600)	3.048250219191427	3.820520734341252	3.764044752714114	1.8641516690856317	1.1717083333333342	2053.0
('retention', 0.35)	3.0556399415489532	3.954309287257019	3.7475124246079616	1.817499274310595	1.158872222222223	2053.0
('retention_shape', (0.35, 0.15))	3.055787286897224	3.954309287257019	3.7475124246079616	1.8179383164005802	1.158872222222223	2053.0
('retention_shape', (0.35, 0.3))	3.0583495859717487	3.954309287257019	3.7475124246079616	1.8249632801161102	1.1647083333333343	2053.0
('retention_shape', (0.35, 0.5))	3.0656717973697027	3.962308207343412	3.7580033775633295	1.8249632801161102	1.2012638888888898	2053.0
('nanchors', 800)	3.109644227959084	3.8540360691144704	3.862749095295537	1.9044195936139332	1.1849555555555564	2053.0
('retention', 0.4)	3.1279030686799807	4.041528941684665	3.871655006031363	1.824842235123367	1.158872222222223	2053.0
('nanchors', 1000)	3.1624596687773985	3.929758531317494	3.9335472858866107	1.9237616835994196	1.2037361111111118	2053.0
('retention', 0.45)	3.192002240623478	4.060180561555075	3.9962147165259347	1.8534342525399126	1.158872222222223	2053.0
('retention_shape', (0.45, 0.15))	3.192149585971749	4.060180561555075	3.9962147165259347	1.8538732946298981	1.158872222222223	2053.0
('retention_shape', (0.45, 0.3))	3.194711885046274	4.060180561555075	3.9962147165259347	1.860898258345428	1.1647083333333343	2053.0
('retention_shape', (0.45, 0.5))	3.202034096444228	4.068179481641468	4.006705669481303	1.860898258345428	1.2012638888888898	2053.0
('retention', 0.5)	3.2668197272284463	4.073817494600432	4.101890832328106	1.940053846153846	1.158872222222223	2053.0
('retention', 0.55)	3.312642279590843	4.074945140388769	4.14645958986731	2.022207837445573	1.158872222222223	2053.0
('retention_shape', (0.55, 0.15))	3.3127896249391138	4.074945140388769	4.14645958986731	2.022646879535558	1.158872222222223	2053.0
('retention_shape', (0.55, 0.3))	3.315351924013638	4.074945140388769	4.14645958986731	2.029671843251088	1.1647083333333343	2053.0
('retention_shape', (0.55, 0.5))	3.3226741354115927	4.082944060475161	4.156950542822678	2.029671843251088	1.2012638888888898	2053.0
('retention', 0.6)	3.3542240623477837	4.088174730021597	4.18783015681544	2.0874413642960814	1.158872222222223	2053.0
('retention', 0.65)	3.3975396492937167	4.090081425485961	4.219217732207479	2.1774613933236573	1.158872222222223	2053.0
('retention_disc', (0.4, 5))	3.4224901120311744	4.063676025917926	4.176470325693606	2.286412336719884	1.4896972222222227	2053.0
('retention', 0.7)	3.430462640038967	4.090081425485961	4.23600205066345	2.255366618287373	1.158872222222223	2053.0
('retention_disc', (0.5, 5))	3.447469118363371	4.087205615550755	4.219907478890229	2.292766908563135	1.4896972222222227	2053.0
('retention_disc', (0.4, 3))	3.4662727715538235	4.086804103671706	4.228583715319662	2.3366496371552974	1.5086138888888894	2053.0
('retention_disc', (0.5, 3))	3.4759293716512425	4.09536414686825	4.246403256936068	2.3382306240928883	1.5086138888888894	2053.0
('retention_disc', (0.4, 2))	3.493002727715538	4.096494384449244	4.264079493365501	2.3626252539912915	1.551208333333334	2053.0
('retention_disc', (0.5, 2))	3.4940653190452995	4.098080345572353	4.265509288299156	2.3630053701015963	1.551208333333334	2053.0
('always_uniform', None)	3.502883682415977	4.098080345572353	4.271110977080821	2.380742815674891	1.568419444444445	2053.0
always_uniform	3.502883682415977	4.098080345572353	4.271110977080821	2.380742815674891	1.568419444444445	2053.0
