q_acc	r_acc	ani_u	se_u	ani_g_raw	alpha_raw	lrt	nll_het	nll_null	n_tags	retention
GCA_019058015.1	GCA_019058135.1	97.20735794959698	0.19375590468550616	96.93031123809236	2.443971219232322	3.7938248500479403	401.95065715970463	403.8475695847286	326	0.8202494184888697
GCA_004124405.1	GCA_012964845.1	95.13986268104885	0.5621674685805488	94.78498273539444	4.472135954999578	0.7362001479743014	98.62277374245097	98.99087381643812	74	0.6628744852182541
GCA_016217785.1	GCF_000302455.1	88.66435727260283	0.3861105374581154	86.6165127426165	4.604494093647612	7.618655659703563	431.5413297580489	435.3506575879007	550	0.2484501182223576
GCF_000737335.2	GCF_002994635.1	91.36288458914431	0.07316453229694737	90.26203338720829	4.94256752467296	126.4510819860152	9014.180305686801	9077.405846679809	9012	0.36161379924250076
GCF_900110215.1	GCF_004118325.1	91.11423546719689	0.12035390481047843	88.70710359978754	2.7010566988485465	132.76384143552787	3516.2477612227526	3582.6296819405165	3634	0.3520805345723064
GCF_002844195.1	GCA_004116405.1	88.73902601454748	0.17023244352258773	84.0402573089369	2.5163034302254443	108.9947351264027	2027.8353256402247	2082.332693203426	2811	0.22828838360635537
GCF_900114115.1	GCF_014873765.1	95.61211547629213	0.05979814981165678	95.0646009589546	2.780997657853321	124.9973507486884	7441.760424168543	7504.259099542887	5625	0.690175333221476
GCA_003151335.1	GCA_003152695.1	93.04472345842107	0.08190331459908867	92.51507971247061	5.961986549755308	51.591726256318	6237.343775078796	6263.139638206955	5261	0.4848246692341703
GCF_009601705.1	GCF_019175345.1	90.44817654800616	0.23351696614766082	90.47981581005529	41.05021284117567	0.27495621347134147	1084.6206822902539	1084.7581603969895	1091	0.3492040805682548
GCA_018397055.1	GCA_018397065.1	92.39563031967126	0.32706662952218946	92.4753912970861	81.98513025268825	0.024287775760967634	454.1189517801577	454.1310956680382	381	0.4604063647615993
GCA_015482705.2	GCF_003182595.1	92.37482806185298	0.10554089633760917	90.18643061329998	2.1748454368142185	194.60659950137415	4139.006960373281	4236.310260123968	3771	0.441784370717815
GCF_000445425.4	GCF_000500045.1	85.64808349440969	0.43975239173831265	84.66398364774098	12.259636460162035	1.3982227521014465	384.6341087947026	385.33322017075335	691	0.14921956080333143
GCF_017874335.1	GCF_014647115.1	92.00281004175392	0.14507645767271896	88.94620303963853	1.8332432438918538	142.50162458594787	2231.0912966358305	2302.3421089288045	2155	0.4098755492005809
GCA_902525615.1	GCA_902624275.1	91.48764976875682	0.33453312710280986	90.21800867745856	3.8171879095811088	9.228849699065677	492.2562170211677	496.8706418707005	454	0.4113335346596011
