query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	query_asm	ref_asm	band	anim_ani	skani_ani
JACAUA010000001.1	CAIMBM010000001.1	90.1088	90.1088	0.1505	0.1765	0.2386	43	0.3261	560	inf	0.2977	90.0129	91.2189	2.7557	6.95	AlfI:90.31,AloI:89.62,BcgI:89.09,FalI:91.84	832	43	1067	13	7.3023255813953485	INCONSISTENT	GCA_013390615.1	GCA_903839205.1	0.8-0.85	85.8089	83.75
MNDG01000112.1	MNGW01000128.1	91.6093	91.6093	0.163	0.1607	0.23036	45	0.5398	243	inf	0.3849	91.548	91.8875	1.6918	2.11	AlfI:92.43,AloI:91.77,BcgI:91.34,FalI:90.74	653	45	856	13	7.333333333333333	ok	GCA_001914815.1	GCA_001918935.1	0.8-0.85	86.897	84.58
WVZK01000188.1	DRHQ01000001.1	90.0483	90.0483	0.1027	0.0983	0.40336	16	0.1607	559	inf	0.3243	90.0398	90.1594	1.7056	0.74	AlfI:91.09,AloI:91.04,BcgI:89.38,FalI:89.87	747	16	386	12	7.6875	ok	GCA_011772475.1	GCA_011049545.1	0.8-0.85	86.5123	83.0
JAEUQR010000140.1	JAGNJW010000010.1	87.553	88.6536	0.353	0.3386	0.14022	67	0.6851	341	8.426	0.2135	88.4253	91.1517	5.0893	16.37	AlfI:88.88,AloI:86.02,BcgI:88.43,FalI:91.11	1238	67	4015	56	12.07462686567164	INCONSISTENT	GCA_016789705.1	GCA_018000455.1	0.8-0.85	84.7165	82.74000000000001
JADKKO010000001.1	JADKJH010000001.1	82.7686	87.9081	0.6561	0.6362	0.15607	30	0.7494	212	2.701	0.1934	87.3603	92.9209	2.1546	5.81	AlfI:88.48,AloI:86.33,BcgI:88.17,FalI:87.55	850	30	3832	92	22.133333333333333	BELOW_DETECTION	GCA_016720465.1	GCA_016722505.1	0.8-0.85	85.8692	83.71
NZ_KE386810.1	JAFJUR010000243.1	91.1827	91.1827	0.1985	0.2074	0.21212	47	0.4105	504	inf	0.3648	91.0966	91.6176	4.1028	7.9	AlfI:91.25,AloI:88.21,BcgI:91.29,FalI:92.32	886	47	1113	28	8.46808510638298	ok	GCF_000428885.1	GCA_017859995.1	0.8-0.85	86.0336	84.45
JACPTI010000073.1	MELF01000001.1	89.8413	90.7545	0.3956	0.3957	0.12065	88	0.7619	325	6.507	0.3252	90.4407	92.679	0.5703	0.28	AlfI:90.79,AloI:90.48,BcgI:90.75,FalI:91.05	1491	88	3708	55	12.818181818181818	INCONSISTENT	GCA_016192845.1	GCA_001767525.1	0.8-0.85	87.3813	84.89
VXWI01000044.1	MPMW01000159.1	90.2316	90.2316	0.1444	0.1747	0.27839	27	0.4081	293	inf	0.3042	90.0671	91.5159	3.5395	6.17	AlfI:90.10,AloI:89.56,BcgI:89.90,FalI:93.10	589	27	776	19	8.481481481481481	INCONSISTENT	GCA_009835985.1	GCA_002238705.1	0.8-0.85	86.3103	84.78999999999999
DPET01000082.1	BJFQ01000001.1	89.077	89.077	0.0464	0.0282	1.41445	1	0.2424	25	inf	0.2549	88.6917	92.6648	3.474	0.34	AlfI:90.29,AloI:91.22,BcgI:87.74,FalI:88.61	78	1	38	9	9.0	ok	GCA_003530835.1	GCA_014189895.1	0.8-0.85	83.7562	84.24000000000001
DIAY01000048.1	JADKBZ010000001.1	89.8214	90.6409	0.1675	0.1091	0.2218	46	0.4504	382	6.985	0.33	90.3419	92.6185	4.5949	9.58	AlfI:88.08,AloI:89.78,BcgI:90.46,FalI:92.67	910	46	1148	17	7.804347826086956	INCONSISTENT	GCA_002414905.1	GCA_016714815.1	0.8-0.85	86.0132	84.91
