species	isolate	sra_run
Neisseria_gonorrhoeae	NG_01	SRR24303588
Neisseria_gonorrhoeae	NG_02	SRR24303589
Neisseria_gonorrhoeae	NG_03	SRR24303590
Neisseria_gonorrhoeae	NG_04	SRR24303591
Neisseria_gonorrhoeae	NG_05	SRR24303592
Neisseria_gonorrhoeae	NG_06	SRR24303593
Neisseria_gonorrhoeae	NG_07	SRR24303594
Neisseria_gonorrhoeae	NG_08	SRR24303595
Neisseria_gonorrhoeae	NG_09	SRR24303596
Neisseria_gonorrhoeae	NG_10	SRR24303597
Neisseria_gonorrhoeae	NG_11	SRR24303598
Neisseria_gonorrhoeae	NG_12	SRR24303599
