species	isolate	mouse	day	biosample	sra_run
Escherichia_coli_hypermutator	M1_d136_cloneE10	M1	136	SAMN13151945	SRR10358479
Escherichia_coli_hypermutator	M1_d136_cloneG2	M1	136	SAMN13151946	SRR10358469
Escherichia_coli_hypermutator	M1_d148_cloneCL1	M1	148	SAMN13151947	SRR10358468
Escherichia_coli_hypermutator	M1_d148_cloneCS1	M1	148	SAMN13151948	SRR10358467
Escherichia_coli_hypermutator	M1_d148_cloneCS4	M1	148	SAMN13151949	SRR10358466
Escherichia_coli_hypermutator	M1_d148_cloneCS6	M1	148	SAMN13151950	SRR10358465
Escherichia_coli_hypermutator	M1_d148_cloneCS7	M1	148	SAMN13151951	SRR10358464
Escherichia_coli_hypermutator	M1_d190_clone24	M1	190	SAMN13151952	SRR10358463
Escherichia_coli_hypermutator	M1_d190_clone35	M1	190	SAMN13151953	SRR10358489
Escherichia_coli_hypermutator	M1_d190_clone40	M1	190	SAMN13151954	SRR10358488
Escherichia_coli_hypermutator	M1_d190_cloneL1	M1	190	SAMN13151955	SRR10358487
Escherichia_coli_hypermutator	M1_d190_cloneM1	M1	190	SAMN13151956	SRR10358486
Escherichia_coli_hypermutator	M1_d190_cloneS2	M1	190	SAMN13151957	SRR10358485
Escherichia_coli_hypermutator	M1_d190_cloneS8	M1	190	SAMN13151960	SRR10358482
Escherichia_coli_hypermutator	M1_d190_cloneS9	M1	190	SAMN13151961	SRR10358481
Escherichia_coli_hypermutator	M2_d190_clone26	M2	190	SAMN13151962	SRR10358480
Escherichia_coli_hypermutator	M2_d190_clone30	M2	190	SAMN13151964	SRR10358477
Escherichia_coli_hypermutator	M3_d190_clone15	M3	190	SAMN13151966	SRR10358475
Escherichia_coli_hypermutator	M3_d190_clone17	M3	190	SAMN13151967	SRR10358474
Escherichia_coli_hypermutator	M4_d190_clone14	M4	190	SAMN13151968	SRR10358473
Escherichia_coli_hypermutator	M4_d190_clone16	M4	190	SAMN13151969	SRR10358472
Escherichia_coli_hypermutator	M4_d190_clone21	M4	190	SAMN13151970	SRR10358471
Escherichia_coli_hypermutator	M4_d190_clone22	M4	190	SAMN13151971	SRR10358470
