query	reference
NG_01	NG_02
NG_01	NG_03
NG_01	NG_04
NG_01	NG_05
NG_01	NG_06
NG_01	NG_07
NG_01	NG_08
NG_01	NG_09
NG_01	NG_10
NG_01	NG_11
NG_01	NG_12
NG_02	NG_03
NG_02	NG_04
NG_02	NG_05
NG_02	NG_06
NG_02	NG_07
NG_02	NG_08
NG_02	NG_09
NG_02	NG_10
NG_02	NG_11
NG_02	NG_12
NG_03	NG_04
NG_03	NG_05
NG_03	NG_06
NG_03	NG_07
NG_03	NG_08
NG_03	NG_09
NG_03	NG_10
NG_03	NG_11
NG_03	NG_12
NG_04	NG_05
NG_04	NG_06
NG_04	NG_07
NG_04	NG_08
NG_04	NG_09
NG_04	NG_10
NG_04	NG_11
NG_04	NG_12
NG_05	NG_06
NG_05	NG_07
NG_05	NG_08
NG_05	NG_09
NG_05	NG_10
NG_05	NG_11
NG_05	NG_12
NG_06	NG_07
NG_06	NG_08
NG_06	NG_09
NG_06	NG_10
NG_06	NG_11
NG_06	NG_12
NG_07	NG_08
NG_07	NG_09
NG_07	NG_10
NG_07	NG_11
NG_07	NG_12
NG_08	NG_09
NG_08	NG_10
NG_08	NG_11
NG_08	NG_12
NG_09	NG_10
NG_09	NG_11
NG_09	NG_12
NG_10	NG_11
NG_10	NG_12
NG_11	NG_12
