query	reference
SR_01	SR_02
SR_01	SR_03
SR_01	SR_04
SR_01	SR_05
SR_01	SR_06
SR_01	SR_07
SR_01	SR_08
SR_01	SR_09
SR_01	SR_10
SR_01	SR_11
SR_01	SR_12
SR_01	SR_13
SR_01	SR_14
SR_01	SR_15
SR_01	SR_16
SR_01	SR_17
SR_01	SR_18
SR_01	SR_19
SR_01	SR_20
SR_02	SR_03
SR_02	SR_04
SR_02	SR_05
SR_02	SR_06
SR_02	SR_07
SR_02	SR_08
SR_02	SR_09
SR_02	SR_10
SR_02	SR_11
SR_02	SR_12
SR_02	SR_13
SR_02	SR_14
SR_02	SR_15
SR_02	SR_16
SR_02	SR_17
SR_02	SR_18
SR_02	SR_19
SR_02	SR_20
SR_03	SR_04
SR_03	SR_05
SR_03	SR_06
SR_03	SR_07
SR_03	SR_08
SR_03	SR_09
SR_03	SR_10
SR_03	SR_11
SR_03	SR_12
SR_03	SR_13
SR_03	SR_14
SR_03	SR_15
SR_03	SR_16
SR_03	SR_17
SR_03	SR_18
SR_03	SR_19
SR_03	SR_20
SR_04	SR_05
SR_04	SR_06
SR_04	SR_07
SR_04	SR_08
SR_04	SR_09
SR_04	SR_10
SR_04	SR_11
SR_04	SR_12
SR_04	SR_13
SR_04	SR_14
SR_04	SR_15
SR_04	SR_16
SR_04	SR_17
SR_04	SR_18
SR_04	SR_19
SR_04	SR_20
SR_05	SR_06
SR_05	SR_07
SR_05	SR_08
SR_05	SR_09
SR_05	SR_10
SR_05	SR_11
SR_05	SR_12
SR_05	SR_13
SR_05	SR_14
SR_05	SR_15
SR_05	SR_16
SR_05	SR_17
SR_05	SR_18
SR_05	SR_19
SR_05	SR_20
SR_06	SR_07
SR_06	SR_08
SR_06	SR_09
SR_06	SR_10
SR_06	SR_11
SR_06	SR_12
SR_06	SR_13
SR_06	SR_14
SR_06	SR_15
SR_06	SR_16
SR_06	SR_17
SR_06	SR_18
SR_06	SR_19
SR_06	SR_20
SR_07	SR_08
SR_07	SR_09
SR_07	SR_10
SR_07	SR_11
SR_07	SR_12
SR_07	SR_13
SR_07	SR_14
SR_07	SR_15
SR_07	SR_16
SR_07	SR_17
SR_07	SR_18
SR_07	SR_19
SR_07	SR_20
SR_08	SR_09
SR_08	SR_10
SR_08	SR_11
SR_08	SR_12
SR_08	SR_13
SR_08	SR_14
SR_08	SR_15
SR_08	SR_16
SR_08	SR_17
SR_08	SR_18
SR_08	SR_19
SR_08	SR_20
SR_09	SR_10
SR_09	SR_11
SR_09	SR_12
SR_09	SR_13
SR_09	SR_14
SR_09	SR_15
SR_09	SR_16
SR_09	SR_17
SR_09	SR_18
SR_09	SR_19
SR_09	SR_20
SR_10	SR_11
SR_10	SR_12
SR_10	SR_13
SR_10	SR_14
SR_10	SR_15
SR_10	SR_16
SR_10	SR_17
SR_10	SR_18
SR_10	SR_19
SR_10	SR_20
SR_11	SR_12
SR_11	SR_13
SR_11	SR_14
SR_11	SR_15
SR_11	SR_16
SR_11	SR_17
SR_11	SR_18
SR_11	SR_19
SR_11	SR_20
SR_12	SR_13
SR_12	SR_14
SR_12	SR_15
SR_12	SR_16
SR_12	SR_17
SR_12	SR_18
SR_12	SR_19
SR_12	SR_20
SR_13	SR_14
SR_13	SR_15
SR_13	SR_16
SR_13	SR_17
SR_13	SR_18
SR_13	SR_19
SR_13	SR_20
SR_14	SR_15
SR_14	SR_16
SR_14	SR_17
SR_14	SR_18
SR_14	SR_19
SR_14	SR_20
SR_15	SR_16
SR_15	SR_17
SR_15	SR_18
SR_15	SR_19
SR_15	SR_20
SR_16	SR_17
SR_16	SR_18
SR_16	SR_19
SR_16	SR_20
SR_17	SR_18
SR_17	SR_19
SR_17	SR_20
SR_18	SR_19
SR_18	SR_20
SR_19	SR_20
