isolate	species	sra_run	library_layout	url1	url2	bytes1	bytes2
1	Helicobacter_pylori	SRR17176116	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/016/SRR17176116/SRR17176116_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/016/SRR17176116/SRR17176116_2.fastq.gz	285705906	326481661
2	Helicobacter_pylori	SRR17176148	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/048/SRR17176148/SRR17176148_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/048/SRR17176148/SRR17176148_2.fastq.gz	46255555	56154385
3	Helicobacter_pylori	SRR17176149	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/049/SRR17176149/SRR17176149_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/049/SRR17176149/SRR17176149_2.fastq.gz	38219074	42716008
4	Helicobacter_pylori	SRR17176151	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/051/SRR17176151/SRR17176151_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/051/SRR17176151/SRR17176151_2.fastq.gz	61280095	69752018
5	Helicobacter_pylori	SRR17176152	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/052/SRR17176152/SRR17176152_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/052/SRR17176152/SRR17176152_2.fastq.gz	59969264	62264883
6	Helicobacter_pylori	SRR17176153	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/053/SRR17176153/SRR17176153_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/053/SRR17176153/SRR17176153_2.fastq.gz	57856164	65620285
7	Helicobacter_pylori	SRR17176154	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/054/SRR17176154/SRR17176154_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/054/SRR17176154/SRR17176154_2.fastq.gz	54586960	58490417
8	Helicobacter_pylori	SRR17176157	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/057/SRR17176157/SRR17176157_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/057/SRR17176157/SRR17176157_2.fastq.gz	79633934	98063183
9	Helicobacter_pylori	SRR17176168	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/068/SRR17176168/SRR17176168_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/068/SRR17176168/SRR17176168_2.fastq.gz	34289233	37544156
10	Helicobacter_pylori	SRR17176189	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/089/SRR17176189/SRR17176189_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/089/SRR17176189/SRR17176189_2.fastq.gz	274674920	303317135
11	Helicobacter_pylori	SRR17176199	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/099/SRR17176199/SRR17176199_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/099/SRR17176199/SRR17176199_2.fastq.gz	55763758	62874326
12	Helicobacter_pylori	SRR17176210	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/010/SRR17176210/SRR17176210_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/010/SRR17176210/SRR17176210_2.fastq.gz	62638334	74529984
13	Helicobacter_pylori	SRR17176221	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/021/SRR17176221/SRR17176221_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/021/SRR17176221/SRR17176221_2.fastq.gz	18691433	20408090
14	Helicobacter_pylori	SRR17176232	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/032/SRR17176232/SRR17176232_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/032/SRR17176232/SRR17176232_2.fastq.gz	17787024	22088865
15	Helicobacter_pylori	SRR17176109	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/009/SRR17176109/SRR17176109_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/009/SRR17176109/SRR17176109_2.fastq.gz	108817729	120032096
16	Helicobacter_pylori	SRR17176110	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/010/SRR17176110/SRR17176110_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/010/SRR17176110/SRR17176110_2.fastq.gz	80346894	86940026
17	Helicobacter_pylori	SRR17176111	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/011/SRR17176111/SRR17176111_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/011/SRR17176111/SRR17176111_2.fastq.gz	91474343	99806870
18	Helicobacter_pylori	SRR17176112	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/012/SRR17176112/SRR17176112_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/012/SRR17176112/SRR17176112_2.fastq.gz	90600895	103034063
