species	isolate	host	sra_run
Helicobacter_pylori	1	194	SRR17176116
Helicobacter_pylori	2	194	SRR17176148
Helicobacter_pylori	3	194	SRR17176149
Helicobacter_pylori	4	194	SRR17176151
Helicobacter_pylori	5	194	SRR17176152
Helicobacter_pylori	6	194	SRR17176153
Helicobacter_pylori	7	194	SRR17176154
Helicobacter_pylori	8	194	SRR17176157
Helicobacter_pylori	9	194	SRR17176168
Helicobacter_pylori	10	194	SRR17176189
Helicobacter_pylori	11	194	SRR17176199
Helicobacter_pylori	12	194	SRR17176210
Helicobacter_pylori	13	194	SRR17176221
Helicobacter_pylori	14	194	SRR17176232
Helicobacter_pylori	15	249	SRR17176109
Helicobacter_pylori	16	249	SRR17176110
Helicobacter_pylori	17	249	SRR17176111
Helicobacter_pylori	18	249	SRR17176112
Helicobacter_pylori	19	249	SRR17176113
Helicobacter_pylori	20	249	SRR17176114
Helicobacter_pylori	21	249	SRR17176147
Helicobacter_pylori	22	295	SRR17176091
Helicobacter_pylori	23	295	SRR17176092
Helicobacter_pylori	24	295	SRR17176093
Helicobacter_pylori	25	295	SRR17176094
Helicobacter_pylori	26	295	SRR17176095
Helicobacter_pylori	27	295	SRR17176097
Helicobacter_pylori	28	295	SRR17176098
Helicobacter_pylori	29	295	SRR17176099
Helicobacter_pylori	30	295	SRR17176100
Helicobacter_pylori	31	295	SRR17176101
Helicobacter_pylori	32	295	SRR17176102
Helicobacter_pylori	33	295	SRR17176103
Helicobacter_pylori	34	295	SRR17176104
Helicobacter_pylori	35	295	SRR17176105
Helicobacter_pylori	36	322	SRR17176083
Helicobacter_pylori	37	322	SRR17176084
Helicobacter_pylori	38	322	SRR17176086
Helicobacter_pylori	39	322	SRR17176087
Helicobacter_pylori	40	322	SRR17176088
Helicobacter_pylori	41	322	SRR17176137
Helicobacter_pylori	42	322	SRR17176139
Helicobacter_pylori	43	322	SRR17176140
Helicobacter_pylori	44	322	SRR17176141
Helicobacter_pylori	45	322	SRR17176142
Helicobacter_pylori	46	322	SRR17176143
Helicobacter_pylori	47	322	SRR17176144
Helicobacter_pylori	48	322	SRR17176145
Helicobacter_pylori	49	322	SRR17176146
Helicobacter_pylori	50	326	SRR17176122
Helicobacter_pylori	51	326	SRR17176123
Helicobacter_pylori	52	326	SRR17176124
Helicobacter_pylori	53	326	SRR17176125
Helicobacter_pylori	54	326	SRR17176126
Helicobacter_pylori	55	326	SRR17176128
Helicobacter_pylori	56	326	SRR17176129
Helicobacter_pylori	57	326	SRR17176130
Helicobacter_pylori	58	326	SRR17176131
Helicobacter_pylori	59	326	SRR17176132
Helicobacter_pylori	60	326	SRR17176133
Helicobacter_pylori	61	326	SRR17176134
Helicobacter_pylori	62	326	SRR17176135
Helicobacter_pylori	63	326	SRR17176136
Helicobacter_pylori	64	439	SRR17176115
Helicobacter_pylori	65	439	SRR17176117
Helicobacter_pylori	66	439	SRR17176118
Helicobacter_pylori	67	439	SRR17176119
Helicobacter_pylori	68	439	SRR17176120
Helicobacter_pylori	69	439	SRR17176121
Helicobacter_pylori	70	439	SRR17176191
Helicobacter_pylori	71	439	SRR17176192
Helicobacter_pylori	72	439	SRR17176193
Helicobacter_pylori	73	439	SRR17176194
Helicobacter_pylori	74	439	SRR17176195
Helicobacter_pylori	75	439	SRR17176196
Helicobacter_pylori	76	439	SRR17176197
Helicobacter_pylori	77	439	SRR17176198
