query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count
Ecoli_BL21_DE3	Ecoli_BL21_DE3	99.9999	99.9999	0.9993	0.9993	0.22972	3	0.8939	715
Ecoli_BL21_DE3	Ecoli_CFT073	96.8852	97.5456	0.9221	0.8250	0.04257	34	0.8849	560
Ecoli_BL21_DE3	Ecoli_K12_MG1655	99.0990	99.3733	0.9489	0.9744	0.01928	17	0.8754	761
Ecoli_BL21_DE3	Ecoli_K12_W3110	99.0982	99.3727	0.9489	0.9745	0.01929	17	0.8752	762
Ecoli_BL21_DE3	Ecoli_O157H7_Sakai	98.1399	98.5329	0.9116	0.8447	0.03128	32	0.8468	869
Ecoli_BL21_DE3	Ecoli_UTI89	96.8124	97.4725	0.9305	0.8867	0.04325	34	0.9041	456
Ecoli_BL21_DE3	Escherichia_fergusonii	91.2588	94.3860	0.6640	0.6789	0.08362	52	0.7880	523
Ecoli_BL21_DE3	Salmonella_Typhimurium_LT2	79.8905	88.2254	0.2252	0.2182	0.25727	16	0.2618	516
Ecoli_BL21_DE3	Shigella_flexneri_301	98.0767	98.6237	0.8530	0.8864	0.03138	52	0.8639	704
Ecoli_BL21_DE3	Shigella_sonnei_Ss046	98.5254	98.8942	0.8650	0.9112	0.02719	53	0.8768	665
Ecoli_CFT073	Ecoli_BL21_DE3	96.8226	97.5170	0.8040	0.9542	0.04277	32	0.8854	558
Ecoli_CFT073	Ecoli_CFT073	99.9999	99.9999	0.9988	0.9988	0.21550	17	0.9387	450
Ecoli_CFT073	Ecoli_K12_MG1655	96.9436	97.5612	0.7946	0.9524	0.04249	30	0.8843	562
Ecoli_CFT073	Ecoli_K12_W3110	96.9426	97.5594	0.7925	0.9501	0.04254	32	0.8839	564
Ecoli_CFT073	Ecoli_O157H7_Sakai	96.7494	97.4577	0.8059	0.8433	0.04329	44	0.8586	713
Ecoli_CFT073	Ecoli_UTI89	98.9744	99.3244	0.8915	0.9424	0.01926	43	0.9388	381
Ecoli_CFT073	Escherichia_fergusonii	91.5264	94.4486	0.5670	0.6614	0.08352	56	0.8192	431
Ecoli_CFT073	Salmonella_Typhimurium_LT2	81.6486	88.5132	0.1420	0.1594	0.28529	15	0.2598	436
Ecoli_CFT073	Shigella_flexneri_301	96.5488	97.3505	0.7483	0.9011	0.04585	63	0.8733	575
Ecoli_CFT073	Shigella_sonnei_Ss046	96.6900	97.4691	0.7415	0.9007	0.04468	53	0.8762	567
Ecoli_K12_MG1655	Ecoli_BL21_DE3	99.0713	99.3686	0.9282	0.9669	0.01933	25	0.8750	763
Ecoli_K12_MG1655	Ecoli_CFT073	96.8903	97.5377	0.9043	0.8257	0.04264	33	0.8847	560
Ecoli_K12_MG1655	Ecoli_K12_MG1655	99.9999	99.9999	0.9996	0.9996	0.22785	1	0.8871	774
Ecoli_K12_MG1655	Ecoli_K12_W3110	99.9948	99.9948	0.9971	0.9971	0.00163	3	0.8867	776
Ecoli_K12_MG1655	Ecoli_O157H7_Sakai	98.1285	98.5163	0.9106	0.8435	0.03121	32	0.8468	881
Ecoli_K12_MG1655	Ecoli_UTI89	96.9177	97.5159	0.9043	0.8796	0.04279	32	0.9035	461
Ecoli_K12_MG1655	Escherichia_fergusonii	90.9995	94.3475	0.6694	0.6908	0.08320	51	0.7915	520
Ecoli_K12_MG1655	Salmonella_Typhimurium_LT2	78.4053	87.7147	0.2394	0.2363	0.25777	15	0.2625	503
Ecoli_K12_MG1655	Shigella_flexneri_301	98.1162	98.6187	0.8365	0.8898	0.03120	61	0.8570	755
Ecoli_K12_MG1655	Shigella_sonnei_Ss046	98.3264	98.8108	0.8573	0.9101	0.02826	48	0.8711	700
Ecoli_K12_W3110	Ecoli_BL21_DE3	99.0330	99.3577	0.9266	0.9656	0.01951	26	0.8745	766
Ecoli_K12_W3110	Ecoli_CFT073	96.8611	97.5199	0.9020	0.8236	0.04284	35	0.8843	562
Ecoli_K12_W3110	Ecoli_K12_MG1655	99.9859	99.9859	0.9971	0.9971	0.00270	3	0.8867	776
Ecoli_K12_W3110	Ecoli_K12_W3110	99.9999	99.9999	0.9996	0.9996	0.22754	1	0.8870	774
Ecoli_K12_W3110	Ecoli_O157H7_Sakai	98.0925	98.5023	0.9081	0.8332	0.03140	35	0.8462	884
Ecoli_K12_W3110	Ecoli_UTI89	96.8786	97.5018	0.9041	0.8783	0.04292	34	0.9040	459
Ecoli_K12_W3110	Escherichia_fergusonii	91.0476	94.3685	0.6620	0.6896	0.08335	52	0.7891	526
Ecoli_K12_W3110	Salmonella_Typhimurium_LT2	80.1687	87.9365	0.2176	0.2146	0.26434	16	0.2610	504
Ecoli_K12_W3110	Shigella_flexneri_301	98.1111	98.6159	0.8333	0.8860	0.03126	63	0.8564	758
Ecoli_K12_W3110	Shigella_sonnei_Ss046	98.3182	98.8066	0.8519	0.9073	0.02834	51	0.8700	706
Ecoli_O157H7_Sakai	Ecoli_BL21_DE3	98.0485	98.4994	0.7559	0.9155	0.03166	47	0.8438	886
Ecoli_O157H7_Sakai	Ecoli_CFT073	96.7023	97.4340	0.7720	0.8225	0.04348	61	0.8551	731
Ecoli_O157H7_Sakai	Ecoli_K12_MG1655	98.0535	98.4973	0.7688	0.9117	0.03147	46	0.8440	897
Ecoli_O157H7_Sakai	Ecoli_K12_W3110	98.0501	98.4945	0.7669	0.9091	0.03152	48	0.8434	900
Ecoli_O157H7_Sakai	Ecoli_O157H7_Sakai	99.9999	99.9999	0.9903	0.9903	0.21443	40	0.8518	1239
