query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count
ENA|U00096|U00096.3	ENA|U00096|U00096.3	99.9999	99.9999	0.9996	0.9996	0.22785	1	0.8871	774
ENA|U00096|U00096.3	ENA|BA000007|BA000007.3	98.1285	98.5163	0.9106	0.8435	0.03121	32	0.8468	881
ENA|U00096|U00096.3	ENA|AP009048|AP009048.1	99.9948	99.9948	0.9971	0.9971	0.00163	3	0.8867	776
ENA|U00096|U00096.3	ENA|AE014075|AE014075.1	96.8903	97.5377	0.9043	0.8257	0.04264	33	0.8847	560
ENA|U00096|U00096.3	ENA|CP000243|CP000243.1	96.9177	97.5159	0.9043	0.8796	0.04279	32	0.9035	461
ENA|U00096|U00096.3	ENA|AM946981|AM946981.2	99.0713	99.3686	0.9282	0.9669	0.01933	25	0.8750	763
ENA|U00096|U00096.3	ENA|AE005674|AE005674.2	98.1162	98.6187	0.8365	0.8898	0.03120	61	0.8570	755
ENA|U00096|U00096.3	ENA|CP000038|CP000038.1	98.3264	98.8108	0.8573	0.9101	0.02826	48	0.8711	700
ENA|U00096|U00096.3	ENA|CU928158|CU928158.2	90.9995	94.3475	0.6694	0.6908	0.08320	51	0.7915	520
ENA|U00096|U00096.3	ENA|AE006468|AE006468.2	78.4053	87.7147	0.2394	0.2363	0.25777	15	0.2625	503
ENA|U00096|U00096.3	ENA|AL513382|AL513382.1	82.0423	88.0259	0.1794	0.1753	0.29043	15	0.2664	435
ENA|U00096|U00096.3	ENA|CP000647|CP000647.1	77.5930	87.5640	0.1522	0.1352	0.32376	12	0.3394	216
ENA|U00096|U00096.3	ENA|CP001918|CP001918.1	81.9038	87.7396	0.1674	0.1471	0.31034	14	0.3923	206
ENA|U00096|U00096.3	ENA|FN543502|FN543502.1	80.1095	87.2182	0.3555	0.3133	0.22122	24	0.5241	237
ENA|U00096|U00096.3	ENA|JUNK01000001|JUNK01000001.1	98.0392	98.1965	0.6668	0.3495	0.03748	354	0.6946	1672
ENA|BA000007|BA000007.3	ENA|U00096|U00096.3	98.0535	98.4973	0.7688	0.9117	0.03147	46	0.8440	897
ENA|BA000007|BA000007.3	ENA|BA000007|BA000007.3	99.9999	99.9999	0.9903	0.9903	0.21443	40	0.8518	1239
ENA|BA000007|BA000007.3	ENA|AP009048|AP009048.1	98.0501	98.4945	0.7669	0.9091	0.03152	48	0.8434	900
ENA|BA000007|BA000007.3	ENA|AE014075|AE014075.1	96.7023	97.4340	0.7720	0.8225	0.04348	61	0.8551	731
ENA|BA000007|BA000007.3	ENA|CP000243|CP000243.1	96.5715	97.3728	0.7838	0.8583	0.04397	57	0.8776	602
ENA|BA000007|BA000007.3	ENA|AM946981|AM946981.2	98.0485	98.4994	0.7559	0.9155	0.03166	47	0.8438	886
ENA|BA000007|BA000007.3	ENA|AE005674|AE005674.2	97.8158	98.3098	0.7057	0.8763	0.03504	74	0.8346	871
ENA|BA000007|BA000007.3	ENA|CP000038|CP000038.1	97.8706	98.3601	0.7301	0.8909	0.03375	63	0.8424	862
ENA|BA000007|BA000007.3	ENA|CU928158|CU928158.2	91.5858	94.3300	0.5460	0.6616	0.08414	62	0.7645	595
ENA|BA000007|BA000007.3	ENA|AE006468|AE006468.2	80.5518	87.8783	0.2042	0.2380	0.25144	14	0.2632	529
ENA|BA000007|BA000007.3	ENA|AL513382|AL513382.1	81.3876	87.5140	0.1796	0.2080	0.28071	14	0.2655	451
ENA|BA000007|BA000007.3	ENA|CP000647|CP000647.1	80.5949	88.1153	0.1059	0.1095	0.33846	12	0.3463	202
ENA|BA000007|BA000007.3	ENA|CP001918|CP001918.1	81.6930	87.6843	0.1204	0.1225	0.33290	12	0.3548	220
ENA|BA000007|BA000007.3	ENA|FN543502|FN543502.1	77.9043	87.6513	0.2489	0.2566	0.23364	26	0.4519	296
ENA|BA000007|BA000007.3	ENA|JUNK01000001|JUNK01000001.1	97.9467	98.1401	0.5831	0.3578	0.03770	368	0.6805	1822
ENA|AP009048|AP009048.1	ENA|U00096|U00096.3	99.9859	99.9859	0.9971	0.9971	0.00270	3	0.8867	776
ENA|AP009048|AP009048.1	ENA|BA000007|BA000007.3	98.0925	98.5023	0.9081	0.8332	0.03140	35	0.8462	884
ENA|AP009048|AP009048.1	ENA|AP009048|AP009048.1	99.9999	99.9999	0.9996	0.9996	0.22754	1	0.8870	774
ENA|AP009048|AP009048.1	ENA|AE014075|AE014075.1	96.8611	97.5199	0.9020	0.8236	0.04284	35	0.8843	562
ENA|AP009048|AP009048.1	ENA|CP000243|CP000243.1	96.8786	97.5018	0.9041	0.8783	0.04292	34	0.9040	459
ENA|AP009048|AP009048.1	ENA|AM946981|AM946981.2	99.0330	99.3577	0.9266	0.9656	0.01951	26	0.8745	766
ENA|AP009048|AP009048.1	ENA|AE005674|AE005674.2	98.1111	98.6159	0.8333	0.8860	0.03126	63	0.8564	758
ENA|AP009048|AP009048.1	ENA|CP000038|CP000038.1	98.3182	98.8066	0.8519	0.9073	0.02834	51	0.8700	706
ENA|AP009048|AP009048.1	ENA|CU928158|CU928158.2	91.0476	94.3685	0.6620	0.6896	0.08335	52	0.7891	526
ENA|AP009048|AP009048.1	ENA|AE006468|AE006468.2	80.1687	87.9365	0.2176	0.2146	0.26434	16	0.2610	504
ENA|AP009048|AP009048.1	ENA|AL513382|AL513382.1	82.5606	87.9770	0.1868	0.1825	0.28552	14	0.2664	435
ENA|AP009048|AP009048.1	ENA|CP000647|CP000647.1	79.2676	87.8849	0.1269	0.1136	0.34165	13	0.3272	220
ENA|AP009048|AP009048.1	ENA|CP001918|CP001918.1	83.4969	88.2139	0.1363	0.1191	0.32791	14	0.3687	214
ENA|AP009048|AP009048.1	ENA|FN543502|FN543502.1	80.0058	87.2804	0.3425	0.2999	0.22354	23	0.5141	242
ENA|AP009048|AP009048.1	ENA|JUNK01000001|JUNK01000001.1	98.0042	98.1801	0.6685	0.3496	0.03766	354	0.6947	1671
ENA|AE014075|AE014075.1	ENA|U00096|U00096.3	96.9436	97.5612	0.7946	0.9524	0.04249	30	0.8843	562
ENA|AE014075|AE014075.1	ENA|BA000007|BA000007.3	96.7494	97.4577	0.8059	0.8433	0.04329	44	0.8586	713
ENA|AE014075|AE014075.1	ENA|AP009048|AP009048.1	96.9426	97.5594	0.7925	0.9501	0.04254	32	0.8839	564
ENA|AE014075|AE014075.1	ENA|AE014075|AE014075.1	99.9999	99.9999	0.9988	0.9988	0.21550	17	0.9387	450
ENA|AE014075|AE014075.1	ENA|CP000243|CP000243.1	98.9744	99.3244	0.8915	0.9424	0.01926	43	0.9388	381
ENA|AE014075|AE014075.1	ENA|AM946981|AM946981.2	96.8226	97.5170	0.8040	0.9542	0.04277	32	0.8854	558
ENA|AE014075|AE014075.1	ENA|AE005674|AE005674.2	96.5488	97.3505	0.7483	0.9011	0.04585	63	0.8733	575
ENA|AE014075|AE014075.1	ENA|CP000038|CP000038.1	96.6900	97.4691	0.7415	0.9007	0.04468	53	0.8762	567
ENA|AE014075|AE014075.1	ENA|CU928158|CU928158.2	91.5264	94.4486	0.5670	0.6614	0.08352	56	0.8192	431
ENA|AE014075|AE014075.1	ENA|AE006468|AE006468.2	81.6486	88.5132	0.1420	0.1594	0.28529	15	0.2598	436
ENA|AE014075|AE014075.1	ENA|AL513382|AL513382.1	78.1008	88.1517	0.1508	0.1712	0.29147	17	0.3002	373
ENA|AE014075|AE014075.1	ENA|CP000647|CP000647.1	76.6783	87.5363	0.1227	0.1189	0.34104	12	0.3355	204
ENA|AE014075|AE014075.1	ENA|CP001918|CP001918.1	83.4786	88.1990	0.1059	0.1053	0.34439	15	0.3485	215
ENA|AE014075|AE014075.1	ENA|FN543502|FN543502.1	82.6804	88.2898	0.2080	0.2052	0.24341	24	0.4137	309
ENA|AE014075|AE014075.1	ENA|JUNK01000001|JUNK01000001.1	97.8322	98.0441	0.5938	0.3523	0.03956	367	0.6975	1599
ENA|CP000243|CP000243.1	ENA|U00096|U00096.3	96.9212	97.5185	0.8226	0.9507	0.04279	34	0.9029	464
ENA|CP000243|CP000243.1	ENA|BA000007|BA000007.3	96.8410	97.4769	0.8249	0.8209	0.04317	54	0.8782	599
ENA|CP000243|CP000243.1	ENA|AP009048|AP009048.1	96.9294	97.5228	0.8212	0.9471	0.04276	37	0.9031	463
ENA|CP000243|CP000243.1	ENA|AE014075|AE014075.1	99.0212	99.3367	0.9175	0.9258	0.01910	44	0.9393	378
ENA|CP000243|CP000243.1	ENA|CP000243|CP000243.1	99.9999	99.9999	0.9994	0.9994	0.21925	12	0.9619	265
ENA|CP000243|CP000243.1	ENA|AM946981|AM946981.2	96.7540	97.4505	0.8325	0.9597	0.04341	37	0.9039	457
ENA|CP000243|CP000243.1	ENA|AE005674|AE005674.2	96.6335	97.3297	0.7485	0.8726	0.04642	64	0.8849	508
ENA|CP000243|CP000243.1	ENA|CP000038|CP000038.1	96.8046	97.4593	0.7522	0.8915	0.04485	57	0.8937	476
ENA|CP000243|CP000243.1	ENA|CU928158|CU928158.2	91.5115	94.4448	0.6068	0.6903	0.08216	64	0.8417	382
ENA|CP000243|CP000243.1	ENA|AE006468|AE006468.2	79.1689	87.7000	0.2006	0.2152	0.26362	18	0.3043	391
ENA|CP000243|CP000243.1	ENA|AL513382|AL513382.1	79.6718	88.0226	0.1415	0.1508	0.30813	14	0.2680	355
ENA|CP000243|CP000243.1	ENA|CP000647|CP000647.1	82.1084	88.4636	0.0953	0.0926	0.35807	12	0.3323	209
ENA|CP000243|CP000243.1	ENA|CP001918|CP001918.1	84.4383	88.6805	0.1112	0.1062	0.33381	16	0.3735	203
ENA|CP000243|CP000243.1	ENA|FN543502|FN543502.1	82.0065	88.7415	0.2227	0.2120	0.23214	26	0.4625	287
ENA|CP000243|CP000243.1	ENA|JUNK01000001|JUNK01000001.1	97.7786	97.9974	0.6123	0.3494	0.04014	357	0.7085	1512
ENA|AM946981|AM946981.2	ENA|U00096|U00096.3	99.0990	99.3733	0.9489	0.9744	0.01928	17	0.8754	761
ENA|AM946981|AM946981.2	ENA|BA000007|BA000007.3	98.1399	98.5329	0.9116	0.8447	0.03128	32	0.8468	869
ENA|AM946981|AM946981.2	ENA|AP009048|AP009048.1	99.0982	99.3727	0.9489	0.9745	0.01929	17	0.8752	762
ENA|AM946981|AM946981.2	ENA|AE014075|AE014075.1	96.8852	97.5456	0.9221	0.8250	0.04257	34	0.8849	560
ENA|AM946981|AM946981.2	ENA|CP000243|CP000243.1	96.8124	97.4725	0.9305	0.8867	0.04325	34	0.9041	456
ENA|AM946981|AM946981.2	ENA|AM946981|AM946981.2	99.9999	99.9999	0.9993	0.9993	0.22972	3	0.8939	715
ENA|AM946981|AM946981.2	ENA|AE005674|AE005674.2	98.0767	98.6237	0.8530	0.8864	0.03138	52	0.8639	704
ENA|AM946981|AM946981.2	ENA|CP000038|CP000038.1	98.5254	98.8942	0.8650	0.9112	0.02719	53	0.8768	665
ENA|AM946981|AM946981.2	ENA|CU928158|CU928158.2	91.2588	94.3860	0.6640	0.6789	0.08362	52	0.7880	523
ENA|AM946981|AM946981.2	ENA|AE006468|AE006468.2	79.8905	88.2254	0.2252	0.2182	0.25727	16	0.2618	516
ENA|AM946981|AM946981.2	ENA|AL513382|AL513382.1	81.3416	87.8261	0.2230	0.2139	0.26781	18	0.2967	429
ENA|AM946981|AM946981.2	ENA|CP000647|CP000647.1	77.9202	87.6562	0.1264	0.1117	0.35117	13	0.3323	213
ENA|AM946981|AM946981.2	ENA|CP001918|CP001918.1	84.7121	88.9808	0.1063	0.0896	0.34486	13	0.3294	230
ENA|AM946981|AM946981.2	ENA|FN543502|FN543502.1	79.7110	87.5400	0.3094	0.2640	0.23246	22	0.4659	274
ENA|AM946981|AM946981.2	ENA|JUNK01000001|JUNK01000001.1	98.0127	98.1981	0.6786	0.3469	0.03758	350	0.6978	1640
ENA|AE005674|AE005674.2	ENA|U00096|U00096.3	98.0962	98.6193	0.8726	0.8880	0.03118	48	0.8602	738
ENA|AE005674|AE005674.2	ENA|BA000007|BA000007.3	97.8552	98.3212	0.8719	0.7723	0.03484	57	0.8397	844
