query	reference	label	q_species	r_species	q_genus	r_genus	q_category	r_category	fastani_ani	skani_ani	skani_align_frac	s2b_raw_ani	s2b_gbrt_ani	s2b_shared_tags	s2b_af_q	s2b_af_r	s2b_ref_gc	ani	ani_uniform	af_query	flag	v8_gamma	v8_uniform
GCF_011765525.1	GCF_008831325.1	high	Streptococcus mutans	Streptococcus mutans	Streptococcus	Streptococcus	oral	oral	0.989226	0.989700	91.340000	0.000000	0.000000	0	0.014045	0.013587	0.369387	99.136300	99.329500	0.892400	ok	0.991363	0.993295
GCF_011765525.1	GCF_006739205.1	high	Streptococcus mutans	Streptococcus mutans	Streptococcus	Streptococcus	oral	oral	0.989619	0.989000	91.090000	0.994285	0.984224	257	0.721910	0.717877	0.368691	99.224100	99.335000	0.899500	ok	0.992241	0.993350
GCF_011765525.1	GCF_044360185.1	high	Streptococcus mutans	Streptococcus mutans	Streptococcus	Streptococcus	oral	oral	0.990269	0.990800	91.110000	0.994285	0.984224	257	0.721910	0.717877	0.368707	99.218600	99.331300	0.899700	ok	0.992186	0.993313
GCF_011765525.1	GCF_009738105.1	high	Streptococcus mutans	Streptococcus mutans	Streptococcus	Streptococcus	oral	oral	0.989987	0.990200	90.630000	0.994969	0.987429	323	0.907303	0.894737	0.368497	99.160200	99.311600	0.897600	ok	0.991602	0.993116
GCF_008831325.1	GCF_006739205.1	high	Streptococcus mutans	Streptococcus mutans	Streptococcus	Streptococcus	oral	oral	0.994678	0.993200	95.490000	0.997889	0.991815	74	0.201087	0.206704	0.368691	99.490200	99.603200	0.975200	ok	0.994902	0.996032
GCF_008831325.1	GCF_044360185.1	high	Streptococcus mutans	Streptococcus mutans	Streptococcus	Streptococcus	oral	oral	0.994561	0.993200	95.720000	0.997889	0.991815	74	0.201087	0.206704	0.368707	99.485200	99.601500	0.974700	ok	0.994852	0.996015
GCF_008831325.1	GCF_009738105.1	high	Streptococcus mutans	Streptococcus mutans	Streptococcus	Streptococcus	oral	oral	0.991875	0.990800	93.810000	0.000000	0.000000	0	0.010870	0.011080	0.368497	99.160900	99.404400	0.959300	ok	0.991609	0.994044
GCF_008831325.1	GCF_050226025.1	mid_high	Streptococcus mutans	Streptococcus sanguinis	Streptococcus	Streptococcus	oral	oral		0.000000	0.000000	0.000000	0.000000	0	0.019022	0.009211	0.433899	89.642100	89.642100	0.017200	ok	0.896421	0.896421
GCF_006739205.1	GCF_044360185.1	high	Streptococcus mutans	Streptococcus mutans	Streptococcus	Streptococcus	oral	oral	0.999970	0.999900	100.000000	1.000000	0.999075	358	1.000000	1.000000	0.368707	99.995000	99.995000	0.998700	ok	0.999950	0.999950
GCF_006739205.1	GCF_009738105.1	high	Streptococcus mutans	Streptococcus mutans	Streptococcus	Streptococcus	oral	oral	0.991804	0.991800	95.360000	0.995570	0.988297	261	0.729050	0.722992	0.368497	99.332000	99.421300	0.968900	ok	0.993320	0.994213
GCF_006739205.1	GCF_050226025.1	mid_high	Streptococcus mutans	Streptococcus sanguinis	Streptococcus	Streptococcus	oral	oral		0.000000	0.000000	0.000000	0.000000	0	0.013966	0.006579	0.433899	89.450300	89.450300	0.017200	ok	0.894503	0.894503
GCF_044360185.1	GCF_009738105.1	high	Streptococcus mutans	Streptococcus mutans	Streptococcus	Streptococcus	oral	oral	0.992092	0.991800	95.350000	0.995570	0.988297	261	0.729050	0.722992	0.368497	99.332000	99.424000	0.968600	ok	0.993320	0.994240
GCF_044360185.1	GCF_050226025.1	mid_high	Streptococcus mutans	Streptococcus sanguinis	Streptococcus	Streptococcus	oral	oral		0.000000	0.000000	0.000000	0.000000	0	0.013966	0.006579	0.433899	89.450300	89.450300	0.017200	ok	0.894503	0.894503
GCF_009738105.1	GCF_050220455.1	mid_high	Streptococcus mutans	Streptococcus sanguinis	Streptococcus	Streptococcus	oral	oral		0.000000	0.000000	0.000000	0.000000	0	0.013850	0.006468	0.431276	87.861400	87.861400	0.016700	ok	0.878614	0.878614
GCF_057218265.1	GCF_030440475.1	high	Porphyromonas gingivalis	Porphyromonas gingivalis	Porphyromonas	Porphyromonas	oral	oral	0.981962	0.984800	81.700000	0.993047	0.984421	1209	0.588035	0.567073	0.480433	98.664200	98.919400	0.912700	ok	0.986642	0.989194
GCF_057218265.1	GCF_030144345.1	high	Porphyromonas gingivalis	Porphyromonas gingivalis	Porphyromonas	Porphyromonas	oral	oral	0.981527	0.983600	84.960000	0.992662	0.984115	1137	0.553016	0.540399	0.482734	98.770600	98.985000	0.907400	ok	0.987706	0.989850
GCF_057218265.1	GCF_058684255.1	high	Porphyromonas gingivalis	Porphyromonas gingivalis	Porphyromonas	Porphyromonas	oral	oral	0.993042	0.992000	85.970000	0.999972	0.999256	1131	0.550097	0.559624	0.482859	99.646900	99.833200	0.882600	ok	0.996469	0.998332
GCF_057218265.1	GCF_002754055.1	high	Porphyromonas gingivalis	Porphyromonas gingivalis	Porphyromonas	Porphyromonas	oral	oral	0.982683	0.983500	83.990000	0.993300	0.984817	1292	0.628405	0.605152	0.482461	98.691400	98.989100	0.916400	ok	0.986914	0.989891
GCF_030440475.1	GCF_030144345.1	high	Porphyromonas gingivalis	Porphyromonas gingivalis	Porphyromonas	Porphyromonas	oral	oral	0.979642	0.983300	88.430000	0.992797	0.983577	1488	0.697936	0.707224	0.482734	98.474100	98.855200	0.899800	ok	0.984741	0.988552
GCF_030440475.1	GCF_058684255.1	high	Porphyromonas gingivalis	Porphyromonas gingivalis	Porphyromonas	Porphyromonas	oral	oral	0.979745	0.984200	87.290000	0.993197	0.982406	735	0.344747	0.363681	0.482859	98.584200	98.916400	0.865400	ok	0.985842	0.989164
GCF_030440475.1	GCF_002754055.1	high	Porphyromonas gingivalis	Porphyromonas gingivalis	Porphyromonas	Porphyromonas	oral	oral	0.980710	0.983400	85.290000	0.992872	0.983917	1631	0.765009	0.763934	0.482461	98.609400	98.899100	0.895100	ok	0.986094	0.988991
GCF_030144345.1	GCF_058684255.1	high	Porphyromonas gingivalis	Porphyromonas gingivalis	Porphyromonas	Porphyromonas	oral	oral	0.981496	0.985400	87.600000	0.992661	0.981631	660	0.313688	0.326571	0.482859	98.713700	98.970300	0.894400	ok	0.987137	0.989703
GCF_030144345.1	GCF_002754055.1	high	Porphyromonas gingivalis	Porphyromonas gingivalis	Porphyromonas	Porphyromonas	oral	oral	0.981772	0.984900	85.130000	0.992677	0.983658	1643	0.780894	0.769555	0.482461	98.706200	98.926400	0.921600	ok	0.987062	0.989264
GCF_030144345.1	GCF_040687795.1	low	Porphyromonas gingivalis	Bacteroides fragilis	Porphyromonas	Bacteroides	oral	gut		0.000000	0.000000	0.000000	0.000000	0	0.002376	0.001949	0.436733	99.999900	99.999900	0.001300	ok	0.999999	0.999999
GCF_058684255.1	GCF_002754055.1	high	Porphyromonas gingivalis	Porphyromonas gingivalis	Porphyromonas	Porphyromonas	oral	oral	0.982738	0.987600	83.710000	0.993530	0.982834	710	0.351311	0.332553	0.482461	98.788600	99.029600	0.921800	ok	0.987886	0.990296
GCF_037955445.1	GCF_037951365.1	high	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium	Fusobacterium	oral	oral	0.991041	0.989700	92.500000	0.992788	0.953264	13	0.265306	0.282609	0.271674	98.483500	99.319000	0.956200	ok	0.984835	0.993190
GCF_037889375.1	GCF_037951365.1	high	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium	Fusobacterium	oral	oral	0.989359	0.990400	92.950000	0.995000	0.964615	25	0.471698	0.543478	0.271674	98.528500	99.310500	0.873900	ok	0.985285	0.993105
GCF_023517915.1	GCF_025449295.1	high	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Aggregatibacter	oral	oral	0.995411	0.995900	96.250000	0.999060	0.995678	266	0.233743	0.233538	0.444422	99.720200	99.822400	0.956100	ok	0.997202	0.998224
GCF_023517915.1	GCF_024730745.1	high	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Aggregatibacter	oral	oral	0.988647	0.990200	93.010000	0.997159	0.899568	121	0.106327	0.108036	0.444500	98.748800	99.334500	0.935500	ok	0.987488	0.993345
GCF_023517915.1	GCF_023517835.1	high	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Aggregatibacter	oral	oral	0.996996	0.997300	96.510000	0.999235	0.995988	858	0.753954	0.761313	0.443589	99.753400	99.834700	0.956100	ok	0.997534	0.998347
GCF_023517915.1	GCF_023517855.1	high	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Aggregatibacter	oral	oral	0.996738	0.996800	96.000000	0.999382	0.996850	860	0.755712	0.757042	0.443842	99.775700	99.853000	0.956400	ok	0.997757	0.998530
GCF_025449295.1	GCF_024730745.1	high	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Aggregatibacter	oral	oral	0.990750	0.990900	95.210000	0.996549	0.989934	833	0.731343	0.743750	0.444500	98.926700	99.389800	0.950100	ok	0.989267	0.993898
GCF_025449295.1	GCF_023517835.1	high	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Aggregatibacter	oral	oral	0.996105	0.996300	96.790000	0.998874	0.994516	333	0.292362	0.295475	0.443589	99.606500	99.775400	0.973100	ok	0.996065	0.997754
