query	reference	fastani_ani	label	q_species	r_species	q_genus	r_genus	bcgi_raw_ani	bcgi_mash_ani	bcgi_af_q	bcgi_af_r	bcgi_shared_tags	cjepi_raw_ani	cjepi_mash_ani	cjepi_af_q	cjepi_af_r	cjepi_shared_tags	multi_raw_ani	multi_mash_ani	multi_af_q	multi_af_r	multi_shared_tags
GCA_017633985.1	GCA_017480245.1	0.812234	mid_high	s__Phil12 sp017633985	s__Phil12 sp017480245	g__Phil12	g__Phil12	0.963068	0.874348	0.012373	0.026005	11	0.951247	0.890429	0.046756	0.057613	98	1.000000	0.811746	0.005102	0.007391	644
GCF_002939305.1	GCF_001904655.1	0.879213	mid_high	s__Chroogloeocystis sp002939305	s__Chroogloeocystis siderophila	g__Chroogloeocystis	g__Chroogloeocystis	0.964404	0.928336	0.093383	0.109104	302	0.957401	0.929633	0.143930	0.155459	1112	1.000000	0.874542	0.032585	0.034240	10394
GCF_000226295.1	GCF_018304765.1	0.952206	mid_high	s__Chloracidobacterium thermophilum	s__Chloracidobacterium aggregatum	g__Chloracidobacterium	g__Chloracidobacterium	0.981650	0.981341	0.552705	0.548143	1594	0.980634	0.977940	0.546212	0.556288	3800	1.000000	0.961569	0.356626	0.349894	88989
GCA_902525995.1	GCA_002726375.1	0.875345	mid_high	s__CABZJG01 sp902525995	s__CABZJG01 sp002726375	g__CABZJG01	g__CABZJG01	0.963942	0.907040	0.051424	0.050702	65	0.955440	0.902562	0.075250	0.068928	256	1.000000	0.847778	0.016615	0.015671	2006
GCF_014925385.1	GCA_009377535.1	0.838896	mid_high	s__WHTV01 sp014925385	s__WHTV01 sp009377535	g__WHTV01	g__WHTV01	0.957885	0.911731	0.060646	0.058046	325	0.951526	0.899453	0.059861	0.073256	421	1.000000	0.842284	0.012775	0.015300	5113
GCF_001597745.1	GCF_000316645.1	0.853347	mid_high	s__Trichormus sp001597745	s__Trichormus sp000316645	g__Trichormus	g__Trichormus	0.964844	0.917218	0.081218	0.061578	96	0.953943	0.918610	0.127752	0.096581	969	1.000000	0.857377	0.023569	0.019266	7508
GCA_910576855.1	GCA_910576345.1	0.818382	mid_high	s__C-19 sp910576855	s__C-19 sp910576345	g__C-19	g__C-19	0.983173	0.865435	0.010717	0.016971	13	0.974032	0.863218	0.032731	0.018934	87	1.000000	0.846918	0.016575	0.015256	2883
GCA_005799065.1	GCA_016868485.1	0.936777	mid_high	s__F1-60-MAGs140 sp005799065	s__F1-60-MAGs140 sp016868485	g__F1-60-MAGs140	g__F1-60-MAGs140	0.976351	0.958779	0.283404	0.252273	333	0.973080	0.954696	0.307599	0.281543	1263	1.000000	0.923799	0.132344	0.121088	16041
GCA_016123485.1	GCF_003031585.1	0.943060	mid_high	s__Halocynthiibacter sp016123485	s__Halocynthiibacter sp003031585	g__Halocynthiibacter	g__Halocynthiibacter	0.974769	0.948588	0.195278	0.190699	488	0.973032	0.945690	0.233018	0.228530	1578	1.000000	0.915662	0.103098	0.100641	27491
GCF_900106845.1	GCF_900015215.1	0.919927	mid_high	s__Romboutsia timonensis	s__Romboutsia ilealis	g__Romboutsia	g__Romboutsia	0.990809	0.933953	0.154545	0.094444	17	0.974368	0.927945	0.130060	0.157046	302	1.000000	0.900538	0.061379	0.074949	9082
GCA_005881615.1	GCA_005884195.1	0.867269	mid_high	s__40CM-2-53-6 sp005881615	s__40CM-2-53-6 sp005884195	g__40CM-2-53-6	g__40CM-2-53-6	0.965599	0.925200	0.086232	0.096669	119	0.961697	0.917357	0.098095	0.117548	556	1.000000	0.870827	0.028309	0.032857	5227
GCF_900129115.1	GCF_001310975.1	0.902966	mid_high	s__Thermoanaerobacter uzonensis	s__Thermoanaerobacter thermocopriae	g__Thermoanaerobacter	g__Thermoanaerobacter	0.972782	0.928120	0.111511	0.090116	31	0.964893	0.925986	0.138250	0.132916	403	1.000000	0.894997	0.059773	0.057246	7777
GCA_009701105.1	GCA_009698745.1	0.846044	mid_high	s__UBA3006 sp009701105	s__UBA3006 sp009698745	g__UBA3006	g__UBA3006	0.958448	0.905313	0.048767	0.047870	91	0.950792	0.909763	0.089984	0.085036	283	1.000000	0.839382	0.012990	0.012665	1264
GCF_000018425.1	GCA_002294005.1	0.861714	mid_high	s__Desulforudis audaxviator	s__Desulforudis sp002294005	g__Desulforudis	g__Desulforudis	0.958333	0.915362	0.055409	0.080153	63	0.951818	0.907485	0.062900	0.107570	216	1.000000	0.851639	0.014303	0.023465	2288
GCA_009841335.1	GCA_002238805.1	0.834567	mid_high	s__Bin80 sp009841335	s__Bin80 sp002238805	g__Bin80	g__Bin80	0.958441	0.899950	0.043951	0.037685	97	0.947856	0.906247	0.084874	0.074567	684	1.000000	0.821188	0.008508	0.007338	2214
GCF_000620845.1	GCF_018617875.1	0.828506	mid_high	s__Exiguobacterium marinum	s__Exiguobacterium sp018617875	g__Exiguobacterium	g__Exiguobacterium	0.965572	0.893327	0.031823	0.034065	59	0.959684	0.896143	0.055444	0.066146	305	1.000000	0.840108	0.012321	0.014149	2961
GCA_910584395.1	GCA_910579775.1	0.841593	mid_high	s__MGBC124762 sp910584395	s__MGBC124762 sp910579775	g__MGBC124762	g__MGBC124762	0.964286	0.911519	0.058473	0.059394	49	0.951162	0.899042	0.072469	0.059182	204	1.000000	0.843276	0.015637	0.013481	1913
GCF_016864015.1	GCF_018860825.1	0.833185	mid_high	s__Oceanihabitans sp016864015	s__Oceanihabitans sp018860825	g__Oceanihabitans	g__Oceanihabitans	0.957933	0.898972	0.031175	0.049904	26	0.953448	0.899968	0.059418	0.075885	253	1.000000	0.828114	0.008361	0.010802	1479
GCF_014652395.1	GCF_016595155.1	0.873447	mid_high	s__Advenella faeciporci	s__Advenella sp016595155	g__Advenella	g__Advenella	0.965851	0.914349	0.064926	0.064111	97	0.956267	0.912688	0.096161	0.093191	531	1.000000	0.865037	0.026316	0.025156	4372
GCF_000521505.1	GCF_004217095.1	0.845511	mid_high	s__Advenella mimigardefordensis	s__Advenella incenata	g__Advenella	g__Advenella	0.955270	0.912377	0.063926	0.057394	255	0.949611	0.913595	0.098899	0.095160	871	1.000000	0.847186	0.016332	0.015539	5238
GCF_000521505.1	GCF_014897675.1	0.848938	mid_high	s__Advenella mimigardefordensis	s__Advenella sp003533245	g__Advenella	g__Advenella	0.958333	0.906720	0.052645	0.048521	210	0.952603	0.908084	0.084024	0.083174	740	1.000000	0.844150	0.014754	0.014529	4732
GCF_900115785.1	GCF_000337095.1	0.842820	mid_high	s__Halogeometricum limi	s__Halogeometricum pallidum	g__Halogeometricum	g__Halogeometricum	0.962467	0.913796	0.070681	0.056842	189	0.953727	0.905194	0.086465	0.069148	405	1.000000	0.846536	0.017109	0.014722	6282
GCF_000092925.1	GCF_007559435.1	0.873190	mid_high	s__Starkeya novella	s__Starkeya sp007559435	g__Starkeya	g__Starkeya	0.967345	0.925126	0.084396	0.098303	556	0.960925	0.905526	0.073436	0.082887	418	1.000000	0.866203	0.025095	0.028156	9158
GCF_001618175.1	GCF_002148795.1	0.839914	mid_high	s__Oceanibaculum pacificum	s__Oceanibaculum nanhaiense	g__Oceanibaculum	g__Oceanibaculum	0.964844	0.917368	0.073303	0.068885	352	0.957973	0.900326	0.070688	0.065031	334	1.000000	0.855315	0.019787	0.019791	5885
GCA_012959275.1	GCA_014240385.1	0.903951	mid_high	s__UBA226 sp012959275	s__UBA226 sp014240385	g__UBA226	g__UBA226	0.966299	0.936368	0.109560	0.155488	102	0.958279	0.935182	0.150213	0.200998	846	1.000000	0.881093	0.034949	0.045540	4543
GCF_000024265.1	GCF_009834925.2	0.903161	mid_high	s__Eggerthella lenta	s__Eggerthella sp014287365	g__Eggerthella	g__Eggerthella	0.978044	0.956575	0.264920	0.234361	1345	0.973257	0.949214	0.250694	0.256940	1083	1.000000	0.926160	0.142957	0.127364	38495
GCF_001575205.1	GCF_000312385.1	0.838476	mid_high	s__Tsukamurella pseudospumae	s__Tsukamurella sp000312385	g__Tsukamurella	g__Tsukamurella	0.958376	0.921557	0.073305	0.090064	494	0.953670	0.913840	0.092152	0.103487	546	1.000000	0.850918	0.016460	0.018907	7079
GCA_018052455.1	GCA_018052475.1	0.806651	mid_high	s__UBA3907 sp018052455	s__UBA3907 sp018052475	g__UBA3907	g__UBA3907	0.000000	0.865296	0.013100	0.013761	0	0.953405	0.882350	0.038786	0.044895	124	1.000000	0.815737	0.006698	0.007088	729
