	paf_vs_ref	paf_vs_FGDLZ73M1_ctg	paf_vs_FHNBA1M1_ctg	maxcov	abfA_status
FJSNT19M8_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FJSWX38M1_ctg	0.27670090083774407	0.4770132302301698	0.28130557589706034	0.4770132302301698	complete
FJSWXJ37M4_ctg	0.27670090083774407	0.4769528182202622	0.2813404470481571	0.4769528182202622	complete
FHNBA1M1_ctg	1.0	0.9882800700779315	0.0	1.0	complete
FJSWXJ12M2_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FGZ16I2M1_ctg	1.0	0.9867093578203346	1.0	1.0	complete
FGSYC28M4_ctg	1.0	0.9866489458104271	1.0	1.0	complete
FJSWXJ2M1_ctg	1.0	0.9875551259590406	1.0	1.0	complete
FBJ11M1_ctg	0.9694346103964387	0.9093819851386455	0.968162639048715	0.9694346103964387	complete
F_ZJ_TZ_1_M1_ctg	0.27670090083774407	0.4770132302301698	0.281235833594867	0.4770132302301698	complete
FJSNT54M6_ctg	1.0	0.9891258382166375	1.0	1.0	complete
FSCDJY6M1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FXJWS49M17_ctg	0.27656069262855343	0.4770132302301698	0.2803989259685462	0.4770132302301698	deleted
CCFM685_ctg	0.2758596515826002	0.4769528182202622	1.0	1.0	complete
FSDLZ61M5_ctg	1.0	0.9875551259590406	1.0	1.0	deleted
FSCREG6M5-3_ctg	0.8685197518314697	0.9882800700779315	0.8701747044669944	0.9882800700779315	complete
FSHHK22M1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
CCFM762_ctg	1.0	0.9875551259590406	1.0	1.0	deleted
BlongumB3_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FJSNT19M1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FSCCD3M1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FGDLZ73M1_ctg	0.9864348557608048	0.0	0.9864351222233846	0.9864351222233846	complete
